s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00, 0.000E+00,-5.512E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.512E-08, 0.000E+00, 0.000E+00
 1.000E+01, 3.676E+01,-6.169E+00, 5.611E-01,-9.043E-01, 6.853E-02, 0.000E+00, 0.000E+00, 0.000E+00, 2.988E+01, 3.032E+01, 7.591E-04, 7.591E-04
 2.001E+01, 1.102E+02,-2.202E+01, 1.655E+00,-3.827E+00, 1.926E-01, 0.000E+00, 0.000E+00, 0.000E+00, 8.602E+01, 8.616E+01, 2.264E-03, 2.264E-03
 3.001E+01, 1.840E+02,-3.645E+01,-5.473E+00,-7.010E+00, 2.976E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.351E+02, 1.353E+02, 3.773E-03, 3.773E-03
 4.001E+01, 2.587E+02,-5.199E+01,-3.853E+01,-1.247E+01, 3.888E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.559E+02, 1.561E+02, 5.280E-03, 5.280E-03
 5.000E+01, 3.312E+02,-7.144E+01,-7.601E+01,-1.993E+01, 4.613E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.639E+02, 1.643E+02, 6.787E-03, 6.787E-03
 6.002E+01, 4.129E+02,-1.031E+02,-1.300E+02,-3.041E+01, 5.193E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.500E+02, 1.499E+02, 8.295E-03, 8.295E-03
 7.001E+01, 4.696E+02,-1.471E+02,-1.788E+02,-3.615E+01, 5.480E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.081E+02, 1.080E+02, 9.613E-03, 9.613E-03
 8.001E+01, 4.886E+02,-1.896E+02,-2.026E+02,-2.659E+01, 5.212E-01, 0.000E+00, 0.000E+00, 0.000E+00, 7.079E+01, 7.035E+01, 9.800E-03, 9.800E-03
 9.000E+01, 4.894E+02,-2.176E+02,-2.082E+02,-1.863E+01, 4.910E-01, 0.000E+00, 0.000E+00, 0.000E+00, 4.558E+01, 4.543E+01, 9.800E-03, 9.800E-03
 1.000E+02, 4.883E+02,-2.217E+02,-2.178E+02,-7.499E+00, 4.780E-01, 0.000E+00, 0.000E+00, 0.000E+00, 4.188E+01, 4.172E+01, 9.800E-03, 9.800E-03
 1.100E+02, 4.875E+02,-2.316E+02,-2.241E+02,-3.476E+00, 4.614E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.907E+01, 2.881E+01, 9.800E-03, 9.800E-03
 1.200E+02, 4.889E+02,-2.316E+02,-2.340E+02, 2.950E+00, 4.464E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.717E+01, 2.672E+01, 9.800E-03, 9.800E-03
 1.300E+02, 4.947E+02,-2.359E+02,-2.339E+02, 6.256E+00, 4.560E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.292E+01, 3.172E+01, 9.800E-03, 9.800E-03
 1.400E+02, 4.858E+02,-2.285E+02,-2.505E+02, 9.277E+00, 4.649E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.736E+01, 1.660E+01, 9.800E-03, 9.800E-03
 1.500E+02, 4.888E+02,-2.299E+02,-2.511E+02, 1.031E+01, 4.743E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.913E+01, 1.860E+01, 9.800E-03, 9.800E-03
 1.600E+02, 4.846E+02,-2.327E+02,-2.543E+02, 1.118E+01, 4.430E-01, 0.000E+00, 0.000E+00, 0.000E+00, 9.577E+00, 9.280E+00, 9.800E-03, 9.800E-03
 1.700E+02, 5.003E+02,-2.385E+02,-2.534E+02, 1.225E+01, 4.283E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.138E+01, 2.108E+01, 9.800E-03, 9.800E-03
 1.800E+02, 4.826E+02,-2.356E+02,-2.558E+02, 1.442E+01, 4.443E-01, 0.000E+00, 0.000E+00, 0.000E+00, 6.484E+00, 6.024E+00, 9.800E-03, 9.800E-03
 1.900E+02, 4.884E+02,-2.395E+02,-2.643E+02, 1.766E+01, 4.477E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.859E+00, 2.695E+00, 9.800E-03, 9.800E-03
 2.000E+02, 4.864E+02,-2.332E+02,-2.629E+02, 1.658E+01, 4.402E-01, 0.000E+00, 0.000E+00, 0.000E+00, 7.776E+00, 7.373E+00, 9.800E-03, 9.800E-03
 2.100E+02, 4.977E+02,-2.354E+02,-2.725E+02, 1.782E+01, 4.542E-01, 0.000E+00, 0.000E+00, 0.000E+00, 8.878E+00, 8.147E+00, 9.800E-03, 9.800E-03
 2.200E+02, 4.856E+02,-2.358E+02,-2.673E+02, 1.924E+01, 4.559E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.807E+00, 2.256E+00, 9.800E-03, 9.800E-03
 2.300E+02, 4.967E+02,-2.362E+02,-2.693E+02, 2.135E+01, 4.625E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.347E+01, 1.307E+01, 9.800E-03, 9.800E-03
 2.400E+02, 4.834E+02,-2.340E+02,-2.698E+02, 2.208E+01, 4.494E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.027E+00, 2.109E+00, 9.800E-03, 9.800E-03
