s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00, 0.000E+00,-5.510E-08, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.510E-08, 0.000E+00, 0.000E+00
 1.002E+01, 1.744E+02,-6.775E+01, 2.184E+00, 9.348E-01, 2.190E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.080E+02, 1.100E+02, 4.305E-03, 4.305E-03
 2.001E+01, 5.448E+02,-2.003E+02,-1.311E+01, 1.038E+01, 5.754E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.411E+02, 3.423E+02, 1.285E-02, 1.285E-02
 3.000E+01, 8.701E+02,-2.984E+02,-1.710E+02, 8.475E+00, 7.887E-01, 0.000E+00, 0.000E+00, 0.000E+00, 4.082E+02, 4.100E+02, 2.139E-02, 2.139E-02
 4.002E+01, 1.130E+03,-4.809E+02,-3.321E+02,-1.693E+01, 7.918E-01, 0.000E+00, 0.000E+00, 0.000E+00, 3.000E+02, 3.006E+02, 2.994E-02, 2.994E-02
 5.001E+01, 1.301E+03,-7.534E+02,-3.801E+02,-1.351E+01, 6.747E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.565E+02, 1.546E+02, 3.850E-02, 3.850E-02
 6.001E+01, 1.326E+03,-7.872E+02,-4.164E+02,-3.127E+00, 8.529E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.200E+02, 1.197E+02, 4.704E-02, 4.704E-02
 7.001E+01, 1.147E+03,-6.591E+02,-4.295E+02, 1.143E+01, 9.345E-01, 0.000E+00, 0.000E+00, 0.000E+00, 7.214E+01, 7.119E+01, 5.105E-02, 5.105E-02
 8.000E+01, 1.365E+03,-6.556E+02,-6.527E+02, 1.256E+01, 9.359E-01, 0.000E+00, 0.000E+00, 0.000E+00, 7.186E+01, 7.058E+01, 5.056E-02, 5.056E-02
 9.000E+01, 1.341E+03,-5.995E+02,-7.087E+02, 1.440E+01, 9.514E-01, 0.000E+00, 0.000E+00, 0.000E+00, 4.898E+01, 4.843E+01, 5.007E-02, 5.007E-02
 1.000E+02, 1.260E+03,-5.379E+02,-6.937E+02, 1.533E+01, 8.795E-01, 0.000E+00, 0.000E+00, 0.000E+00, 4.578E+01, 4.497E+01, 4.958E-02, 4.958E-02
 1.100E+02, 1.696E+03,-6.264E+02,-1.065E+03, 1.747E+01, 7.432E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.163E+01, 2.271E+01, 4.909E-02, 4.909E-02
 1.200E+02, 1.839E+03,-6.466E+02,-1.198E+03, 1.670E+01, 7.688E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.224E+01, 1.240E+01, 4.860E-02, 4.860E-02
 1.300E+02, 1.788E+03,-6.235E+02,-1.153E+03, 1.537E+01, 6.867E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.617E+01, 2.706E+01, 4.811E-02, 4.811E-02
 1.400E+02, 1.953E+03,-6.655E+02,-1.288E+03, 1.782E+01, 7.210E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.491E+01, 1.805E+01, 4.762E-02, 4.762E-02
 1.500E+02, 2.056E+03,-6.880E+02,-1.398E+03, 1.582E+01, 7.128E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.309E+01,-1.296E+01, 4.713E-02, 4.713E-02
 1.600E+02, 2.029E+03,-6.881E+02,-1.363E+03, 1.734E+01, 7.399E-01, 0.000E+00, 0.000E+00, 0.000E+00,-5.496E+00,-4.048E+00, 4.664E-02, 4.664E-02
 1.700E+02, 2.097E+03,-6.961E+02,-1.406E+03, 2.126E+01, 7.539E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.402E+01, 1.622E+01, 4.615E-02, 4.615E-02
 1.800E+02, 2.016E+03,-6.814E+02,-1.353E+03, 1.886E+01, 7.133E-01, 0.000E+00, 0.000E+00, 0.000E+00,-4.911E-01, 1.718E+00, 4.566E-02, 4.566E-02
 1.900E+02, 2.000E+03,-6.674E+02,-1.349E+03, 1.863E+01, 7.053E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.356E+00, 2.641E+00, 4.517E-02, 4.517E-02
 2.000E+02, 1.987E+03,-6.657E+02,-1.338E+03, 1.972E+01, 7.344E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.430E+00, 3.451E+00, 4.468E-02, 4.468E-02
 2.100E+02, 1.917E+03,-6.504E+02,-1.269E+03, 1.896E+01, 7.086E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.640E+01, 1.728E+01, 4.419E-02, 4.419E-02
 2.200E+02, 1.920E+03,-6.396E+02,-1.310E+03, 1.967E+01, 6.967E-01, 0.000E+00, 0.000E+00, 0.000E+00,-9.864E+00,-8.814E+00, 4.370E-02, 4.370E-02
 2.300E+02, 1.939E+03,-6.482E+02,-1.313E+03, 1.892E+01, 6.672E-01, 0.000E+00, 0.000E+00, 0.000E+00,-3.812E+00,-2.076E+00, 4.321E-02, 4.321E-02
 2.400E+02, 1.953E+03,-6.481E+02,-1.316E+03, 2.216E+01, 6.652E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.144E+01, 1.239E+01, 4.272E-02, 4.272E-02
 2.500E+02, 1.813E+03,-6.061E+02,-1.233E+03, 2.076E+01, 6.428E-01, 0.000E+00, 0.000E+00, 0.000E+00,-6.209E+00,-4.376E+00, 4.223E-02, 4.223E-02
 2.600E+02, 1.916E+03,-6.336E+02,-1.315E+03, 2.368E+01, 6.384E-01, 0.000E+00, 0.000E+00, 0.000E+00,-9.887E+00,-8.911E+00, 4.174E-02, 4.174E-02
 2.700E+02, 1.805E+03,-6.050E+02,-1.207E+03, 1.861E+01, 6.272E-01, 0.000E+00, 0.000E+00, 0.000E+00, 9.691E+00, 1.226E+01, 4.125E-02, 4.125E-02
 2.800E+02, 1.805E+03,-6.048E+02,-1.235E+03, 2.287E+01, 6.411E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.233E+01,-1.150E+01, 4.076E-02, 4.076E-02
 2.900E+02, 1.741E+03,-5.837E+02,-1.164E+03, 2.076E+01, 6.205E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.415E+01, 1.469E+01, 4.033E-02, 4.033E-02
 3.000E+02, 1.775E+03,-5.969E+02,-1.212E+03, 1.998E+01, 6.222E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.373E+01,-1.313E+01, 4.026E-02, 4.026E-02
 3.100E+02, 1.807E+03,-6.029E+02,-1.215E+03, 2.270E+01, 6.279E-01, 0.000E+00, 0.000E+00, 0.000E+00, 9.801E+00, 1.174E+01, 4.025E-02, 4.025E-02
 3.200E+02, 1.798E+03,-5.971E+02,-1.235E+03, 2.201E+01, 6.270E-01, 0.000E+00, 0.000E+00, 0.000E+00,-1.272E+01,-1.186E+01, 4.023E-02, 4.023E-02
 3.300E+02, 1.868E+03,-6.172E+02,-1.253E+03, 2.114E+01, 7.043E-01, 0.000E+00, 0.000E+00, 0.000E+00, 1.832E+01, 1.968E+01, 4.022E-02, 4.022E-02
 3.400E+02, 1.797E+03,-5.994E+02,-1.228E+03, 2.170E+01, 6.174E-01, 0.000E+00, 0.000E+00, 0.000E+00,-9.513E+00,-7.965E+00, 4.021E-02, 4.021E-02
 3.500E+02, 1.732E+03,-5.795E+02,-1.153E+03, 2.239E+01, 6.291E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.172E+01, 2.245E+01, 4.019E-02, 4.019E-02
