m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1102144E+000
 8.0000000E-001, 2.0985483E+000
 1.2000000E+000, 2.0925544E+000
 1.6000000E+000, 2.0903754E+000
 2.0000000E+000, 2.0823759E+000
 2.4000000E+000, 2.0713073E+000
 2.8000000E+000, 2.0520038E+000
 3.2000000E+000, 2.0218777E+000
 3.6000000E+000, 1.9864053E+000
 4.0000000E+000, 1.9479166E+000
 4.4000000E+000, 1.8983287E+000
 4.8000000E+000, 1.8486468E+000
 5.2000000E+000, 1.7917029E+000
 5.6000000E+000, 1.7247928E+000
 6.0000000E+000, 1.6529959E+000
 6.4000000E+000, 1.5807162E+000
 6.8000000E+000, 1.5119536E+000
 7.2000000E+000, 1.4445379E+000
 7.6000000E+000, 1.3782540E+000
 8.0000000E+000, 1.3124918E+000
 8.4000000E+000, 1.2557207E+000
 8.8000000E+000, 1.1878395E+000
 9.2000000E+000, 1.1220222E+000
 9.6000000E+000, 1.0651789E+000
 1.0000000E+001, 1.0358343E+000
 1.0400000E+001, 9.8095314E-001
 1.0800000E+001, 9.6116929E-001
 1.1200000E+001, 9.5662209E-001
 1.1600000E+001, 9.2477962E-001
 1.2000000E+001, 8.9903013E-001
 1.2400000E+001, 8.7075099E-001
 1.2800000E+001, 8.3326044E-001
 1.3200000E+001, 8.0821537E-001
 1.3600000E+001, 7.8814370E-001
 1.4000000E+001, 7.6675051E-001
 1.4400000E+001, 7.4278773E-001
 1.4800000E+001, 7.2130389E-001
 1.5200000E+001, 6.9934240E-001
 1.5600000E+001, 6.8054985E-001
 1.6000000E+001, 6.5644011E-001
 1.6400000E+001, 6.2030641E-001
 1.6800000E+001, 5.9360098E-001
 1.7200000E+001, 5.8084308E-001
 1.7600000E+001, 5.7082750E-001
 1.8000000E+001, 5.6550765E-001
 1.8400000E+001, 5.6250839E-001
 1.8800000E+001, 5.5807412E-001
 1.9200000E+001, 5.4429553E-001
 1.9600000E+001, 5.3019508E-001
 1.9999000E+001, 5.0821142E-001
