m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1901788E+000
 8.0000000E-001, 2.2058735E+000
 1.2000000E+000, 2.2166263E+000
 1.6000000E+000, 2.2315028E+000
 2.0000000E+000, 2.2424142E+000
 2.4000000E+000, 2.2441612E+000
 2.8000000E+000, 2.2441777E+000
 3.2000000E+000, 2.2395860E+000
 3.6000000E+000, 2.2240247E+000
 4.0000000E+000, 2.1987846E+000
 4.4000000E+000, 2.1528326E+000
 4.8000000E+000, 2.0902191E+000
 5.2000000E+000, 2.0155536E+000
 5.6000000E+000, 1.9009093E+000
 6.0000000E+000, 1.7789474E+000
 6.4000000E+000, 1.6700563E+000
 6.8000000E+000, 1.5605768E+000
 7.2000000E+000, 1.4685076E+000
 7.6000000E+000, 1.4010979E+000
 8.0000000E+000, 1.3058118E+000
 8.4000000E+000, 1.2860750E+000
 8.8000000E+000, 1.2364623E+000
 9.2000000E+000, 1.1780070E+000
 9.6000000E+000, 1.1129917E+000
 9.9995000E+000, 1.0634904E+000
 1.0400000E+001, 1.0225960E+000
 1.0800000E+001, 9.6744243E-001
 1.1200000E+001, 9.3831435E-001
 1.1600000E+001, 9.0346889E-001
 1.2000000E+001, 8.8044428E-001
 1.2400000E+001, 8.4630528E-001
 1.2800000E+001, 8.3724515E-001
 1.3200000E+001, 8.2470524E-001
 1.3600000E+001, 8.0858357E-001
 1.4000000E+001, 7.9305681E-001
 1.4400000E+001, 7.8221605E-001
 1.4800000E+001, 7.6697252E-001
 1.5200000E+001, 7.3932611E-001
 1.5600000E+001, 7.1974241E-001
 1.6000000E+001, 7.1166641E-001
 1.6400000E+001, 7.0217764E-001
 1.6800000E+001, 6.8461937E-001
 1.7200000E+001, 6.6705280E-001
 1.7600000E+001, 6.4523345E-001
 1.8000000E+001, 6.2818089E-001
 1.8400000E+001, 6.2129039E-001
 1.8800000E+001, 6.1009759E-001
 1.9200000E+001, 5.9679134E-001
 1.9600000E+001, 5.7705446E-001
 1.9999500E+001, 5.4458343E-001
