m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1505873E+000
 8.0000000E-001, 2.1473152E+000
 1.2000000E+000, 2.1423384E+000
 1.6000000E+000, 2.1333746E+000
 2.0000000E+000, 2.1281046E+000
 2.4000000E+000, 2.1268376E+000
 2.8000000E+000, 2.1225564E+000
 3.2000000E+000, 2.1113637E+000
 3.6000000E+000, 2.0937481E+000
 4.0000000E+000, 2.0752271E+000
 4.4000000E+000, 2.0526557E+000
 4.8000000E+000, 2.0306220E+000
 5.2000000E+000, 2.0081100E+000
 5.6000000E+000, 1.9762769E+000
 6.0000000E+000, 1.9325161E+000
 6.4000000E+000, 1.8687669E+000
 6.8000000E+000, 1.7809405E+000
 7.2000000E+000, 1.6893562E+000
 7.6000000E+000, 1.6012613E+000
 8.0000000E+000, 1.5416005E+000
 8.4000000E+000, 1.5012279E+000
 8.8000000E+000, 1.4450151E+000
 9.2000000E+000, 1.3920305E+000
 9.6000000E+000, 1.3513436E+000
 1.0000000E+001, 1.2994093E+000
 1.0400000E+001, 1.2458187E+000
 1.0800000E+001, 1.1928513E+000
 1.1200000E+001, 1.1582856E+000
 1.1600000E+001, 1.1325100E+000
 1.2000000E+001, 1.1130497E+000
 1.2400000E+001, 1.0800455E+000
 1.2800000E+001, 1.0254400E+000
 1.3200000E+001, 9.6909257E-001
 1.3600000E+001, 9.2168707E-001
 1.4000000E+001, 8.8707005E-001
 1.4400000E+001, 8.5781108E-001
 1.4800000E+001, 8.1406571E-001
 1.5200000E+001, 7.8756694E-001
 1.5600000E+001, 7.5743540E-001
 1.6000000E+001, 7.2371263E-001
 1.6400000E+001, 7.0466819E-001
 1.6800000E+001, 6.9244228E-001
 1.7200000E+001, 6.8646717E-001
 1.7600000E+001, 6.8808386E-001
 1.8000000E+001, 6.8614511E-001
 1.8400000E+001, 6.7525885E-001
 1.8800000E+001, 6.5769726E-001
 1.9200000E+001, 6.4407026E-001
 1.9600000E+001, 6.2674123E-001
 1.9999000E+001, 5.9285646E-001
