m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1692356E+000
 8.0000000E-001, 2.1681891E+000
 1.2000000E+000, 2.1651216E+000
 1.6000000E+000, 2.1641458E+000
 2.0000000E+000, 2.1632682E+000
 2.4000000E+000, 2.1597923E+000
 2.8000000E+000, 2.1543147E+000
 3.2000000E+000, 2.1489642E+000
 3.6000000E+000, 2.1415286E+000
 4.0000000E+000, 2.1338967E+000
 4.4000000E+000, 2.1241209E+000
 4.8000000E+000, 2.1131922E+000
 5.2000000E+000, 2.1023366E+000
 5.6000000E+000, 2.0894630E+000
 6.0000000E+000, 2.0733463E+000
 6.4000000E+000, 2.0552080E+000
 6.8000000E+000, 2.0345965E+000
 7.2000000E+000, 2.0079490E+000
 7.6000000E+000, 1.9735953E+000
 8.0000000E+000, 1.9284190E+000
 8.4000000E+000, 1.8747405E+000
 8.8000000E+000, 1.8118970E+000
 9.2000000E+000, 1.7368829E+000
 9.6000000E+000, 1.6434648E+000
 1.0000000E+001, 1.5522522E+000
 1.0400000E+001, 1.4691032E+000
 1.0800000E+001, 1.3903747E+000
 1.1200000E+001, 1.3274915E+000
 1.1600000E+001, 1.2815883E+000
 1.2000000E+001, 1.2100066E+000
 1.2400000E+001, 1.1432172E+000
 1.2800000E+001, 1.0848928E+000
 1.3200000E+001, 1.0263542E+000
 1.3600000E+001, 9.6017763E-001
 1.4000000E+001, 9.0707153E-001
 1.4400000E+001, 8.7847520E-001
 1.4800000E+001, 8.4775517E-001
 1.5200000E+001, 7.9897928E-001
 1.5600000E+001, 7.7465699E-001
 1.6000000E+001, 7.4681071E-001
 1.6400000E+001, 7.3159511E-001
 1.6800000E+001, 7.3068358E-001
 1.7200000E+001, 7.1149851E-001
 1.7600000E+001, 6.9030801E-001
 1.8000000E+001, 6.6406820E-001
 1.8400000E+001, 6.4587315E-001
 1.8800000E+001, 6.2264960E-001
 1.9200000E+001, 6.0981898E-001
 1.9600000E+001, 5.7763041E-001
 1.9999000E+001, 5.5319852E-001
