m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1879861E+000
 8.0000000E-001, 2.1886674E+000
 1.2000000E+000, 2.1824134E+000
 1.6000000E+000, 2.1707431E+000
 2.0000000E+000, 2.1590929E+000
 2.4000000E+000, 2.1440522E+000
 2.8000000E+000, 2.1281056E+000
 3.2000000E+000, 2.1157446E+000
 3.6000000E+000, 2.0984876E+000
 4.0000000E+000, 2.0789144E+000
 4.4000000E+000, 2.0522744E+000
 4.8000000E+000, 2.0115859E+000
 5.2000000E+000, 1.9511864E+000
 5.6000000E+000, 1.8713108E+000
 6.0000000E+000, 1.7917807E+000
 6.4000000E+000, 1.7365492E+000
 6.8000000E+000, 1.6890704E+000
 7.2000000E+000, 1.6376526E+000
 7.6000000E+000, 1.5907714E+000
 8.0000000E+000, 1.5446229E+000
 8.4000000E+000, 1.4935014E+000
 8.8000000E+000, 1.4313404E+000
 9.2000000E+000, 1.3628180E+000
 9.6000000E+000, 1.2926762E+000
 1.0000000E+001, 1.2443716E+000
 1.0400000E+001, 1.2036013E+000
 1.0800000E+001, 1.1447804E+000
 1.1200000E+001, 1.0828843E+000
 1.1600000E+001, 1.0247953E+000
 1.2000000E+001, 9.9196093E-001
 1.2400000E+001, 9.7511294E-001
 1.2800000E+001, 9.5123315E-001
 1.3200000E+001, 9.1324310E-001
 1.3600000E+001, 8.8737748E-001
 1.4000000E+001, 8.6357360E-001
 1.4400000E+001, 8.4462040E-001
 1.4800000E+001, 8.2274296E-001
 1.5200000E+001, 7.9892838E-001
 1.5600000E+001, 7.7677336E-001
 1.6000000E+001, 7.4959606E-001
 1.6400000E+001, 7.3576329E-001
 1.6800000E+001, 7.2382190E-001
 1.7200000E+001, 7.1369147E-001
 1.7600000E+001, 6.8793984E-001
 1.8000000E+001, 6.7142761E-001
 1.8400000E+001, 6.6221097E-001
 1.8800000E+001, 6.3706575E-001
 1.9200000E+001, 6.0687194E-001
 1.9600000E+001, 5.8437270E-001
 1.9999000E+001, 5.6662690E-001
