m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1689800E+000
 8.0000000E-001, 2.1866436E+000
 1.2000000E+000, 2.1909569E+000
 1.6000000E+000, 2.1957756E+000
 2.0000000E+000, 2.1976312E+000
 2.4000000E+000, 2.1901369E+000
 2.8000000E+000, 2.1846700E+000
 3.2000000E+000, 2.1694106E+000
 3.6000000E+000, 2.1433802E+000
 4.0000000E+000, 2.0962742E+000
 4.4000000E+000, 2.0152762E+000
 4.8000000E+000, 1.9401519E+000
 5.2000000E+000, 1.8786370E+000
 5.6000000E+000, 1.7959642E+000
 6.0000000E+000, 1.6983615E+000
 6.4000000E+000, 1.5924723E+000
 6.8000000E+000, 1.4995918E+000
 7.2000000E+000, 1.4396215E+000
 7.6000000E+000, 1.3760708E+000
 8.0000000E+000, 1.3388386E+000
 8.4000000E+000, 1.2768999E+000
 8.8000000E+000, 1.1946457E+000
 9.2000000E+000, 1.1570872E+000
 9.6000000E+000, 1.1038408E+000
 1.0000000E+001, 1.0619251E+000
 1.0400000E+001, 1.0398842E+000
 1.0800000E+001, 1.0079257E+000
 1.1200000E+001, 9.7130537E-001
 1.1600000E+001, 9.4440372E-001
 1.2000000E+001, 9.0779643E-001
 1.2400000E+001, 8.7737340E-001
 1.2800000E+001, 8.3093265E-001
 1.3200000E+001, 8.1060073E-001
 1.3600000E+001, 7.9518433E-001
 1.4000000E+001, 7.7898524E-001
 1.4400000E+001, 7.4879392E-001
 1.4800000E+001, 7.3738338E-001
 1.5200000E+001, 7.2555750E-001
 1.5600000E+001, 6.8646202E-001
 1.6000000E+001, 6.5394032E-001
 1.6400000E+001, 6.3693002E-001
 1.6800000E+001, 6.2652939E-001
 1.7200000E+001, 6.1877430E-001
 1.7600000E+001, 6.0640432E-001
 1.8000000E+001, 6.0164754E-001
 1.8400000E+001, 5.9144114E-001
 1.8800000E+001, 5.8779746E-001
 1.9200000E+001, 5.8059369E-001
 1.9600000E+001, 5.6201865E-001
 1.9999500E+001, 5.5831316E-001
