m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1709047E+000
 8.0000000E-001, 2.1773577E+000
 1.2000000E+000, 2.1904597E+000
 1.6000000E+000, 2.1933546E+000
 2.0000000E+000, 2.1957760E+000
 2.4000000E+000, 2.1877865E+000
 2.8000000E+000, 2.1777509E+000
 3.2000000E+000, 2.1566065E+000
 3.6000000E+000, 2.1125244E+000
 4.0000000E+000, 2.0630065E+000
 4.4000000E+000, 2.0020580E+000
 4.8000000E+000, 1.9254427E+000
 5.2000000E+000, 1.8303444E+000
 5.6000000E+000, 1.7394839E+000
 6.0000000E+000, 1.6623124E+000
 6.4000000E+000, 1.6010817E+000
 6.8000000E+000, 1.5463698E+000
 7.2000000E+000, 1.4957613E+000
 7.6000000E+000, 1.4193232E+000
 8.0000000E+000, 1.3606076E+000
 8.4000000E+000, 1.3050959E+000
 8.8000000E+000, 1.2608572E+000
 9.2000000E+000, 1.2195690E+000
 9.6000000E+000, 1.1645092E+000
 9.9995000E+000, 1.1298680E+000
 1.0400000E+001, 1.0879435E+000
 1.0800000E+001, 1.0487895E+000
 1.1200000E+001, 1.0412321E+000
 1.1600000E+001, 1.0011752E+000
 1.2000000E+001, 9.5243588E-001
 1.2400000E+001, 9.2061663E-001
 1.2800000E+001, 8.8132780E-001
 1.3200000E+001, 8.4586017E-001
 1.3600000E+001, 8.3312481E-001
 1.4000000E+001, 8.2348651E-001
 1.4400000E+001, 7.9298870E-001
 1.4800000E+001, 7.6679141E-001
 1.5200000E+001, 7.3892551E-001
 1.5600000E+001, 7.3419661E-001
 1.6000000E+001, 7.2113518E-001
 1.6400000E+001, 7.0261659E-001
 1.6800000E+001, 6.8574582E-001
 1.7200000E+001, 6.8253138E-001
 1.7600000E+001, 6.6349298E-001
 1.8000000E+001, 6.4829706E-001
 1.8400000E+001, 6.2459330E-001
 1.8800000E+001, 5.7925454E-001
 1.9200000E+001, 5.6173905E-001
 1.9600000E+001, 5.4400096E-001
 1.9999500E+001, 5.0283077E-001
