m,m/s
VEL1-x,VEL1
 4.0000000E-001, 2.1862107E+000
 8.0000000E-001, 2.1826643E+000
 1.2000000E+000, 2.1822208E+000
 1.6000000E+000, 2.1679590E+000
 2.0000000E+000, 2.1624834E+000
 2.4000000E+000, 2.1599957E+000
 2.8000000E+000, 2.1433625E+000
 3.2000000E+000, 2.1171406E+000
 3.6000000E+000, 2.0822299E+000
 4.0000000E+000, 2.0466547E+000
 4.4000000E+000, 1.9803663E+000
 4.8000000E+000, 1.9055970E+000
 5.2000000E+000, 1.8318200E+000
 5.6000000E+000, 1.7602342E+000
 6.0000000E+000, 1.6954286E+000
 6.4000000E+000, 1.6251746E+000
 6.8000000E+000, 1.5692717E+000
 7.2000000E+000, 1.5083404E+000
 7.6000000E+000, 1.4388985E+000
 8.0000000E+000, 1.3628173E+000
 8.4000000E+000, 1.3030428E+000
 8.8000000E+000, 1.2350324E+000
 9.2000000E+000, 1.2023206E+000
 9.6000000E+000, 1.1669622E+000
 9.9995000E+000, 1.1234963E+000
 1.0400000E+001, 1.0907953E+000
 1.0800000E+001, 1.0424947E+000
 1.1200000E+001, 1.0051279E+000
 1.1600000E+001, 9.7262894E-001
 1.2000000E+001, 9.5056060E-001
 1.2400000E+001, 9.1532016E-001
 1.2800000E+001, 8.7772058E-001
 1.3200000E+001, 8.5500523E-001
 1.3600000E+001, 8.4782700E-001
 1.4000000E+001, 8.4090187E-001
 1.4400000E+001, 8.2573860E-001
 1.4800000E+001, 8.0026273E-001
 1.5200000E+001, 7.9186794E-001
 1.5600000E+001, 7.6341738E-001
 1.6000000E+001, 7.4400176E-001
 1.6400000E+001, 7.2145192E-001
 1.6800000E+001, 7.0383124E-001
 1.7200000E+001, 6.7868751E-001
 1.7600000E+001, 6.5701546E-001
 1.8000000E+001, 6.4006418E-001
 1.8400000E+001, 6.3300126E-001
 1.8800000E+001, 6.2279900E-001
 1.9200000E+001, 6.2299875E-001
 1.9600000E+001, 6.0898517E-001
 1.9999500E+001, 5.9214982E-001
