s,kW,C
Time,"qdot","Tsurf"
 0.000E+00,-4.188E-11, 2.000E+01
 5.000E+00, 3.810E+01, 1.311E+01
 1.000E+01, 4.201E+01, 1.130E+01
 1.500E+01, 4.191E+01, 1.249E+01
 2.000E+01, 4.270E+01, 1.350E+01
 2.500E+01, 4.072E+01, 1.474E+01
 3.000E+01, 4.006E+01, 1.560E+01
 3.500E+01, 3.912E+01, 1.655E+01
 4.000E+01, 3.924E+01, 1.754E+01
 4.500E+01, 3.904E+01, 1.839E+01
 5.000E+01, 3.861E+01, 1.898E+01
 5.500E+01, 3.862E+01, 1.969E+01
 6.000E+01, 3.819E+01, 2.011E+01
 6.500E+01, 3.789E+01, 2.073E+01
 7.000E+01, 3.785E+01, 2.130E+01
 7.500E+01, 3.869E+01, 2.197E+01
 8.000E+01, 3.772E+01, 2.251E+01
 8.500E+01, 3.682E+01, 2.347E+01
 9.000E+01, 3.676E+01, 2.378E+01
 9.500E+01, 3.670E+01, 2.394E+01
 1.000E+02, 3.697E+01, 2.435E+01
 1.050E+02, 3.641E+01, 2.453E+01
 1.100E+02, 3.705E+01, 2.477E+01
 1.150E+02, 3.654E+01, 2.514E+01
 1.200E+02, 3.577E+01, 2.558E+01
 1.250E+02, 3.534E+01, 2.580E+01
 1.300E+02, 3.559E+01, 2.574E+01
 1.350E+02, 3.669E+01, 2.581E+01
 1.400E+02, 3.585E+01, 2.626E+01
 1.450E+02, 3.549E+01, 2.646E+01
 1.500E+02, 3.545E+01, 2.668E+01
 1.550E+02, 3.586E+01, 2.652E+01
 1.600E+02, 3.525E+01, 2.705E+01
 1.650E+02, 3.596E+01, 2.685E+01
 1.700E+02, 3.461E+01, 2.745E+01
 1.750E+02, 3.732E+01, 2.680E+01
 1.800E+02, 3.515E+01, 2.738E+01
 1.850E+02, 3.566E+01, 2.745E+01
 1.900E+02, 3.588E+01, 2.757E+01
 1.950E+02, 3.547E+01, 2.807E+01
 2.000E+02, 3.635E+01, 2.725E+01
 2.050E+02, 3.551E+01, 2.812E+01
 2.100E+02, 3.467E+01, 2.811E+01
 2.150E+02, 3.581E+01, 2.781E+01
 2.200E+02, 3.510E+01, 2.871E+01
 2.250E+02, 3.521E+01, 2.887E+01
 2.300E+02, 3.626E+01, 2.782E+01
 2.350E+02, 3.525E+01, 2.831E+01
 2.400E+02, 3.607E+01, 2.833E+01
 2.450E+02, 3.455E+01, 2.852E+01
 2.500E+02, 3.463E+01, 2.853E+01
 2.550E+02, 3.423E+01, 2.854E+01
 2.600E+02, 3.526E+01, 2.815E+01
 2.650E+02, 3.517E+01, 2.828E+01
 2.700E+02, 3.620E+01, 2.832E+01
 2.750E+02, 3.398E+01, 2.863E+01
 2.800E+02, 3.537E+01, 2.837E+01
 2.850E+02, 3.610E+01, 2.855E+01
 2.900E+02, 3.509E+01, 2.860E+01
 2.950E+02, 3.494E+01, 2.858E+01
 3.000E+02, 3.585E+01, 2.830E+01
 3.050E+02, 3.538E+01, 2.848E+01
 3.100E+02, 3.561E+01, 2.850E+01
 3.150E+02, 3.435E+01, 2.888E+01
 3.200E+02, 3.525E+01, 2.883E+01
 3.250E+02, 3.497E+01, 2.858E+01
 3.300E+02, 3.522E+01, 2.858E+01
 3.350E+02, 3.531E+01, 2.872E+01
 3.400E+02, 3.523E+01, 2.884E+01
 3.450E+02, 3.490E+01, 2.926E+01
 3.500E+02, 3.542E+01, 2.847E+01
 3.550E+02, 3.411E+01, 2.906E+01
 3.600E+02, 3.545E+01, 2.855E+01
 3.650E+02, 3.569E+01, 2.876E+01
 3.700E+02, 3.471E+01, 2.920E+01
 3.750E+02, 3.494E+01, 2.872E+01
 3.800E+02, 3.508E+01, 2.874E+01
 3.850E+02, 3.542E+01, 2.872E+01
 3.900E+02, 3.505E+01, 2.894E+01
 3.950E+02, 3.504E+01, 2.862E+01
 4.000E+02, 3.564E+01, 2.862E+01
