s,kW,C
Time,"qdot","Tsurf"
 0.000E+00,-4.188E-11, 2.000E+01
 5.001E+00, 6.038E+01, 2.719E+01
 1.000E+01, 6.889E+01, 3.597E+01
 1.500E+01, 6.382E+01, 4.207E+01
 2.000E+01, 6.095E+01, 4.620E+01
 2.500E+01, 6.039E+01, 4.987E+01
 3.000E+01, 5.670E+01, 5.340E+01
 3.500E+01, 5.698E+01, 5.621E+01
 4.000E+01, 5.444E+01, 5.895E+01
 4.500E+01, 5.276E+01, 6.192E+01
 5.000E+01, 5.403E+01, 6.331E+01
 5.500E+01, 5.187E+01, 6.569E+01
 6.000E+01, 5.004E+01, 6.778E+01
 6.500E+01, 5.085E+01, 6.914E+01
 7.000E+01, 5.077E+01, 6.980E+01
 7.500E+01, 4.945E+01, 7.022E+01
 8.000E+01, 4.968E+01, 7.141E+01
 8.500E+01, 4.944E+01, 7.185E+01
 9.000E+01, 4.956E+01, 7.270E+01
 9.500E+01, 4.956E+01, 7.343E+01
 1.000E+02, 4.993E+01, 7.360E+01
 1.050E+02, 4.851E+01, 7.388E+01
 1.100E+02, 4.918E+01, 7.393E+01
 1.150E+02, 4.923E+01, 7.309E+01
 1.200E+02, 4.915E+01, 7.393E+01
 1.250E+02, 5.018E+01, 7.365E+01
 1.300E+02, 4.953E+01, 7.494E+01
 1.350E+02, 4.981E+01, 7.502E+01
 1.400E+02, 4.947E+01, 7.508E+01
 1.450E+02, 4.948E+01, 7.500E+01
 1.500E+02, 4.961E+01, 7.509E+01
 1.550E+02, 4.971E+01, 7.490E+01
 1.600E+02, 5.006E+01, 7.503E+01
 1.650E+02, 4.984E+01, 7.472E+01
 1.700E+02, 5.024E+01, 7.551E+01
 1.750E+02, 4.959E+01, 7.523E+01
 1.800E+02, 4.873E+01, 7.499E+01
 1.850E+02, 4.916E+01, 7.524E+01
 1.900E+02, 5.016E+01, 7.514E+01
 1.950E+02, 4.943E+01, 7.505E+01
 2.000E+02, 4.921E+01, 7.559E+01
 2.050E+02, 4.962E+01, 7.526E+01
 2.100E+02, 4.963E+01, 7.504E+01
 2.150E+02, 4.945E+01, 7.466E+01
 2.200E+02, 4.971E+01, 7.515E+01
 2.250E+02, 4.963E+01, 7.522E+01
 2.300E+02, 4.990E+01, 7.486E+01
 2.350E+02, 4.932E+01, 7.519E+01
 2.400E+02, 4.956E+01, 7.471E+01
 2.450E+02, 4.900E+01, 7.519E+01
 2.500E+02, 4.926E+01, 7.494E+01
 2.550E+02, 4.981E+01, 7.533E+01
 2.600E+02, 4.935E+01, 7.539E+01
 2.650E+02, 5.014E+01, 7.506E+01
 2.700E+02, 4.968E+01, 7.541E+01
 2.750E+02, 4.965E+01, 7.472E+01
 2.800E+02, 5.059E+01, 7.459E+01
 2.850E+02, 4.976E+01, 7.542E+01
 2.900E+02, 4.952E+01, 7.483E+01
 2.950E+02, 4.930E+01, 7.509E+01
 3.000E+02, 5.033E+01, 7.513E+01
 3.050E+02, 4.978E+01, 7.430E+01
 3.100E+02, 4.920E+01, 7.504E+01
 3.150E+02, 5.080E+01, 7.431E+01
 3.200E+02, 4.909E+01, 7.508E+01
 3.250E+02, 4.947E+01, 7.553E+01
 3.300E+02, 4.872E+01, 7.559E+01
 3.350E+02, 4.861E+01, 7.531E+01
 3.400E+02, 4.977E+01, 7.502E+01
 3.450E+02, 4.891E+01, 7.540E+01
 3.500E+02, 5.075E+01, 7.595E+01
 3.550E+02, 4.978E+01, 7.534E+01
 3.600E+02, 5.052E+01, 7.517E+01
 3.650E+02, 4.990E+01, 7.574E+01
 3.700E+02, 4.960E+01, 7.515E+01
 3.750E+02, 4.976E+01, 7.527E+01
 3.800E+02, 4.909E+01, 7.497E+01
 3.850E+02, 5.050E+01, 7.455E+01
 3.900E+02, 4.946E+01, 7.492E+01
 3.950E+02, 4.890E+01, 7.526E+01
 4.000E+02, 4.956E+01, 7.481E+01
