s,kW,C
Time,"qdot","Tsurf"
 0.000E+00,-4.188E-11,-1.000E+00
 5.000E+00, 3.029E+01,-9.070E+00
 1.000E+01, 2.561E+01,-9.220E+00
 1.500E+01, 2.529E+01,-9.201E+00
 2.000E+01, 2.620E+01,-9.161E+00
 2.500E+01, 2.518E+01,-9.103E+00
 3.000E+01, 2.568E+01,-8.944E+00
 3.500E+01, 2.550E+01,-8.771E+00
 4.000E+01, 2.555E+01,-8.467E+00
 4.500E+01, 2.598E+01,-8.203E+00
 5.000E+01, 2.518E+01,-7.815E+00
 5.500E+01, 2.547E+01,-7.620E+00
 6.000E+01, 2.570E+01,-7.250E+00
 6.500E+01, 2.495E+01,-7.005E+00
 7.000E+01, 2.530E+01,-6.671E+00
 7.500E+01, 2.553E+01,-6.498E+00
 8.000E+01, 2.551E+01,-6.142E+00
 8.500E+01, 2.482E+01,-5.918E+00
 9.000E+01, 2.584E+01,-5.615E+00
 9.500E+01, 2.515E+01,-5.467E+00
 1.000E+02, 2.491E+01,-5.459E+00
 1.050E+02, 2.539E+01,-5.209E+00
 1.100E+02, 2.441E+01,-5.221E+00
 1.150E+02, 2.537E+01,-5.143E+00
 1.200E+02, 2.535E+01,-5.001E+00
 1.250E+02, 2.569E+01,-5.001E+00
 1.300E+02, 2.481E+01,-4.994E+00
 1.350E+02, 2.509E+01,-4.885E+00
 1.400E+02, 2.502E+01,-4.664E+00
 1.450E+02, 2.509E+01,-4.718E+00
 1.500E+02, 2.494E+01,-4.811E+00
 1.550E+02, 2.508E+01,-4.864E+00
 1.600E+02, 2.481E+01,-4.549E+00
 1.650E+02, 2.507E+01,-4.780E+00
 1.700E+02, 2.530E+01,-4.714E+00
 1.750E+02, 2.491E+01,-4.689E+00
 1.800E+02, 2.441E+01,-4.731E+00
 1.850E+02, 2.508E+01,-4.890E+00
 1.900E+02, 2.540E+01,-4.605E+00
 1.950E+02, 2.455E+01,-4.688E+00
 2.000E+02, 2.523E+01,-4.721E+00
 2.050E+02, 2.436E+01,-4.776E+00
 2.100E+02, 2.488E+01,-4.847E+00
 2.150E+02, 2.532E+01,-4.854E+00
 2.200E+02, 2.526E+01,-4.706E+00
 2.250E+02, 2.506E+01,-4.635E+00
 2.300E+02, 2.509E+01,-4.672E+00
 2.350E+02, 2.498E+01,-4.752E+00
 2.400E+02, 2.503E+01,-4.650E+00
 2.450E+02, 2.489E+01,-4.641E+00
 2.500E+02, 2.529E+01,-4.641E+00
 2.550E+02, 2.540E+01,-4.494E+00
 2.600E+02, 2.526E+01,-4.595E+00
 2.650E+02, 2.505E+01,-4.741E+00
 2.700E+02, 2.554E+01,-4.710E+00
 2.750E+02, 2.515E+01,-4.664E+00
 2.800E+02, 2.504E+01,-4.470E+00
 2.850E+02, 2.462E+01,-4.740E+00
 2.900E+02, 2.482E+01,-4.772E+00
 2.950E+02, 2.486E+01,-4.624E+00
 3.000E+02, 2.552E+01,-4.656E+00
 3.050E+02, 2.487E+01,-4.651E+00
 3.100E+02, 2.514E+01,-4.778E+00
 3.150E+02, 2.533E+01,-4.512E+00
 3.200E+02, 2.540E+01,-4.690E+00
 3.250E+02, 2.512E+01,-4.581E+00
 3.300E+02, 2.560E+01,-4.404E+00
 3.350E+02, 2.612E+01,-4.529E+00
 3.400E+02, 2.547E+01,-4.565E+00
 3.450E+02, 2.484E+01,-4.501E+00
 3.500E+02, 2.561E+01,-4.562E+00
 3.550E+02, 2.559E+01,-4.482E+00
 3.600E+02, 2.486E+01,-4.621E+00
 3.650E+02, 2.444E+01,-4.582E+00
 3.700E+02, 2.475E+01,-4.657E+00
 3.750E+02, 2.526E+01,-4.660E+00
 3.800E+02, 2.570E+01,-4.780E+00
 3.850E+02, 2.513E+01,-4.691E+00
 3.900E+02, 2.526E+01,-4.619E+00
 3.950E+02, 2.493E+01,-4.634E+00
 4.000E+02, 2.462E+01,-4.574E+00
