s,kg/s,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,kW/m2,kW/m2,kW/m2,kW/m2
Time,"MLRPUA","C 1","C 2","R 1","R 2","G 1","G 2","R 1.1","R 1.2","R 1.3","R 1.4"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1876582E-001, 4.1876582E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0053241E+000, 1.3338083E-002, 2.6470803E+000, 4.3526184E+000, 2.6462262E+001, 1.8906973E+001, 7.3661596E-002, 3.3494526E-002, 1.2136726E+001, 3.1110244E+000, 9.3237602E-001, 1.9223779E-001
 2.0010065E+000, 1.9736059E-002, 1.5044860E+000, 4.2513487E+000, 3.5032511E+001, 2.1531387E+001, 1.2657695E-001, 6.8977923E-002, 3.8768355E+001, 4.4717418E+001, 4.6869507E+001, 4.6628226E+001
 3.0015272E+000, 2.7162158E-002, 1.3857641E+000, 5.8827931E+000, 3.6213271E+001, 2.5845478E+001, 1.6300535E-001, 6.1385290E-002, 4.0153016E+001, 4.8063232E+001, 5.5929910E+001, 6.2425270E+001
 4.0001117E+000, 3.4781964E-002, 9.3870769E-001, 8.2677743E+000, 3.6761217E+001, 2.9029099E+001, 2.2132064E-001, 4.1960037E-002, 4.0239539E+001, 4.7031432E+001, 5.6070578E+001, 6.4468789E+001
 5.0012749E+000, 3.8827745E-002, 9.5154363E-001, 6.9459782E+000, 3.4924237E+001, 2.8909215E+001, 2.5449401E-001, 5.6843949E-002, 3.7908447E+001, 4.3851117E+001, 5.1836457E+001, 5.9930810E+001
 6.0018215E+000, 3.7940275E-002, 1.0524405E+000, 6.3851076E+000, 3.3118315E+001, 2.9837202E+001, 2.5538589E-001, 6.6497638E-002, 3.6106332E+001, 4.1749945E+001, 4.8203829E+001, 5.5134175E+001
 7.0009949E+000, 3.9881571E-002, 8.3258293E-001, 7.2594096E+000, 3.4930297E+001, 3.1462397E+001, 2.8457939E-001, 6.1794409E-002, 3.8490591E+001, 4.5935262E+001, 5.3456283E+001, 6.0465981E+001
 8.0009483E+000, 3.5474378E-002, 1.2758264E+000, 4.8441616E+000, 3.4078878E+001, 2.9527925E+001, 2.8050536E-001, 8.1492146E-002, 3.7799823E+001, 4.6018804E+001, 5.6087318E+001, 6.7182787E+001
