s,kW,C
Time,"qdot","Tsurf"
 0.000E+00,-4.188E-11, 2.000E+01
 5.002E+00, 3.372E+01, 3.247E+01
 1.000E+01, 3.917E+01, 3.902E+01
 1.500E+01, 3.876E+01, 4.032E+01
 2.000E+01, 3.859E+01, 4.135E+01
 2.500E+01, 3.916E+01, 4.210E+01
 3.000E+01, 3.917E+01, 4.226E+01
 3.500E+01, 3.863E+01, 4.278E+01
 4.000E+01, 3.801E+01, 4.300E+01
 4.500E+01, 3.830E+01, 4.313E+01
 5.000E+01, 3.768E+01, 4.320E+01
 5.500E+01, 3.782E+01, 4.324E+01
 6.000E+01, 3.828E+01, 4.365E+01
 6.500E+01, 3.859E+01, 4.331E+01
 7.000E+01, 3.877E+01, 4.357E+01
 7.500E+01, 3.774E+01, 4.388E+01
 8.000E+01, 3.803E+01, 4.388E+01
 8.500E+01, 3.829E+01, 4.395E+01
 9.000E+01, 3.752E+01, 4.387E+01
 9.500E+01, 3.837E+01, 4.384E+01
 1.000E+02, 3.807E+01, 4.410E+01
 1.050E+02, 3.844E+01, 4.399E+01
 1.100E+02, 3.797E+01, 4.409E+01
 1.150E+02, 3.846E+01, 4.410E+01
 1.200E+02, 3.862E+01, 4.417E+01
 1.250E+02, 3.935E+01, 4.437E+01
 1.300E+02, 3.884E+01, 4.417E+01
 1.350E+02, 3.797E+01, 4.443E+01
 1.400E+02, 3.806E+01, 4.452E+01
 1.450E+02, 3.842E+01, 4.440E+01
 1.500E+02, 3.809E+01, 4.430E+01
 1.550E+02, 3.887E+01, 4.461E+01
 1.600E+02, 3.928E+01, 4.482E+01
 1.650E+02, 3.878E+01, 4.465E+01
 1.700E+02, 3.851E+01, 4.441E+01
 1.750E+02, 3.939E+01, 4.459E+01
 1.800E+02, 3.891E+01, 4.484E+01
 1.850E+02, 3.925E+01, 4.465E+01
 1.900E+02, 3.833E+01, 4.489E+01
 1.950E+02, 3.826E+01, 4.457E+01
 2.000E+02, 3.857E+01, 4.460E+01
 2.050E+02, 3.860E+01, 4.468E+01
 2.100E+02, 3.871E+01, 4.499E+01
 2.150E+02, 3.811E+01, 4.489E+01
 2.200E+02, 3.816E+01, 4.457E+01
 2.250E+02, 3.875E+01, 4.504E+01
 2.300E+02, 3.903E+01, 4.495E+01
 2.350E+02, 3.928E+01, 4.508E+01
 2.400E+02, 3.947E+01, 4.527E+01
 2.450E+02, 3.937E+01, 4.495E+01
 2.500E+02, 3.886E+01, 4.500E+01
 2.550E+02, 3.940E+01, 4.493E+01
 2.600E+02, 3.897E+01, 4.500E+01
 2.650E+02, 3.834E+01, 4.495E+01
 2.700E+02, 3.915E+01, 4.491E+01
 2.750E+02, 3.893E+01, 4.491E+01
 2.800E+02, 3.848E+01, 4.527E+01
 2.850E+02, 3.866E+01, 4.497E+01
 2.900E+02, 3.884E+01, 4.517E+01
 2.950E+02, 3.905E+01, 4.500E+01
 3.000E+02, 3.849E+01, 4.510E+01
 3.050E+02, 3.850E+01, 4.501E+01
 3.100E+02, 3.892E+01, 4.498E+01
 3.150E+02, 3.865E+01, 4.512E+01
 3.200E+02, 3.865E+01, 4.520E+01
 3.250E+02, 3.938E+01, 4.516E+01
 3.300E+02, 3.984E+01, 4.511E+01
 3.350E+02, 3.963E+01, 4.522E+01
 3.400E+02, 3.911E+01, 4.504E+01
 3.450E+02, 3.946E+01, 4.500E+01
 3.500E+02, 3.912E+01, 4.512E+01
 3.550E+02, 3.867E+01, 4.523E+01
 3.600E+02, 3.818E+01, 4.497E+01
 3.650E+02, 3.844E+01, 4.523E+01
 3.700E+02, 3.889E+01, 4.517E+01
 3.750E+02, 3.878E+01, 4.499E+01
 3.800E+02, 3.871E+01, 4.491E+01
 3.850E+02, 3.901E+01, 4.501E+01
 3.900E+02, 3.907E+01, 4.509E+01
 3.950E+02, 3.847E+01, 4.538E+01
 4.000E+02, 3.919E+01, 4.486E+01
