s,kg/s/m2,C
Time,"MASS FLUX WATER","TMP WALL"
 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.2000000E+000, 2.3941323E-003, 2.7482580E+001
 2.4100000E+000, 4.6241832E-003, 3.8625029E+001
 3.6100000E+000, 7.1400925E-003, 4.2278589E+001
 4.8100000E+000, 8.2754684E-003, 4.6137777E+001
 6.0100000E+000, 9.5552039E-003, 4.7968694E+001
 7.2100000E+000, 1.0632419E-002, 4.8974678E+001
 8.4100000E+000, 1.0887999E-002, 5.0684274E+001
 9.6100000E+000, 1.1705165E-002, 5.1445487E+001
 1.0810000E+001, 1.2280638E-002, 5.2010081E+001
 1.2010000E+001, 1.2764701E-002, 5.2440582E+001
 1.3210000E+001, 1.3094028E-002, 5.2880779E+001
 1.4410000E+001, 1.3392257E-002, 5.3281959E+001
 1.5610000E+001, 1.3661358E-002, 5.3644174E+001
 1.6810000E+001, 1.3952724E-002, 5.3913750E+001
 1.8000000E+001, 1.4224872E-002, 5.4085794E+001
 1.9200000E+001, 1.4320209E-002, 5.4361087E+001
 2.0400000E+001, 1.4345349E-002, 5.4837451E+001
 2.1600000E+001, 1.4613336E-002, 5.5123781E+001
 2.2800000E+001, 1.4876881E-002, 5.5212223E+001
 2.4000000E+001, 1.5125665E-002, 5.5151874E+001
 2.5200000E+001, 1.5472845E-002, 5.4962181E+001
 2.6400000E+001, 1.5718637E-002, 5.4656429E+001
 2.7600000E+001, 1.5406397E-002, 5.4954554E+001
 2.8800000E+001, 1.5749060E-002, 5.5005461E+001
 3.0000000E+001, 1.5563044E-002, 5.5270822E+001
 3.1200000E+001, 1.5646356E-002, 5.5564784E+001
 3.2400000E+001, 1.5777370E-002, 5.5719049E+001
 3.3600000E+001, 1.5942328E-002, 5.5729890E+001
 3.4800000E+001, 1.6198431E-002, 5.5623390E+001
 3.6000000E+001, 1.6382771E-002, 5.5309672E+001
 3.7200000E+001, 1.6300819E-002, 5.5327306E+001
 3.8400000E+001, 1.6011899E-002, 5.5880509E+001
