s,kg/s,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,kW/m2,kW/m2,kW/m2,kW/m2
Time,"MLRPUA","C 1","C 2","R 1","R 2","G 1","G 2","R 1.1","R 1.2","R 1.3","R 1.4"
 2.5001286E+001, 3.0483951E-002, 9.0243915E-001, 8.5581044E-001, 2.8710478E+001, 2.8499696E+001, 5.1447598E-001, 4.3340281E-001, 3.1991327E+001, 3.7356481E+001, 4.1728162E+001, 4.5763143E+001
 2.6001686E+001, 2.8443624E-002, 7.8784813E-001, 6.7441725E-001, 2.6762430E+001, 2.7554050E+001, 5.4699077E-001, 5.0824723E-001, 2.9803785E+001, 3.5084003E+001, 3.9855850E+001, 4.4820852E+001
 2.7001901E+001, 2.9632177E-002, 7.9592524E-001, 6.6909280E-001, 2.8981424E+001, 2.9458473E+001, 5.4050581E-001, 4.8431642E-001, 3.2336343E+001, 3.8258665E+001, 4.2961692E+001, 4.7044025E+001
 2.8001091E+001, 2.8364354E-002, 8.7431247E-001, 8.0725672E-001, 2.6415122E+001, 2.8431631E+001, 5.2730111E-001, 4.2673119E-001, 2.9389958E+001, 3.4359118E+001, 3.8322017E+001, 4.2637326E+001
 2.9000436E+001, 2.9035835E-002, 6.1699953E-001, 6.6401311E-001, 2.7144376E+001, 2.9735296E+001, 6.0248211E-001, 4.4459554E-001, 3.0154704E+001, 3.5232748E+001, 3.9321823E+001, 4.3369171E+001
 3.0000507E+001, 2.9764387E-002, 9.2944054E-001, 7.3538526E-001, 2.7553284E+001, 2.6097363E+001, 5.2359188E-001, 4.2628602E-001, 3.0821615E+001, 3.6300696E+001, 4.1197078E+001, 4.5733820E+001
 3.1000553E+001, 3.0356584E-002, 6.0106484E-001, 5.8461232E-001, 2.6309512E+001, 2.8143796E+001, 6.0444855E-001, 4.7413236E-001, 2.9234135E+001, 3.4676805E+001, 3.9095180E+001, 4.3331857E+001
 3.2002495E+001, 3.0344594E-002, 7.7315483E-001, 5.9902583E-001, 2.6522768E+001, 2.9826955E+001, 5.5019894E-001, 4.6431152E-001, 2.9487811E+001, 3.4504503E+001, 3.8855045E+001, 4.3328738E+001
 3.3000834E+001, 3.0114322E-002, 8.7216050E-001, 6.0910290E-001, 2.7197548E+001, 2.7449291E+001, 5.1421263E-001, 4.5543234E-001, 3.0337557E+001, 3.5602695E+001, 4.0138627E+001, 4.4388859E+001
 3.4000559E+001, 3.0215891E-002, 6.1662768E-001, 5.8921139E-001, 2.7105620E+001, 3.2897643E+001, 5.7044132E-001, 4.7124521E-001, 3.0098445E+001, 3.5668826E+001, 4.0304695E+001, 4.5507445E+001
