s,kW,C
Time,"qdot","Tsurf"
 0.000E+00,-4.188E-11, 2.000E+01
 5.002E+00, 4.379E+01, 3.876E+01
 1.000E+01, 4.554E+01, 5.472E+01
 1.500E+01, 4.179E+01, 6.358E+01
 2.000E+01, 4.031E+01, 6.923E+01
 2.500E+01, 3.986E+01, 7.358E+01
 3.000E+01, 3.848E+01, 7.658E+01
 3.500E+01, 3.747E+01, 7.902E+01
 4.000E+01, 3.843E+01, 8.035E+01
 4.500E+01, 3.717E+01, 8.233E+01
 5.000E+01, 3.730E+01, 8.267E+01
 5.500E+01, 3.738E+01, 8.392E+01
 6.000E+01, 3.824E+01, 8.463E+01
 6.500E+01, 3.792E+01, 8.533E+01
 7.000E+01, 3.674E+01, 8.480E+01
 7.500E+01, 3.864E+01, 8.571E+01
 8.000E+01, 3.808E+01, 8.584E+01
 8.500E+01, 3.838E+01, 8.633E+01
 9.000E+01, 3.742E+01, 8.611E+01
 9.500E+01, 3.759E+01, 8.600E+01
 1.000E+02, 3.915E+01, 8.678E+01
 1.050E+02, 3.835E+01, 8.663E+01
 1.100E+02, 3.892E+01, 8.763E+01
 1.150E+02, 3.810E+01, 8.788E+01
 1.200E+02, 3.745E+01, 8.750E+01
 1.250E+02, 3.784E+01, 8.668E+01
 1.300E+02, 3.801E+01, 8.623E+01
 1.350E+02, 3.829E+01, 8.600E+01
 1.400E+02, 3.847E+01, 8.613E+01
 1.450E+02, 3.806E+01, 8.611E+01
 1.500E+02, 3.741E+01, 8.615E+01
 1.550E+02, 3.797E+01, 8.621E+01
 1.600E+02, 3.773E+01, 8.575E+01
 1.650E+02, 3.853E+01, 8.679E+01
 1.700E+02, 3.807E+01, 8.704E+01
 1.750E+02, 3.861E+01, 8.675E+01
 1.800E+02, 3.823E+01, 8.623E+01
 1.850E+02, 3.863E+01, 8.613E+01
 1.900E+02, 3.878E+01, 8.695E+01
 1.950E+02, 3.888E+01, 8.780E+01
 2.000E+02, 3.775E+01, 8.696E+01
 2.050E+02, 3.817E+01, 8.701E+01
 2.100E+02, 3.856E+01, 8.757E+01
 2.150E+02, 3.756E+01, 8.709E+01
 2.200E+02, 3.850E+01, 8.670E+01
 2.250E+02, 3.894E+01, 8.722E+01
 2.300E+02, 3.814E+01, 8.726E+01
 2.350E+02, 3.911E+01, 8.662E+01
 2.400E+02, 3.857E+01, 8.702E+01
 2.450E+02, 3.791E+01, 8.679E+01
 2.500E+02, 3.865E+01, 8.696E+01
 2.550E+02, 3.897E+01, 8.732E+01
 2.600E+02, 3.864E+01, 8.772E+01
 2.650E+02, 3.840E+01, 8.770E+01
 2.700E+02, 3.897E+01, 8.776E+01
 2.750E+02, 3.858E+01, 8.748E+01
 2.800E+02, 3.902E+01, 8.743E+01
 2.850E+02, 3.923E+01, 8.801E+01
 2.900E+02, 3.800E+01, 8.647E+01
 2.950E+02, 3.855E+01, 8.673E+01
 3.000E+02, 3.903E+01, 8.731E+01
 3.050E+02, 3.917E+01, 8.769E+01
 3.100E+02, 3.872E+01, 8.752E+01
 3.150E+02, 3.841E+01, 8.747E+01
 3.200E+02, 3.882E+01, 8.715E+01
 3.250E+02, 3.825E+01, 8.652E+01
 3.300E+02, 3.854E+01, 8.735E+01
 3.350E+02, 3.796E+01, 8.646E+01
 3.400E+02, 3.822E+01, 8.674E+01
 3.450E+02, 3.804E+01, 8.715E+01
 3.500E+02, 3.848E+01, 8.688E+01
 3.550E+02, 3.828E+01, 8.629E+01
 3.600E+02, 3.835E+01, 8.686E+01
 3.650E+02, 3.843E+01, 8.731E+01
 3.700E+02, 3.914E+01, 8.717E+01
 3.750E+02, 3.946E+01, 8.719E+01
 3.800E+02, 3.838E+01, 8.698E+01
 3.850E+02, 3.917E+01, 8.705E+01
 3.900E+02, 3.802E+01, 8.684E+01
 3.950E+02, 3.857E+01, 8.687E+01
 4.000E+02, 3.780E+01, 8.627E+01
