s,kW,C
Time,"qdot","Tsurf"
 0.000E+00,-4.188E-11, 2.000E+01
 5.001E+00, 2.430E+01, 1.954E+01
 1.000E+01, 2.612E+01, 1.799E+01
 1.500E+01, 2.556E+01, 1.765E+01
 2.000E+01, 2.603E+01, 1.850E+01
 2.500E+01, 2.648E+01, 1.860E+01
 3.000E+01, 2.605E+01, 1.913E+01
 3.500E+01, 2.642E+01, 1.912E+01
 4.000E+01, 2.634E+01, 1.916E+01
 4.500E+01, 2.633E+01, 1.888E+01
 5.000E+01, 2.696E+01, 1.936E+01
 5.500E+01, 2.651E+01, 1.918E+01
 6.000E+01, 2.649E+01, 1.951E+01
 6.500E+01, 2.712E+01, 1.979E+01
 7.000E+01, 2.724E+01, 2.009E+01
 7.500E+01, 2.706E+01, 1.975E+01
 8.000E+01, 2.668E+01, 1.988E+01
 8.500E+01, 2.754E+01, 2.013E+01
 9.000E+01, 2.764E+01, 2.049E+01
 9.500E+01, 2.783E+01, 2.071E+01
 1.000E+02, 2.716E+01, 2.018E+01
 1.050E+02, 2.736E+01, 2.020E+01
 1.100E+02, 2.695E+01, 2.032E+01
 1.150E+02, 2.754E+01, 2.058E+01
 1.200E+02, 2.828E+01, 2.125E+01
 1.250E+02, 2.798E+01, 2.076E+01
 1.300E+02, 2.805E+01, 2.107E+01
 1.350E+02, 2.889E+01, 2.112E+01
 1.400E+02, 2.834E+01, 2.138E+01
 1.450E+02, 2.791E+01, 2.107E+01
 1.500E+02, 2.771E+01, 2.113E+01
 1.550E+02, 2.804E+01, 2.093E+01
 1.600E+02, 2.855E+01, 2.118E+01
 1.650E+02, 2.878E+01, 2.125E+01
 1.700E+02, 2.892E+01, 2.159E+01
 1.750E+02, 2.871E+01, 2.190E+01
 1.800E+02, 2.881E+01, 2.179E+01
 1.850E+02, 2.923E+01, 2.183E+01
 1.900E+02, 2.899E+01, 2.196E+01
 1.950E+02, 2.910E+01, 2.218E+01
 2.000E+02, 2.790E+01, 2.097E+01
 2.050E+02, 2.901E+01, 2.174E+01
 2.100E+02, 2.881E+01, 2.159E+01
 2.150E+02, 2.915E+01, 2.193E+01
 2.200E+02, 2.871E+01, 2.145E+01
 2.250E+02, 2.845E+01, 2.120E+01
 2.300E+02, 2.873E+01, 2.143E+01
 2.350E+02, 2.863E+01, 2.130E+01
 2.400E+02, 2.859E+01, 2.154E+01
 2.450E+02, 2.909E+01, 2.168E+01
 2.500E+02, 2.869E+01, 2.161E+01
 2.550E+02, 2.884E+01, 2.177E+01
 2.600E+02, 2.910E+01, 2.173E+01
 2.650E+02, 2.929E+01, 2.202E+01
 2.700E+02, 2.966E+01, 2.209E+01
 2.750E+02, 2.990E+01, 2.242E+01
 2.800E+02, 3.035E+01, 2.254E+01
 2.850E+02, 2.979E+01, 2.224E+01
 2.900E+02, 2.990E+01, 2.225E+01
 2.950E+02, 2.963E+01, 2.260E+01
 3.000E+02, 2.975E+01, 2.229E+01
 3.050E+02, 3.016E+01, 2.245E+01
 3.100E+02, 3.033E+01, 2.280E+01
 3.150E+02, 3.029E+01, 2.247E+01
 3.200E+02, 2.995E+01, 2.258E+01
 3.250E+02, 3.033E+01, 2.259E+01
 3.300E+02, 3.002E+01, 2.246E+01
 3.350E+02, 3.059E+01, 2.265E+01
 3.400E+02, 3.065E+01, 2.284E+01
 3.450E+02, 3.015E+01, 2.279E+01
 3.500E+02, 2.979E+01, 2.297E+01
 3.550E+02, 3.056E+01, 2.288E+01
 3.600E+02, 3.010E+01, 2.274E+01
 3.650E+02, 3.097E+01, 2.318E+01
 3.700E+02, 2.991E+01, 2.283E+01
 3.750E+02, 3.055E+01, 2.303E+01
 3.800E+02, 2.994E+01, 2.268E+01
 3.850E+02, 3.044E+01, 2.259E+01
 3.900E+02, 3.060E+01, 2.288E+01
 3.950E+02, 3.017E+01, 2.267E+01
 4.000E+02, 3.020E+01, 2.292E+01
