s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-3.0000000E+001, 0.0000000E+000,-2.0914938E-002, 8.6106178E-023, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0914938E-002, 0.0000000E+000, 0.0000000E+000,-5.8906972E-001
-1.4928575E+001, 0.0000000E+000, 2.5320472E-001, 1.8919198E-002, 4.2463164E-001,-2.1051177E-024,-1.0954167E+000, 0.0000000E+000,-4.0276426E-001,-3.9866113E-001, 0.0000000E+000, 0.0000000E+000,-6.9459918E+001
 1.3187713E-002, 0.0000000E+000, 2.7484043E-001, 4.4802098E-003, 4.1211653E-001, 0.0000000E+000,-8.3388894E-003, 0.0000000E+000, 6.8333452E-001, 6.8309828E-001, 0.0000000E+000, 0.0000000E+000,-6.9983159E+001
 1.5007579E+001, 4.7765661E+001,-1.3342763E+001,-1.9521500E-001,-3.0036901E+000,-1.7132029E-001, 3.3559280E+000, 0.0000000E+000, 3.4246166E+001, 3.4408600E+001, 1.2184024E-003, 1.2184024E-003, 1.3907380E+002
 3.0011633E+001, 1.3856630E+002,-3.8327835E+001,-3.5055065E+000,-1.2738108E+001,-4.6111825E-001, 2.1655709E+000, 0.0000000E+000, 8.5655318E+001, 8.5699301E+001, 3.5142176E-003, 3.5142176E-003, 2.7432472E+002
 4.5007423E+001, 2.1230085E+002,-5.9746856E+001,-8.6420837E+000,-2.3076004E+001,-6.3502910E-001, 9.0393504E-001, 0.0000000E+000, 1.2112966E+002, 1.2110481E+002, 5.2744505E-003, 5.2744505E-003, 3.3068269E+002
 6.0006157E+001, 2.8056155E+002,-8.2414570E+001,-1.5860366E+001,-3.7036453E+001,-7.9468630E-001, 9.5050081E-001, 0.0000000E+000, 1.4526161E+002, 1.4540597E+002, 6.9761192E-003, 6.9761192E-003, 3.8838969E+002
 7.5000511E+001, 3.4210747E+002,-1.0577750E+002,-2.5250408E+001,-5.6078936E+001,-8.9125822E-001,-1.4435188E-001, 0.0000000E+000, 1.5392959E+002, 1.5396501E+002, 8.6775259E-003, 8.6775259E-003, 3.7857084E+002
 9.0005348E+001, 4.1876651E+002,-1.3845727E+002,-3.6727690E+001,-7.5711135E+001,-9.9811370E-001, 9.9761374E-001, 0.0000000E+000, 1.6767596E+002, 1.6786992E+002, 1.0324683E-002, 1.0324683E-002, 4.3854374E+002
