s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 3.1501361E+002, 4.9981260E+002,-3.2006202E+002,-5.0615999E+001,-1.8086794E+002,-3.3258759E-001, 5.4076749E-001, 0.0000000E+000,-5.1365201E+001,-5.1525176E+001, 1.9066332E-002, 1.9066332E-002,-1.6089002E+002
 3.3002795E+002, 4.8991566E+002,-3.0578891E+002,-5.3214765E+001,-1.7271332E+002,-3.0534295E-001,-8.3813992E-001, 0.0000000E+000,-4.2084870E+001,-4.2944811E+001, 1.6884782E-002, 1.6884782E-002,-2.1315943E+002
 3.4500739E+002, 4.3379190E+002,-2.8077580E+002,-4.8858229E+001,-1.5928532E+002,-1.9671335E-001,-3.3035169E-001, 0.0000000E+000,-5.5607904E+001,-5.5654510E+001, 1.5416073E-002, 1.5416073E-002,-2.3536246E+002
 3.6002856E+002, 3.8824529E+002,-2.5382233E+002,-4.5678702E+001,-1.4724858E+002,-1.9126639E-001, 1.6353276E+000, 0.0000000E+000,-5.6959681E+001,-5.7060256E+001, 1.4651379E-002, 1.4651379E-002,-1.3244960E+002
 3.7501700E+002, 3.4963543E+002,-2.2322944E+002,-4.6061105E+001,-1.3422454E+002,-1.7434079E-001,-1.0172514E+000, 0.0000000E+000,-5.5011202E+001,-5.5071247E+001, 1.3886585E-002, 1.3886585E-002,-1.9671846E+002
 3.9001654E+002, 3.0718725E+002,-2.0179375E+002,-4.2433451E+001,-1.2605936E+002,-2.6295983E-001,-1.6304891E+000, 0.0000000E+000,-6.4899745E+001,-6.4992773E+001, 1.3122233E-002, 1.3122233E-002,-2.9885839E+002
 4.0502158E+002, 2.8205629E+002,-1.7865614E+002,-4.1094572E+001,-1.1433923E+002,-2.2697022E-001, 1.3703003E+000, 0.0000000E+000,-5.0878165E+001,-5.0890317E+001, 1.2357504E-002, 1.2357504E-002,-2.1265056E+002
 4.2000031E+002, 2.7878139E+002,-1.6642624E+002,-4.3025470E+001,-1.0824316E+002,-1.8875869E-001, 1.4132648E-001, 0.0000000E+000,-3.8967498E+001,-3.8960923E+001, 1.1857838E-002, 1.1857838E-002,-2.0378271E+002
 4.3500882E+002, 2.7023042E+002,-1.5619694E+002,-4.2932396E+001,-1.0321967E+002,-1.6943459E-001,-2.2805267E-001, 0.0000000E+000,-3.2485956E+001,-3.2516064E+001, 1.1788823E-002, 1.1788823E-002,-2.1782703E+002
 4.5001044E+002, 2.3090720E+002,-1.4591720E+002,-3.5957071E+001,-9.5868002E+001,-1.6961219E-001, 4.2076963E+000, 0.0000000E+000,-4.3121708E+001,-4.2796989E+001, 1.1725799E-002, 1.1725799E-002, 4.2740441E+001
