s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 2.8100154E+003, 3.0008678E+000,-1.5042430E+000,-9.1149912E-001,-7.2708402E-001,-1.0701682E-002, 1.2920337E-003, 0.0000000E+000,-1.7263579E-001,-1.5136796E-001, 7.1434286E-005, 7.1434286E-005, 1.0723776E+002
 2.8200117E+003, 3.0021506E+000,-1.5016689E+000,-9.0687070E-001,-7.6822954E-001,-1.0698419E-002,-4.2230449E-003, 0.0000000E+000,-2.1003007E-001,-1.8953994E-001, 7.1434286E-005, 7.1434286E-005, 1.0688494E+002
 2.8300298E+003, 3.0016387E+000,-1.4991185E+000,-9.0500060E-001,-7.9116934E-001,-1.0701455E-002,-3.6476839E-004, 0.0000000E+000,-2.2579489E-001,-2.0471599E-001, 7.1434286E-005, 7.1434286E-005, 1.0685264E+002
 2.8400359E+003, 3.0040019E+000,-1.4952407E+000,-9.0200895E-001,-7.4320772E-001,-1.0695613E-002, 6.2727270E-003, 0.0000000E+000,-1.6184288E-001,-1.4087830E-001, 7.1434286E-005, 7.1434286E-005, 1.0737861E+002
 2.8500144E+003, 3.0019991E+000,-1.4949023E+000,-8.9906347E-001,-7.2469888E-001,-1.0714543E-002, 3.3413659E-004, 0.0000000E+000,-1.4792732E-001,-1.2704592E-001, 7.1434286E-005, 7.1434286E-005, 1.0740928E+002
 2.8600078E+003, 3.0036189E+000,-1.5008732E+000,-8.9668593E-001,-7.2525138E-001,-1.0703133E-002, 1.0531719E-003, 0.0000000E+000,-1.4996826E-001,-1.2884151E-001, 7.1434286E-005, 7.1434286E-005, 1.0749530E+002
 2.8700413E+003, 3.0019232E+000,-1.4988331E+000,-8.9625583E-001,-7.2034983E-001,-1.0705921E-002, 9.8657400E-005, 0.0000000E+000,-1.4534595E-001,-1.2412288E-001, 7.1434286E-005, 7.1434286E-005, 1.0750050E+002
 2.8800249E+003, 3.0047808E+000,-1.5060186E+000,-8.9328934E-001,-6.8796143E-001,-1.0697393E-002,-1.3554371E-003, 0.0000000E+000,-1.1477176E-001,-9.4541414E-002, 7.1434286E-005, 7.1434286E-005, 1.0739495E+002
 2.8900071E+003, 3.0030180E+000,-1.5067897E+000,-8.8870787E-001,-7.5592482E-001,-1.0697065E-002,-2.9663539E-003, 0.0000000E+000,-1.8328762E-001,-1.6206783E-001, 7.1434286E-005, 7.1434286E-005, 1.0714285E+002
 2.9000342E+003, 3.0033731E+000,-1.5083242E+000,-8.8238220E-001,-7.3998343E-001,-1.0700698E-002, 1.4916655E-003, 0.0000000E+000,-1.5770259E-001,-1.3652575E-001, 7.1434286E-005, 7.1434286E-005, 1.0726728E+002
 2.9100466E+003, 3.0044901E+000,-1.5098716E+000,-8.7961919E-001,-7.4479209E-001,-1.0695130E-002,-1.6576465E-003, 0.0000000E+000,-1.6235721E-001,-1.4214553E-001, 7.1434286E-005, 7.1434286E-005, 1.0714041E+002
 2.9200156E+003, 3.0035871E+000,-1.5064096E+000,-8.8176710E-001,-7.5851098E-001,-1.0698587E-002, 2.2224654E-003, 0.0000000E+000,-1.7377873E-001,-1.5157678E-001, 7.1434286E-005, 7.1434286E-005, 1.0731240E+002
 2.9300159E+003, 3.0024909E+000,-1.5072384E+000,-8.8095328E-001,-7.4161719E-001,-1.0701432E-002,-1.7076302E-003, 0.0000000E+000,-1.6031207E-001,-1.3972696E-001, 7.1434286E-005, 7.1434286E-005, 1.0717116E+002
 2.9400068E+003, 3.0024924E+000,-1.5063219E+000,-8.8072723E-001,-7.4954066E-001,-1.0705872E-002, 4.9641545E-005, 0.0000000E+000,-1.6595188E-001,-1.4475363E-001, 7.1434286E-005, 7.1434286E-005, 1.0717734E+002
 2.9500144E+003, 3.0013635E+000,-1.5099667E+000,-8.7973947E-001,-7.5017531E-001,-1.0696248E-002,-1.8773987E-003, 0.0000000E+000,-1.7163685E-001,-1.5109163E-001, 7.1434286E-005, 7.1434286E-005, 1.0702266E+002
 2.9600352E+003, 3.0028310E+000,-1.5116413E+000,-8.7945946E-001,-7.7259906E-001,-1.0697468E-002, 9.4307038E-004, 0.0000000E+000,-1.9223203E-001,-1.7062319E-001, 7.1434286E-005, 7.1434286E-005, 1.0709757E+002
 2.9700142E+003, 2.9999578E+000,-1.5103846E+000,-8.7936755E-001,-7.6276108E-001,-1.0680924E-002,-1.5316297E-003, 0.0000000E+000,-1.8588879E-001,-1.6476801E-001, 7.1434286E-005, 7.1434286E-005, 1.0696836E+002
 2.9800076E+003, 3.0032381E+000,-1.5097159E+000,-8.7621253E-001,-7.6131884E-001,-1.0685749E-002, 3.3035886E-003, 0.0000000E+000,-1.7281260E-001,-1.5139131E-001, 7.1434286E-005, 7.1434286E-005, 1.0724245E+002
 2.9900168E+003, 3.0003018E+000,-1.5092735E+000,-8.7351002E-001,-7.8160183E-001,-1.0686370E-002,-4.4883884E-003, 0.0000000E+000,-1.9988386E-001,-1.7925831E-001, 7.1434286E-005, 7.1434286E-005, 1.0686824E+002
 3.0000247E+003, 3.0019876E+000,-1.5042927E+000,-8.7575834E-001,-7.9364649E-001,-1.0689818E-002, 9.1029789E-004, 0.0000000E+000,-2.0261031E-001,-1.8148942E-001, 7.1434286E-005, 7.1434286E-005, 1.0694469E+002
 3.0100403E+003, 3.0013892E+000,-1.5037308E+000,-8.8401399E-001,-7.6877318E-001,-1.0689655E-002, 9.7213860E-004, 0.0000000E+000,-1.8563277E-001,-1.6484633E-001, 7.1434286E-005, 7.1434286E-005, 1.0702728E+002
 3.0200237E+003, 2.9992912E+000,-1.4997525E+000,-9.0096542E-001,-7.9884224E-001,-1.0680697E-002,-2.9320119E-003, 0.0000000E+000,-2.3460452E-001,-2.1388162E-001, 7.1434286E-005, 7.1434286E-005, 1.0678171E+002
 3.0300410E+003, 2.7408393E+000,-1.4275590E+000,-8.9680873E-001,-7.7191275E-001,-9.6235673E-003,-5.5128705E-002, 0.0000000E+000,-4.2856180E-001,-4.2019344E-001, 6.4263671E-005, 6.4263671E-005, 1.0230114E+002
 3.0400728E+003, 1.2934807E-003,-9.2131769E-001,-8.5666248E-001,-6.2267628E-001,-8.6059887E-006,-1.4173232E-001, 0.0000000E+000,-2.5635160E+000,-2.5411039E+000, 0.0000000E+000, 0.0000000E+000, 9.0244448E+001
 3.0500007E+003, 0.0000000E+000,-8.5143374E-001,-8.3413053E-001,-4.2729739E-001,-1.1725959E-005, 2.1808596E-002, 0.0000000E+000,-2.1102942E+000,-2.0910648E+000, 0.0000000E+000, 0.0000000E+000, 9.2053026E+001
 3.0600051E+003, 0.0000000E+000,-7.8925316E-001,-8.2740797E-001,-3.3915124E-001,-9.9959621E-006, 1.1853877E-002, 0.0000000E+000,-1.9609805E+000,-1.9439685E+000, 0.0000000E+000, 0.0000000E+000, 9.3046341E+001
 3.0700095E+003, 0.0000000E+000,-7.3488261E-001,-8.1756428E-001,-3.0418376E-001,-5.7743316E-006, 8.9860819E-003, 0.0000000E+000,-1.8641445E+000,-1.8476503E+000, 0.0000000E+000, 0.0000000E+000, 9.3798684E+001
 3.0800139E+003, 0.0000000E+000,-6.8015596E-001,-8.0332022E-001,-2.6372970E-001,-5.3889553E-006, 1.0283311E-002, 0.0000000E+000,-1.7531405E+000,-1.7369280E+000, 0.0000000E+000, 0.0000000E+000, 9.4658468E+001
 3.0900183E+003, 0.0000000E+000,-6.2885087E-001,-7.8860184E-001,-2.2169230E-001,-4.1324937E-006, 8.5710465E-003, 0.0000000E+000,-1.6457551E+000,-1.6305781E+000, 0.0000000E+000, 0.0000000E+000, 9.5379345E+001
 3.1000227E+003, 0.0000000E+000,-5.8369407E-001,-7.8296668E-001,-2.0763962E-001,-3.1789997E-006, 5.7773366E-003, 0.0000000E+000,-1.5834154E+000,-1.5685262E+000, 0.0000000E+000, 0.0000000E+000, 9.5861904E+001
 3.1100271E+003, 0.0000000E+000,-5.4100178E-001,-7.7214051E-001,-1.8679666E-001,-3.9471330E-006, 6.9272762E-003, 0.0000000E+000,-1.5076316E+000,-1.4930156E+000, 0.0000000E+000, 0.0000000E+000, 9.6441489E+001
 3.1200315E+003, 0.0000000E+000,-4.9837424E-001,-7.5933170E-001,-1.6420470E-001,-2.7504759E-006, 6.6918722E-003, 0.0000000E+000,-1.4292250E+000,-1.4152215E+000, 0.0000000E+000, 0.0000000E+000, 9.7001244E+001
 3.1300359E+003, 0.0000000E+000,-4.5752257E-001,-7.5164109E-001,-1.2944519E-001,-3.0856623E-006, 8.1723429E-003, 0.0000000E+000,-1.3440279E+000,-1.3304396E+000, 0.0000000E+000, 0.0000000E+000, 9.7684837E+001
 3.1400403E+003, 0.0000000E+000,-4.2268191E-001,-7.4444399E-001,-9.7612724E-002,-3.1362799E-006, 5.2290583E-003, 0.0000000E+000,-1.2724296E+000,-1.2595127E+000, 0.0000000E+000, 0.0000000E+000, 9.8122837E+001
 3.1500447E+003, 0.0000000E+000,-3.9224322E-001,-7.3634988E-001,-9.2455758E-002,-2.8592743E-006, 4.0023773E-003, 0.0000000E+000,-1.2293011E+000,-1.2170493E+000, 0.0000000E+000, 0.0000000E+000, 9.8458081E+001
 3.1600491E+003, 0.0000000E+000,-3.6034489E-001,-7.3029257E-001,-7.4833083E-002,-2.6403900E-006, 5.4824302E-003, 0.0000000E+000,-1.1725759E+000,-1.1599907E+000, 0.0000000E+000, 0.0000000E+000, 9.8915940E+001
 3.1700535E+003, 0.0000000E+000,-3.2920092E-001,-7.2324360E-001,-4.6365520E-002,-2.2401317E-006, 5.5236958E-003, 0.0000000E+000,-1.1051614E+000,-1.0932886E+000, 0.0000000E+000, 0.0000000E+000, 9.9377976E+001
 3.1800579E+003, 0.0000000E+000,-3.0237375E-001,-7.1575346E-001,-3.5424026E-002,-2.6084925E-006, 3.2929877E-003, 0.0000000E+000,-1.0615268E+000,-1.0502609E+000, 0.0000000E+000, 0.0000000E+000, 9.9655255E+001
 3.1900623E+003, 0.0000000E+000,-2.7752621E-001,-7.1046192E-001,-2.3649287E-002,-2.3098198E-006, 4.3497800E-003, 0.0000000E+000,-1.0182890E+000,-1.0072899E+000, 0.0000000E+000, 0.0000000E+000, 1.0001913E+002
