s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-3.0000000E+001, 0.0000000E+000,-3.1357432E-002,-7.6380197E-024, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1357432E-002, 0.0000000E+000, 0.0000000E+000,-5.8911648E-001
-1.4940574E+001, 0.0000000E+000, 7.3597844E-001, 2.8745889E-002, 1.1873437E+000,-2.6120375E-024,-1.7326643E+000, 0.0000000E+000, 2.0873248E-001, 2.1940373E-001, 0.0000000E+000, 0.0000000E+000,-7.3139680E+001
 4.7000308E-002, 0.0000000E+000, 7.9846159E-001,-4.3171046E-002, 1.1245366E+000,-1.9737341E-024,-2.3161142E-002, 0.0000000E+000, 1.8574444E+000, 1.8566660E+000, 0.0000000E+000, 0.0000000E+000,-7.4109698E+001
 1.5015070E+001, 4.8025387E+001,-1.2579271E+001,-2.1661021E-001,-2.1396128E+000,-1.7771337E-001, 3.5051805E+000, 0.0000000E+000, 3.6274791E+001, 3.6417360E+001, 1.2166611E-003, 1.2166611E-003, 7.1508203E+001
 3.0008718E+001, 1.8259723E+002,-5.0303037E+001,-3.1270294E+000,-1.4484456E+001,-6.5446780E-001, 6.2915092E+000, 0.0000000E+000, 1.2014264E+002, 1.2031975E+002, 4.6254858E-003, 4.6254858E-003, 3.3354591E+002
 4.5005142E+001, 4.4262008E+002,-1.2416755E+002,-1.5342236E+001,-4.5850631E+001,-1.4812705E+000, 3.1414982E+000, 0.0000000E+000, 2.5892753E+002, 2.5891989E+002, 1.1251917E-002, 1.1251917E-002, 4.6473771E+002
 6.0000774E+001, 7.1772821E+002,-2.1247080E+002,-4.6412024E+001,-9.2101236E+001,-2.1807099E+000, 6.7474486E+000, 0.0000000E+000, 3.7090066E+002, 3.7131089E+002, 1.8124301E-002, 1.8124301E-002, 7.4303109E+002
 7.5009171E+001, 9.8124876E+002,-3.3800933E+002,-8.7604136E+001,-1.5952294E+002,-2.6927274E+000, 2.3929326E+000, 0.0000000E+000, 3.9585567E+002, 3.9581256E+002, 2.4983244E-002, 2.4983244E-002, 8.4224968E+002
 9.0005486E+001, 1.1009240E+003,-4.8398838E+002,-1.0349166E+002,-2.2397092E+002,-2.8576777E+000,-1.2508284E+001, 0.0000000E+000, 2.7411106E+002, 2.7410705E+002, 2.7741905E-002, 2.7741905E-002, 3.1756577E+002
