s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.1299205E-002, 4.1563018E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1299164E-002, 0.0000000E+000, 0.0000000E+000,-5.7902354E-001
 1.0004390E+001, 0.0000000E+000, 1.0605152E-001, 4.0974112E-002, 1.6532031E-001, 0.0000000E+000, 1.2696444E+000, 0.0000000E+000, 0.0000000E+000, 1.5790614E+000, 1.5819903E+000, 0.0000000E+000, 0.0000000E+000, 1.0550857E+002
 2.0008780E+001, 0.0000000E+000, 1.1916431E-001,-1.2702088E-002, 1.6676630E-001, 0.0000000E+000, 2.3591556E-002, 0.0000000E+000, 0.0000000E+000, 2.9696782E-001, 2.9682007E-001, 0.0000000E+000, 0.0000000E+000, 1.0751550E+002
 3.0013170E+001, 0.0000000E+000, 1.1698685E-001,-1.6044119E-002, 1.5350830E-001, 0.0000000E+000,-1.1081740E-003, 0.0000000E+000, 0.0000000E+000, 2.5305012E-001, 2.5334285E-001, 0.0000000E+000, 0.0000000E+000, 1.0742575E+002
 4.0009609E+001, 1.9100727E+001,-4.4832938E+000,-1.4871098E-001,-8.4237367E-001,-6.4728941E-002, 1.1680921E+000, 0.0000000E+000, 0.0000000E+000, 1.4624174E+001, 1.4729712E+001, 4.6021815E-004, 4.6021815E-004, 2.0426073E+002
 5.0006386E+001, 3.5619920E+001,-8.4757091E+000,-5.6975154E-001,-3.2320848E+000,-1.1656146E-001, 1.3429854E-001, 0.0000000E+000, 0.0000000E+000, 2.3323336E+001, 2.3360111E+001, 8.5659310E-004, 8.5659310E-004, 2.1552816E+002
 6.0000851E+001, 5.2564607E+001,-1.2805833E+001,-1.4703020E+000,-5.1921529E+000,-1.6528346E-001, 3.9924437E-001, 0.0000000E+000, 0.0000000E+000, 3.3276783E+001, 3.3330281E+001, 1.2623729E-003, 1.2623729E-003, 2.4874515E+002
 7.0003181E+001, 6.9528274E+001,-1.7239945E+001,-2.7457563E+000,-7.8305327E+000,-2.1300854E-001, 6.2177272E-001, 0.0000000E+000, 0.0000000E+000, 4.2056088E+001, 4.2120804E+001, 1.6681085E-003, 1.6681085E-003, 3.0066677E+002
 8.0007179E+001, 8.6643320E+001,-2.2035557E+001,-4.4200862E+000,-1.0083150E+001,-2.5817817E-001, 9.4693828E-001, 0.0000000E+000, 0.0000000E+000, 5.0680232E+001, 5.0793288E+001, 2.0741811E-003, 2.0741811E-003, 3.7954624E+002
 9.0000786E+001, 1.0271078E+002,-2.6931062E+001,-5.9953142E+000,-1.3539815E+001,-3.0051770E-001, 7.4298563E-001, 0.0000000E+000, 0.0000000E+000, 5.6596936E+001, 5.6687054E+001, 2.4450504E-003, 2.4450504E-003, 4.4201589E+002
 1.0000505E+002, 1.1248702E+002,-3.0771990E+001,-7.6064645E+000,-1.6298229E+001,-3.2390394E-001, 2.8047307E-001, 0.0000000E+000, 0.0000000E+000, 5.7569911E+001, 5.7766903E+001, 2.6854134E-003, 2.6854134E-003, 4.6500375E+002
 1.1000163E+002, 1.2105960E+002,-3.4511080E+001,-8.8959294E+000,-2.0237526E+001,-3.4353041E-001,-5.7950281E-002, 0.0000000E+000, 0.0000000E+000, 5.6810337E+001, 5.7013582E+001, 2.8802540E-003, 2.8802540E-003, 4.6033649E+002
 1.2000834E+002, 1.2464768E+002,-3.7448048E+001,-1.0010718E+001,-2.2176004E+001,-3.4715536E-001,-2.5976659E-001, 0.0000000E+000, 0.0000000E+000, 5.4089473E+001, 5.4405987E+001, 2.9573286E-003, 2.9573286E-003, 4.3791180E+002
 1.3000378E+002, 1.2688951E+002,-3.9833154E+001,-1.0328217E+001,-2.4678721E+001,-3.5562296E-001,-4.6412055E-001, 0.0000000E+000, 0.0000000E+000, 5.0954902E+001, 5.1229679E+001, 3.0241633E-003, 3.0241633E-003, 3.9926798E+002
 1.4001100E+002, 1.2985009E+002,-4.2604553E+001,-1.0332126E+001,-2.8175946E+001,-3.6534787E-001,-4.1817528E-001, 0.0000000E+000, 0.0000000E+000, 4.7651338E+001, 4.7953942E+001, 3.0906081E-003, 3.0906081E-003, 3.6417976E+002
 1.5000603E+002, 1.3035733E+002,-4.4894133E+001,-1.0399045E+001,-3.0332123E+001,-3.6245505E-001,-5.5900428E-001, 0.0000000E+000, 0.0000000E+000, 4.3496272E+001, 4.3810570E+001, 3.0925921E-003, 3.0925921E-003, 3.1751948E+002
