s,C,C,C,C,C,C
Time,"Air Temp","VTT_1","GRS_1","NRC_1","IRSN_2","TRAC_1"
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0200000E+001, 3.0439216E+001, 3.0000024E+001, 3.0000049E+001, 3.0000046E+001, 3.0000020E+001, 3.0000026E+001
 2.0200000E+001, 3.4473459E+001, 3.0000736E+001, 3.0001332E+001, 3.0001244E+001, 3.0000650E+001, 3.0000797E+001
 3.0093686E+001, 4.4665503E+001, 3.0008083E+001, 3.0013956E+001, 3.0013036E+001, 3.0007204E+001, 3.0008687E+001
 4.0058843E+001, 5.5022945E+001, 3.0043450E+001, 3.0068954E+001, 3.0064556E+001, 3.0039300E+001, 3.0046235E+001
 5.0050245E+001, 6.5364394E+001, 3.0133165E+001, 3.0195733E+001, 3.0183627E+001, 3.0122105E+001, 3.0140409E+001
 6.0020000E+001, 7.5724516E+001, 3.0296153E+001, 3.0410495E+001, 3.0385681E+001, 3.0274452E+001, 3.0310072E+001
 7.0029982E+001, 8.6834224E+001, 3.0547230E+001, 3.0724369E+001, 3.0681397E+001, 3.0511249E+001, 3.0569916E+001
 8.0084530E+001, 1.0230124E+002, 3.0903994E+001, 3.1154538E+001, 3.1087327E+001, 3.0849524E+001, 3.0937925E+001
 9.0039871E+001, 1.1844418E+002, 3.1388115E+001, 3.1726216E+001, 3.1626951E+001, 3.1310149E+001, 3.1436201E+001
 1.0007756E+002, 1.3457509E+002, 3.2033589E+001, 3.2477786E+001, 3.2336406E+001, 3.1925798E+001, 3.2099510E+001
 1.1000337E+002, 1.5065861E+002, 3.2872347E+001, 3.3439760E+001, 3.3244901E+001, 3.2727609E+001, 3.2960200E+001
 1.2002169E+002, 1.6674627E+002, 3.3928704E+001, 3.4629911E+001, 3.4369135E+001, 3.3740361E+001, 3.4042083E+001
 1.3000669E+002, 1.8288365E+002, 3.5223001E+001, 3.6063527E+001, 3.5723116E+001, 3.4985155E+001, 3.5364834E+001
