s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.0562775E-002, 5.5020533E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0562720E-002, 0.0000000E+000, 0.0000000E+000,-5.7902354E-001
 1.0006244E+001, 0.0000000E+000, 2.7381979E-001, 6.7074734E-003, 3.7894056E-001,-7.8510224E-022, 3.7998473E-001, 0.0000000E+000, 1.0288135E+000, 1.0394526E+000, 0.0000000E+000, 0.0000000E+000, 3.1335240E+001
 2.0003702E+001, 0.0000000E+000, 3.1427456E-001,-1.8624211E-002, 3.8728897E-001,-1.2650239E-022,-2.6656416E-003, 0.0000000E+000, 6.7576039E-001, 6.8027368E-001, 0.0000000E+000, 0.0000000E+000, 3.1113240E+001
 3.0008093E+001, 0.0000000E+000, 3.0731040E-001,-3.3476683E-002, 3.4379393E-001,-2.4806268E-021,-3.1146806E-003, 0.0000000E+000, 6.0986261E-001, 6.1451296E-001, 0.0000000E+000, 0.0000000E+000, 3.0852941E+001
 4.0003342E+001, 2.8147818E+001,-6.6060876E+000,-3.8057290E-001,-1.3229421E+000,-9.8238020E-002, 1.1881530E+000, 0.0000000E+000, 2.0776538E+001, 2.0928131E+001, 6.8132474E-004, 6.8132474E-004, 1.2964018E+002
 5.0008442E+001, 5.8845359E+001,-1.4110656E+001,-1.5833424E+000,-4.7886352E+000,-1.9909197E-001, 8.0995100E-001, 0.0000000E+000, 3.8900371E+001, 3.8973584E+001, 1.4180349E-003, 1.4180349E-003, 1.9768477E+002
 6.0009968E+001, 9.8267324E+001,-2.4047585E+001,-3.9022559E+000,-9.2041453E+000,-3.2166267E-001, 2.3692257E-001, 0.0000000E+000, 6.0951835E+001, 6.1028598E+001, 2.3625310E-003, 2.3625310E-003, 2.1773664E+002
 7.0008385E+001, 1.3794249E+002,-3.4678288E+001,-6.4876124E+000,-1.4488647E+001,-4.3792458E-001, 5.2404904E-001, 0.0000000E+000, 8.2290786E+001, 8.2374066E+001, 3.3065021E-003, 3.3065021E-003, 2.6195908E+002
 8.0000114E+001, 1.7701263E+002,-4.6060620E+001,-9.8303038E+000,-2.1000776E+001,-5.4247205E-001, 7.2511555E-001, 0.0000000E+000, 1.0009591E+002, 1.0030357E+002, 4.2501459E-003, 4.2501459E-003, 3.2215696E+002
 9.0006081E+001, 2.1634273E+002,-5.8471526E+001,-1.3906732E+001,-2.9269645E+001,-6.3899918E-001, 7.8355003E-001, 0.0000000E+000, 1.1450384E+002, 1.1483938E+002, 5.1942308E-003, 5.1942308E-003, 3.8657983E+002
 1.0000358E+002, 2.5377167E+002,-7.1660659E+001,-1.8847991E+001,-3.9079721E+001,-7.2466504E-001, 3.9215383E-001, 0.0000000E+000, 1.2356067E+002, 1.2385078E+002, 6.1386513E-003, 6.1386513E-003, 4.1982457E+002
 1.1000725E+002, 2.9140141E+002,-8.7181192E+001,-2.3485175E+001,-4.8905191E+001,-8.0378322E-001, 2.5752964E-001, 0.0000000E+000, 1.3078176E+002, 1.3128360E+002, 6.9246135E-003, 6.9246135E-003, 4.4099210E+002
