s,C,C,C,C
Time,"Air Temp","IRSN_2","TRAC_1","TRAC_3"
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0200000E+001, 3.0174965E+001, 3.0000008E+001, 3.0000010E+001, 3.0000011E+001
 2.0200000E+001, 3.0508464E+001, 3.0000235E+001, 3.0000286E+001, 3.0000295E+001
 3.0200000E+001, 3.0846098E+001, 3.0001269E+001, 3.0001485E+001, 3.0001523E+001
 4.0000000E+001, 3.2914752E+001, 3.0003635E+001, 3.0004147E+001, 3.0004235E+001
 5.0000000E+001, 3.6624914E+001, 3.0009707E+001, 3.0011082E+001, 3.0011323E+001
 6.0000000E+001, 4.0307941E+001, 3.0026855E+001, 3.0030684E+001, 3.0031356E+001
 7.0150187E+001, 4.4780734E+001, 3.0063318E+001, 3.0071743E+001, 3.0073210E+001
 8.0035789E+001, 5.3102180E+001, 3.0124300E+001, 3.0139399E+001, 3.0141996E+001
 9.0005037E+001, 6.1995037E+001, 3.0221970E+001, 3.0247451E+001, 3.0251818E+001
 1.0004143E+002, 7.0916370E+001, 3.0376413E+001, 3.0417588E+001, 3.0424619E+001
 1.1010138E+002, 7.9909504E+001, 3.0604292E+001, 3.0667054E+001, 3.0677725E+001
 1.2005022E+002, 8.8860008E+001, 3.0917705E+001, 3.1007940E+001, 3.1023188E+001
 1.3005084E+002, 9.7009737E+001, 3.1323738E+001, 3.1446423E+001, 3.1467002E+001
 1.4004421E+002, 1.0366660E+002, 3.1827071E+001, 3.1986144E+001, 3.2012620E+001
 1.5006206E+002, 1.1028282E+002, 3.2419585E+001, 3.2616464E+001, 3.2648956E+001
 1.6007237E+002, 1.1691358E+002, 3.3099721E+001, 3.3336569E+001, 3.3375365E+001
 1.7006662E+002, 1.2352925E+002, 3.3860494E+001, 3.4138115E+001, 3.4183257E+001
 1.8008567E+002, 1.3015234E+002, 3.4702707E+001, 3.5022787E+001, 3.5074536E+001
 1.9007636E+002, 1.3677598E+002, 3.5626439E+001, 3.5990675E+001, 3.6049259E+001
 2.0000554E+002, 1.4558311E+002, 3.6627838E+001, 3.7038067E+001, 3.7103769E+001
 2.1000476E+002, 1.5654674E+002, 3.7726527E+001, 3.8187874E+001, 3.8261553E+001
 2.2006450E+002, 1.6757411E+002, 3.8956759E+001, 3.9476995E+001, 3.9559896E+001
 2.3004101E+002, 1.7860650E+002, 4.0330832E+001, 4.0917307E+001, 4.1010556E+001
