s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.0562775E-002, 5.5020533E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0562720E-002, 0.0000000E+000, 0.0000000E+000,-5.7902354E-001
 1.0065245E+001, 0.0000000E+000, 2.6211544E-001, 3.8166279E-002, 3.7591358E-001, 0.0000000E+000, 1.2074120E+000, 0.0000000E+000, 1.8752954E+000, 1.8836073E+000, 0.0000000E+000, 0.0000000E+000, 1.0137481E+002
 2.0054222E+001, 0.0000000E+000, 2.9677331E-001,-1.4662618E-002, 3.7838036E-001, 0.0000000E+000, 4.6345656E-002, 0.0000000E+000, 7.0567137E-001, 7.0683671E-001, 0.0000000E+000, 0.0000000E+000, 1.0531597E+002
 3.0058613E+001, 6.3320784E-003, 2.9034013E-001,-2.3984546E-002, 3.3579795E-001,-1.0391419E-004,-2.8092808E-003, 0.0000000E+000, 5.9638579E-001, 6.0557242E-001, 7.1979586E-007, 7.1979586E-007, 1.0497571E+002
 4.0010792E+001, 2.4034758E+001,-5.5831637E+000,-1.8113183E-001,-9.4109599E-001,-8.4627886E-002, 1.7719375E+000, 0.0000000E+000, 1.8893625E+001, 1.9016676E+001, 5.8491036E-004, 5.8491036E-004, 2.5245824E+002
 5.0003990E+001, 6.7076260E+001,-1.6064435E+001,-8.9504926E-001,-5.6382304E+000,-2.2632367E-001, 2.0377209E+000, 0.0000000E+000, 4.6211510E+001, 4.6289942E+001, 1.6177457E-003, 1.6177457E-003, 4.2324104E+002
 6.0006737E+001, 1.1272255E+002,-2.7535336E+001,-2.4426340E+000,-1.0804969E+001,-3.6611566E-001, 4.1622730E+000, 0.0000000E+000, 7.5618300E+001, 7.5735767E+001, 2.7082127E-003, 2.7082127E-003, 7.7267484E+002
 7.0008553E+001, 1.5803015E+002,-3.9944845E+001,-4.6479399E+000,-1.7739187E+001,-4.9648766E-001, 5.3836946E+000, 0.0000000E+000, 1.0034928E+002, 1.0058539E+002, 3.7993348E-003, 3.7993348E-003, 1.2246516E+003
 8.0010239E+001, 2.0345106E+002,-5.3452541E+001,-7.6528202E+000,-2.5549940E+001,-6.1726209E-001, 6.2522276E+000, 0.0000000E+000, 1.2200359E+002, 1.2243072E+002, 4.8903388E-003, 4.8903388E-003, 1.7496950E+003
 9.0005920E+001, 2.4470592E+002,-6.7430699E+001,-1.1195966E+001,-3.4372978E+001,-7.1181640E-001, 5.5831882E+000, 0.0000000E+000, 1.3579860E+002, 1.3657765E+002, 5.8877529E-003, 5.8877529E-003, 2.2177772E+003
 1.0001176E+002, 2.6642324E+002,-7.9004001E+001,-1.5343630E+001,-4.4061292E+001,-7.5549442E-001, 1.0854034E+000, 0.0000000E+000, 1.2717351E+002, 1.2834422E+002, 6.3803124E-003, 6.3803124E-003, 2.3074132E+003
 1.1000185E+002, 2.8334183E+002,-8.9875069E+001,-1.8278828E+001,-5.3696651E+001,-7.9347710E-001,-1.1581741E+000, 0.0000000E+000, 1.1826599E+002, 1.1953964E+002, 6.7271408E-003, 6.7271408E-003, 2.2101551E+003
