s,C,C,C,C,C,C,C
Time,"Air Temp","VTT_1","IRSN_1","TRAC_2","TRAC_4","GRS_2","NRC_2"
 0.0000000E+000, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 1.0200000E+001, 2.5421647E+001, 2.5000022E+001, 2.5000018E+001, 2.5000026E+001, 2.5000026E+001, 2.5000027E+001, 2.5000210E+001
 2.0200000E+001, 2.6216000E+001, 2.5000620E+001, 2.5000518E+001, 2.5000722E+001, 2.5000732E+001, 2.5000688E+001, 2.5003204E+001
 3.0200000E+001, 2.9182381E+001, 2.5003260E+001, 2.5002735E+001, 2.5003731E+001, 2.5003786E+001, 2.5003305E+001, 2.5011590E+001
 4.0089325E+001, 4.4122906E+001, 2.5012116E+001, 2.5010156E+001, 2.5013856E+001, 2.5014056E+001, 2.5012245E+001, 2.5047303E+001
 5.0015642E+001, 6.0834525E+001, 2.5054660E+001, 2.5045485E+001, 2.5062504E+001, 2.5063381E+001, 2.5054636E+001, 2.5204925E+001
 6.0025516E+001, 7.7589816E+001, 2.5178870E+001, 2.5148170E+001, 2.5202786E+001, 2.5205538E+001, 2.5168988E+001, 2.5550191E+001
 7.0036633E+001, 9.4458242E+001, 2.5429875E+001, 2.5354660E+001, 2.5483366E+001, 2.5489733E+001, 2.5385103E+001, 2.6125231E+001
 8.0000263E+001, 1.1123319E+002, 2.5842760E+001, 2.5692555E+001, 2.5941178E+001, 2.5953259E+001, 2.5722015E+001, 2.6940543E+001
 9.0010673E+001, 1.2802802E+002, 2.6443637E+001, 2.6182516E+001, 2.6603240E+001, 2.6623421E+001, 2.6193171E+001, 2.7995542E+001
 1.0001921E+002, 1.4486770E+002, 2.7250954E+001, 2.6839356E+001, 2.7488619E+001, 2.7519564E+001, 2.6808855E+001, 2.9297555E+001
 1.1002613E+002, 1.6168575E+002, 2.8282525E+001, 2.7676560E+001, 2.8616195E+001, 2.8660804E+001, 2.7579542E+001, 3.0868313E+001
 1.2003029E+002, 1.7309962E+002, 2.9565783E+001, 2.8714600E+001, 3.0015480E+001, 3.0076906E+001, 2.8522961E+001, 3.2747060E+001
 1.3004090E+002, 1.7920921E+002, 3.1097586E+001, 2.9948798E+001, 3.1679838E+001, 3.1761007E+001, 2.9621480E+001, 3.4788136E+001
 1.4006771E+002, 1.8533094E+002, 3.2812932E+001, 3.1323881E+001, 3.3535019E+001, 3.3637929E+001, 3.0811111E+001, 3.6838393E+001
 1.5005944E+002, 1.9144712E+002, 3.4656368E+001, 3.2791831E+001, 3.5521816E+001, 3.5647822E+001, 3.2054715E+001, 3.8919824E+001
 1.6003098E+002, 1.9754577E+002, 3.6611899E+001, 3.4335928E+001, 3.7624556E+001, 3.7774635E+001, 3.3344771E+001, 4.1055458E+001
 1.7001107E+002, 2.0364321E+002, 3.8667960E+001, 3.5946136E+001, 3.9830992E+001, 4.0005978E+001, 3.4675303E+001, 4.3221624E+001
 1.8001475E+002, 2.0975269E+002, 4.0824486E+001, 3.7621361E+001, 4.2142483E+001, 4.2343322E+001, 3.6050505E+001, 4.5465610E+001
 1.9003922E+002, 2.1586938E+002, 4.3090453E+001, 3.9368244E+001, 4.4569372E+001, 4.4797079E+001, 3.7480178E+001, 4.7802086E+001
 2.0006352E+002, 2.2199803E+002, 4.5465786E+001, 4.1187467E+001, 4.7111366E+001, 4.7366912E+001, 3.8965035E+001, 5.0219962E+001
 2.1001132E+002, 2.3104407E+002, 4.7943958E+001, 4.3075301E+001, 4.9761567E+001, 5.0045724E+001, 4.0505286E+001, 5.2756133E+001
 2.2000070E+002, 2.4293138E+002, 5.0563522E+001, 4.5064749E+001, 5.2562461E+001, 5.2876278E+001, 4.2137861E+001, 5.5527904E+001
 2.3002845E+002, 2.5485265E+002, 5.3398941E+001, 4.7217936E+001, 5.5596023E+001, 5.5941663E+001, 4.3923283E+001, 5.8617586E+001
 2.4000901E+002, 2.6678594E+002, 5.6481896E+001, 4.9563084E+001, 5.8896493E+001, 5.9276781E+001, 4.5883670E+001, 6.2027967E+001
 2.5000992E+002, 2.7869150E+002, 5.9839664E+001, 5.2123192E+001, 6.2492318E+001, 6.2910491E+001, 4.8032323E+001, 6.5748719E+001
 2.6000430E+002, 2.9061848E+002, 6.3498939E+001, 5.4920768E+001, 6.6410772E+001, 6.6870247E+001, 5.0386497E+001, 6.9826472E+001
 2.7002092E+002, 3.0254644E+002, 6.7490244E+001, 5.7983168E+001, 7.0681974E+001, 7.1185843E+001, 5.2971483E+001, 7.4290087E+001
 2.8001804E+002, 3.1447617E+002, 7.1828173E+001, 6.1322554E+001, 7.5320021E+001, 7.5871379E+001, 5.5793358E+001, 7.9129322E+001
 2.9000536E+002, 3.2639155E+002, 7.6517596E+001, 6.4942660E+001, 8.0329145E+001, 8.0931092E+001, 5.8851731E+001, 8.4319171E+001
 3.0004651E+002, 3.3833332E+002, 8.1584387E+001, 6.8863516E+001, 8.5736185E+001, 8.6392039E+001, 6.2162913E+001, 8.9894843E+001
 3.1000915E+002, 3.5026007E+002, 8.7021958E+001, 7.3079195E+001, 9.1533850E+001, 9.2246839E+001, 6.5721465E+001, 9.5844302E+001
 3.2004881E+002, 3.6217758E+002, 9.2851194E+001, 7.7606435E+001, 9.7743390E+001, 9.8516703E+001, 6.9542760E+001, 1.0219007E+002
 3.3004825E+002, 3.7413031E+002, 9.9093008E+001, 8.2464546E+001, 1.0438477E+002, 1.0522128E+002, 7.3645953E+001, 1.0897241E+002
 3.4002640E+002, 3.8261881E+002, 1.0573947E+002, 8.7646018E+001, 1.1144947E+002, 1.1235180E+002, 7.8023865E+001, 1.1616750E+002
 3.5002969E+002, 3.8779393E+002, 1.1276571E+002, 9.3129286E+001, 1.1890371E+002, 1.1987354E+002, 8.2634108E+001, 1.2351125E+002
 3.6001381E+002, 3.9296953E+002, 1.2003836E+002, 9.8799460E+001, 1.2659819E+002, 1.2763536E+002, 8.7350935E+001, 1.3077855E+002
 3.7003210E+002, 3.9814774E+002, 1.2745575E+002, 1.0457342E+002, 1.3442193E+002, 1.3552447E+002, 9.2112697E+001, 1.3796858E+002
 3.8003339E+002, 4.0333301E+002, 1.3497532E+002, 1.1041448E+002, 1.4233275E+002, 1.4349812E+002, 9.6904570E+001, 1.4516682E+002
 3.9000746E+002, 4.0850095E+002, 1.4256020E+002, 1.1630014E+002, 1.5029090E+002, 1.5151544E+002, 1.0172823E+002, 1.5238880E+002
 4.0000617E+002, 4.1367459E+002, 1.5022358E+002, 1.2224641E+002, 1.5831048E+002, 1.5959031E+002, 1.0660650E+002, 1.5967720E+002
 4.1002344E+002, 4.1886017E+002, 1.5797616E+002, 1.2825529E+002, 1.6640744E+002, 1.6773995E+002, 1.1152755E+002, 1.6696957E+002
 4.2003263E+002, 4.2404110E+002, 1.6578806E+002, 1.3431121E+002, 1.7454822E+002, 1.7593022E+002, 1.1649056E+002, 1.7430733E+002
 4.3002766E+002, 4.2922218E+002, 1.7366028E+002, 1.4041537E+002, 1.8273751E+002, 1.8416619E+002, 1.2149719E+002, 1.8172934E+002
 4.4001505E+002, 4.3439697E+002, 1.8158645E+002, 1.4657048E+002, 1.9096554E+002, 1.9243770E+002, 1.2655280E+002, 1.8916921E+002
 4.5000483E+002, 4.3956805E+002, 1.8955884E+002, 1.5277519E+002, 1.9922421E+002, 2.0073666E+002, 1.3165603E+002, 1.9666449E+002
 4.6000481E+002, 4.4474560E+002, 1.9759897E+002, 1.5904516E+002, 2.0753888E+002, 2.0908892E+002, 1.3681900E+002, 2.0424562E+002
 4.7000325E+002, 4.4992150E+002, 2.0568848E+002, 1.6537521E+002, 2.1588626E+002, 2.1747061E+002, 1.4204123E+002, 2.1187105E+002
 4.8002265E+002, 4.5510463E+002, 2.1383728E+002, 1.7177439E+002, 2.2427889E+002, 2.2589453E+002, 1.4732993E+002, 2.1957931E+002
 4.9000926E+002, 4.6028644E+002, 2.2200752E+002, 1.7822130E+002, 2.3267346E+002, 2.3431693E+002, 1.5266890E+002, 2.2727060E+002
 5.0003734E+002, 4.6547095E+002, 2.3020672E+002, 1.8472357E+002, 2.4108052E+002, 2.4274857E+002, 1.5806736E+002, 2.3505635E+002
 5.1002289E+002, 4.7064950E+002, 2.3845547E+002, 1.9129361E+002, 2.4952487E+002, 2.5121475E+002, 1.6353273E+002, 2.4293701E+002
 5.2003259E+002, 4.7582947E+002, 2.4670364E+002, 1.9790795E+002, 2.5794521E+002, 2.5965306E+002, 1.6905173E+002, 2.5073841E+002
 5.3000343E+002, 4.8100080E+002, 2.5490962E+002, 2.0454829E+002, 2.6629545E+002, 2.6801667E+002, 1.7462152E+002, 2.5853120E+002
 5.4002285E+002, 4.8617863E+002, 2.6312791E+002, 2.1124266E+002, 2.7464359E+002, 2.7637515E+002, 1.8025628E+002, 2.6643992E+002
 5.5003483E+002, 4.9136446E+002, 2.7135219E+002, 2.1799270E+002, 2.8297766E+002, 2.8471625E+002, 1.8595680E+002, 2.7432731E+002
 5.6003904E+002, 4.9654588E+002, 2.7961479E+002, 2.2480372E+002, 2.9134544E+002, 2.9308934E+002, 1.9171627E+002, 2.8242681E+002
 5.7002301E+002, 5.0172179E+002, 2.8790946E+002, 2.3167322E+002, 2.9973462E+002, 3.0148190E+002, 1.9752823E+002, 2.9046526E+002
 5.8000352E+002, 5.0689172E+002, 2.9618352E+002, 2.3858256E+002, 3.0808231E+002, 3.0982970E+002, 2.0339920E+002, 2.9851895E+002
