s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-3.0000000E+001, 0.0000000E+000,-2.0914414E-002,-4.4740768E-023, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0914414E-002, 0.0000000E+000, 0.0000000E+000,-5.8884179E-001
-1.4979181E+001, 0.0000000E+000, 2.6640113E-001, 1.0203296E-002, 4.3100497E-001, 0.0000000E+000,-1.9374323E+000, 0.0000000E+000,-1.2338096E+000,-1.2298229E+000, 0.0000000E+000, 0.0000000E+000,-1.2197796E+002
 4.1637771E-002, 0.0000000E+000, 2.9636134E-001, 6.1867524E-003, 4.1584658E-001, 0.0000000E+000,-4.9491669E-002, 0.0000000E+000, 6.6896397E-001, 6.6890301E-001, 0.0000000E+000, 0.0000000E+000,-1.2511048E+002
 1.5012598E+001, 6.6420472E+001,-1.8413859E+001, 1.2936916E-003,-4.1204441E+000,-2.3276086E-001, 7.3997716E+000, 0.0000000E+000, 5.0881053E+001, 5.1054473E+001, 1.6790864E-003, 1.6790864E-003, 3.3609609E+002
 3.0005583E+001, 1.5417038E+002,-4.2874604E+001,-2.8257301E+000,-1.5012935E+001,-4.9914104E-001, 2.7825165E+000, 0.0000000E+000, 9.5727954E+001, 9.5740485E+001, 3.8551576E-003, 3.8551576E-003, 5.1010332E+002
 4.5009750E+001, 2.0710027E+002,-5.8962663E+001,-7.4081328E+000,-2.4649683E+001,-6.1046641E-001, 3.9204232E+000, 0.0000000E+000, 1.1932721E+002, 1.1938975E+002, 5.1409059E-003, 5.1409059E-003, 7.5476076E+002
 6.0004364E+001, 2.5446390E+002,-7.7316900E+001,-1.3376793E+001,-3.7153839E+001,-7.5007875E-001, 1.3620230E+000, 0.0000000E+000, 1.2710583E+002, 1.2722831E+002, 6.4266411E-003, 6.4266411E-003, 8.3878974E+002
 7.5011559E+001, 2.9238681E+002,-9.4195099E+001,-1.9487546E+001,-5.1849628E+001,-8.0225247E-001,-6.3290102E-001, 0.0000000E+000, 1.2539102E+002, 1.2541939E+002, 7.3233505E-003, 7.3233505E-003, 7.9893879E+002
 9.0005379E+001, 3.0299643E+002,-1.0640067E+002,-2.1775814E+001,-6.1749889E+001,-7.8944861E-001,-9.0128973E-001, 0.0000000E+000, 1.1116552E+002, 1.1137932E+002, 7.4204550E-003, 7.4204550E-003, 7.4072213E+002
