s,C,C,C
Time,"Air Temp","VTT_1","GRS_1"
 0.0000000E+000, 3.5000000E+001, 3.5000000E+001, 3.5000000E+001
 1.0200000E+001, 3.8607059E+001, 3.5000204E+001, 3.5000427E+001
 2.0200000E+001, 4.5402500E+001, 3.5005925E+001, 3.5010494E+001
 3.0127020E+001, 5.2246565E+001, 3.5032674E+001, 3.5051736E+001
 4.0024640E+001, 5.9063781E+001, 3.5096532E+001, 3.5141291E+001
 5.0014902E+001, 6.5852223E+001, 3.5211894E+001, 3.5292320E+001
 6.0061233E+001, 7.2713194E+001, 3.5389344E+001, 3.5512185E+001
 7.0017271E+001, 7.9544792E+001, 3.5632658E+001, 3.5800622E+001
 8.0065615E+001, 8.6406779E+001, 3.5948702E+001, 3.6163717E+001
 9.0006104E+001, 9.3231769E+001, 3.6343192E+001, 3.6604592E+001
 1.0001595E+002, 1.0005726E+002, 3.6815220E+001, 3.7118757E+001
 1.1002370E+002, 1.0690312E+002, 3.7367974E+001, 3.7707403E+001
 1.2008754E+002, 1.1377938E+002, 3.7998009E+001, 3.8364939E+001
 1.3007888E+002, 1.2063746E+002, 3.8705425E+001, 3.9092490E+001
 1.4008097E+002, 1.2747396E+002, 3.9496078E+001, 3.9898440E+001
 1.5007483E+002, 1.3431780E+002, 4.0375840E+001, 4.0785379E+001
 1.6005329E+002, 1.4115256E+002, 4.1337174E+001, 4.1741511E+001
 1.7007016E+002, 1.4799376E+002, 4.2393990E+001, 4.2789533E+001
 1.8003004E+002, 1.5482734E+002, 4.3554960E+001, 4.3934792E+001
 1.9005436E+002, 1.6166759E+002, 4.4815853E+001, 4.5165830E+001
 2.0003027E+002, 1.6850891E+002, 4.6173882E+001, 4.6480599E+001
 2.1000497E+002, 1.7487777E+002, 4.7625353E+001, 4.7877313E+001
 2.2001906E+002, 1.8079924E+002, 4.9184870E+001, 4.9371168E+001
 2.3000285E+002, 1.8672306E+002, 5.0841255E+001, 5.0944212E+001
 2.4005166E+002, 1.9267540E+002, 5.2600388E+001, 5.2607176E+001
 2.5002926E+002, 1.9861343E+002, 5.4450490E+001, 5.4340962E+001
 2.6002901E+002, 2.0453165E+002, 5.6389604E+001, 5.6153558E+001
 2.7000550E+002, 2.1045867E+002, 5.8439927E+001, 5.8071543E+001
 2.8001089E+002, 2.1638562E+002, 6.0600927E+001, 6.0086103E+001
 2.9002769E+002, 2.2232257E+002, 6.2856288E+001, 6.2168392E+001
 3.0000625E+002, 2.2825339E+002, 6.5189799E+001, 6.4311171E+001
 3.1003456E+002, 2.3418373E+002, 6.7626453E+001, 6.6553555E+001
 3.2002416E+002, 2.4012334E+002, 7.0185066E+001, 6.8916295E+001
 3.3001820E+002, 2.4604887E+002, 7.2860569E+001, 7.1386403E+001
