s,m3/s,m3/s,kg/s,kg/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,Pa
Time,"DADM_L2_MOY","DEXT_L2_MOY","R2_in","R2_out","TG_L2_NE_005","TG_L2_NE_030","TG_L2_NE_055","TG_L2_NE_080","TG_L2_NE_105","TG_L2_NE_130","TG_L2_NE_155","TG_L2_NE_180","TG_L2_NE_205","TG_L2_NE_230","TG_L2_NE_255","TG_L2_NE_280","TG_L2_NE_305","TG_L2_NE_330","TG_L2_NE_355","TG_L2_NE_380","TG_L2_NE_385","TG_L2_NE_390","TP_L2_N030","TP_L2_N155","TP_L2_N260","TP_L2_N355","TP_L2_WC260","TP_L2_NC265","TP_L2_EC260","TP_L2_SC260","TP_L2_P","TP_L2_SOL","FLT_L2_N030","FLT_L2_N155","FLT_L2_N260","FLT_L2_N355","FLR_L2_N030","FLR_L2_N155","FLR_L2_N260","FLR_L2_N355","FLT_L2_WC260","FLT_L2_NC260","FLT_L2_EC260","FLT_L2_SC260","FLR_L2_P","FLT_L2_PM","FLT_L2_SOL","CO2L2_HAUT","COL2_HAUT","O2L2_HAUT","CO2FP","COFP","O2FP","CO2L2_BAS","COL2_BAS","O2L2_BAS","PLOCAL2_MOY"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001,-1.2191484E-002,-1.2132234E-002,-1.2103728E-002,-1.2081945E-002,-1.2191484E-002,-1.2132234E-002,-1.2103728E-002,-1.2081945E-002,-1.2085312E-002,-1.2087365E-002,-1.2083160E-002,-1.2088132E-002,-1.2110261E-002,-1.2110261E-002,-1.2121972E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 0.0000000E+000
 1.0004390E+001, 6.5307904E-002, 5.2678199E-002, 7.5372981E-002, 6.0757892E-002, 3.0062869E+001, 3.0064299E+001, 3.0065312E+001, 3.0065804E+001, 3.0066497E+001, 3.0066977E+001, 3.0067087E+001, 3.0067014E+001, 3.0067038E+001, 3.0066905E+001, 3.0066720E+001, 3.0066344E+001, 3.0066307E+001, 3.0065880E+001, 3.0065848E+001, 3.0065655E+001, 3.0065655E+001, 3.0065002E+001, 3.0000282E+001, 3.0001412E+001, 3.0001503E+001, 3.0001149E+001, 3.0001602E+001, 3.0001130E+001, 3.0001606E+001, 3.0001126E+001, 3.0041006E+001, 3.0000456E+001,-1.2834085E-002,-1.1745929E-002,-1.1658803E-002,-1.1998042E-002,-1.1749065E-002,-1.0661285E-002,-1.0574106E-002,-1.0913137E-002,-1.1542201E-002,-1.2016035E-002,-1.1539809E-002,-1.2016561E-002,-9.8386396E-003,-1.0843691E-002,-1.2752396E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 7.5809220E+001
 2.0008780E+001, 6.0619465E-002, 5.5706403E-002, 6.9973499E-002, 6.4263467E-002, 3.0085003E+001, 3.0091063E+001, 3.0094604E+001, 3.0096831E+001, 3.0098750E+001, 3.0100752E+001, 3.0100988E+001, 3.0100711E+001, 3.0101134E+001, 3.0100728E+001, 3.0099731E+001, 3.0099074E+001, 3.0098603E+001, 3.0097427E+001, 3.0097044E+001, 3.0096355E+001, 3.0096355E+001, 3.0097370E+001, 3.0000815E+001, 3.0003295E+001, 3.0003507E+001, 3.0002752E+001, 3.0003811E+001, 3.0002724E+001, 3.0003813E+001, 3.0002725E+001, 3.0094599E+001, 3.0001333E+001,-1.2695683E-002,-1.1407599E-002,-1.1291984E-002,-1.1675458E-002,-1.1594696E-002,-1.0302885E-002,-1.0186323E-002,-1.0570334E-002,-1.1113963E-002,-1.1688421E-002,-1.1107978E-002,-1.1681561E-002,-9.2779562E-003,-1.1081847E-002,-1.2579495E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 1.0774834E+002
 3.0013170E+001, 6.0512918E-002, 5.5721173E-002, 6.9850584E-002, 6.4272242E-002, 3.0080990E+001, 3.0091405E+001, 3.0097216E+001, 3.0101136E+001, 3.0103549E+001, 3.0107607E+001, 3.0108049E+001, 3.0107789E+001, 3.0108396E+001, 3.0107327E+001, 3.0105866E+001, 3.0105012E+001, 3.0104272E+001, 3.0102567E+001, 3.0102071E+001, 3.0404498E+001, 3.0404498E+001, 3.0746745E+001, 3.0001174E+001, 3.0004485E+001, 3.0004799E+001, 3.0003841E+001, 3.0005292E+001, 3.0003786E+001, 3.0005292E+001, 3.0003793E+001, 3.0149841E+001, 3.0001971E+001,-1.2638503E-002,-1.1335532E-002,-1.1201128E-002,-1.1553997E-002,-1.1553766E-002,-1.0238733E-002,-1.0099649E-002,-1.0455730E-002,-1.0988822E-002,-1.1583244E-002,-1.0976912E-002,-1.1577523E-002,-9.1206122E-003,-1.1417861E-002,-1.2458899E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 1.0808632E+002
 4.0001691E+001, 3.4210767E-002, 5.7753873E-002, 3.9496014E-002, 6.6540210E-002, 3.0173933E+001, 3.0201871E+001, 3.0208841E+001, 3.0219261E+001, 3.0214195E+001, 3.0215644E+001, 3.0214296E+001, 3.0209624E+001, 3.0205952E+001, 3.0199949E+001, 3.0196007E+001, 3.0191208E+001, 3.0187985E+001, 3.0183429E+001, 3.0181372E+001, 3.2016215E+001, 3.2016215E+001, 3.5028283E+001, 3.0026442E+001, 3.0027315E+001, 3.0023470E+001, 3.0020063E+001, 3.0021787E+001, 3.0015355E+001, 3.0021971E+001, 3.0015452E+001, 3.1040516E+001, 3.0072526E+001, 1.2308151E-002, 1.0565300E-002, 6.3450591E-003, 2.6869768E-003, 1.3519293E-002, 1.1799841E-002, 7.7471052E-003, 2.6253667E-003, 4.4244129E-003,-7.6498640E-004, 4.0475384E-003,-6.8940063E-004, 9.6089054E-003, 4.3471236E-002, 5.7333715E-002, 3.8406673E-004, 8.1678793E-016, 2.0629917E-001, 3.9177819E-004, 2.3946019E-008, 2.0628626E-001, 3.8406673E-004, 2.1681063E-056, 2.0629917E-001, 1.7388763E+002
 5.0000103E+001, 4.2736166E-004, 5.9230790E-002, 5.6493116E-004, 6.7533995E-002, 3.0343037E+001, 3.0405439E+001, 3.0430628E+001, 3.0449144E+001, 3.0426794E+001, 3.0419229E+001, 3.0410076E+001, 3.0389166E+001, 3.0373156E+001, 3.0370980E+001, 3.0709495E+001, 3.0662005E+001, 3.0681907E+001, 3.1500998E+001, 3.2246739E+001, 3.7583023E+001, 3.7583023E+001, 4.4210516E+001, 3.0082591E+001, 3.0078832E+001, 3.0082154E+001, 3.0108012E+001, 3.0079805E+001, 3.0047415E+001, 3.0073910E+001, 3.0046558E+001, 3.4014754E+001, 3.0225793E+001, 4.0073136E-002, 3.6051100E-002, 3.6617652E-002, 5.0182297E-002, 4.1354304E-002, 3.7407492E-002, 3.1803204E-002, 2.4369480E-002, 3.2900002E-002, 1.5964762E-002, 2.8459937E-002, 1.5160342E-002, 3.1598149E-002, 1.5460714E-001, 1.3177552E-001, 4.5168755E-004, 2.0997945E-007, 2.0618605E-001, 3.8807014E-004, 1.2431596E-008, 2.0629247E-001, 3.8406673E-004, 2.0798833E-032, 2.0629917E-001, 2.1181057E+002
 6.0006856E+001,-2.6436458E-002, 6.0529280E-002,-2.9290994E-002, 6.7428737E-002, 3.0562064E+001, 3.0667726E+001, 3.0761064E+001, 3.0771314E+001, 3.0768165E+001, 3.0781255E+001, 3.0779615E+001, 3.0757703E+001, 3.0723725E+001, 3.0982427E+001, 3.1782338E+001, 3.2078111E+001, 3.2940922E+001, 3.5615671E+001, 3.7928684E+001, 4.2595649E+001, 4.2595649E+001, 4.9082975E+001, 3.0161701E+001, 3.0148181E+001, 3.0180798E+001, 3.0239795E+001, 3.0134625E+001, 3.0093887E+001, 3.0162220E+001, 3.0100510E+001, 3.6860900E+001, 3.0433958E+001, 7.4398905E-002, 6.4377384E-002, 7.8850819E-002, 9.6362030E-002, 7.5731279E-002, 6.5781372E-002, 5.9020747E-002, 5.0326311E-002, 5.2351885E-002, 3.5858649E-002, 7.1379523E-002, 4.0308957E-002, 6.0060192E-002, 2.4348636E-001, 2.1862614E-001, 7.6595799E-004, 1.1858673E-006, 2.0566030E-001, 3.8629585E-004, 6.9219780E-009, 2.0629544E-001, 3.8406673E-004, 7.9562045E-024, 2.0629917E-001, 2.3050106E+002
 7.0008918E+001,-4.9979666E-002, 6.2606306E-002,-5.4288099E-002, 6.8201945E-002, 3.0790064E+001, 3.0993301E+001, 3.1088615E+001, 3.1172834E+001, 3.1207777E+001, 3.1264594E+001, 3.1308715E+001, 3.1489708E+001, 3.2274493E+001, 3.4036914E+001, 3.5071573E+001, 3.5948017E+001, 3.8696120E+001, 4.4111505E+001, 4.5415552E+001, 5.3110069E+001, 5.3110069E+001, 6.0212745E+001, 3.0264914E+001, 3.0238787E+001, 3.0330214E+001, 3.0440551E+001, 3.0271137E+001, 3.0171728E+001, 3.0269146E+001, 3.0173719E+001, 4.0687537E+001, 3.0690077E+001, 1.1111654E-001, 9.7655948E-002, 1.4411399E-001, 1.8064318E-001, 1.1239335E-001, 9.8919068E-002, 9.4524598E-002, 8.4506726E-002, 1.1421365E-001, 7.1836959E-002, 1.0935715E-001, 6.8902217E-002, 9.4206860E-002, 3.5829702E-001, 3.0573862E-001, 1.2604870E-003, 2.7215028E-006, 2.0483300E-001, 3.8664257E-004, 7.9986505E-009, 2.0629485E-001, 3.8406673E-004, 5.7727241E-020, 2.0629917E-001, 2.7589193E+002
 8.0007463E+001,-7.1766270E-002, 6.5134089E-002,-7.6231239E-002, 6.9619403E-002, 3.1080938E+001, 3.1468826E+001, 3.1673106E+001, 3.1948652E+001, 3.1960510E+001, 3.2068680E+001, 3.2238191E+001, 3.3050141E+001, 3.4587560E+001, 3.8181993E+001, 3.9610109E+001, 4.2572845E+001, 4.3990165E+001, 4.9316921E+001, 5.3117714E+001, 5.9186659E+001, 5.9186659E+001, 6.6520749E+001, 3.0384974E+001, 3.0354062E+001, 3.0550915E+001, 3.0694001E+001, 3.0453495E+001, 3.0293071E+001, 3.0473668E+001, 3.0301101E+001, 4.4821058E+001, 3.1001158E+001, 1.4894860E-001, 1.3754148E-001, 2.1009727E-001, 2.5236200E-001, 1.4957809E-001, 1.3656778E-001, 1.3202286E-001, 1.2101212E-001, 1.8715237E-001, 1.1856975E-001, 1.8858057E-001, 1.2212622E-001, 1.3697400E-001, 4.6906003E-001, 4.0915152E-001, 1.8574618E-003, 4.5752580E-006, 2.0383431E-001, 3.8647868E-004, 7.4897327E-009, 2.0629513E-001, 3.8407004E-004, 1.0274637E-011, 2.0629916E-001, 3.4048794E+002
