s,m3/s,m3/s,kg/s,kg/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,Pa
Time,"DADM_L2_MOY","DEXT_L2_MOY","R2_in","R2_out","TG_L2_NE_005","TG_L2_NE_030","TG_L2_NE_055","TG_L2_NE_080","TG_L2_NE_105","TG_L2_NE_130","TG_L2_NE_155","TG_L2_NE_180","TG_L2_NE_205","TG_L2_NE_230","TG_L2_NE_255","TG_L2_NE_280","TG_L2_NE_305","TG_L2_NE_330","TG_L2_NE_355","TG_L2_NE_380","TG_L2_NE_385","TG_L2_NE_390","TP_L2_N030","TP_L2_N155","TP_L2_N260","TP_L2_N355","TP_L2_WC260","TP_L2_NC265","TP_L2_EC260","TP_L2_SC260","TP_L2_P","TP_L2_SOL","FLT_L2_N030","FLT_L2_N155","FLT_L2_N260","FLT_L2_N355","FLR_L2_N030","FLR_L2_N155","FLR_L2_N260","FLR_L2_N355","FLT_L2_WC260","FLT_L2_NC260","FLT_L2_EC260","FLT_L2_SC260","FLR_L2_P","FLT_L2_PM","FLT_L2_SOL","CO2L2_HAUT","COL2_HAUT","O2L2_HAUT","CO2FP","COFP","O2FP","CO2L2_BAS","COL2_BAS","O2L2_BAS","PLOCAL2_MOY"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001,-1.2181845E-002,-1.2121734E-002,-1.2094342E-002,-1.2075326E-002,-1.2181845E-002,-1.2121734E-002,-1.2094342E-002,-1.2075326E-002,-1.2077930E-002,-1.2066421E-002,-1.2076614E-002,-1.2083288E-002,-1.2103669E-002,-1.2103669E-002,-1.2112977E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 0.0000000E+000
 1.0065244E+001, 6.3521547E-002, 5.2593498E-002, 7.3334965E-002, 6.0657020E-002, 3.0057957E+001, 3.0059299E+001, 3.0061661E+001, 3.0062893E+001, 3.0064152E+001, 3.0065331E+001, 3.0065575E+001, 3.0065410E+001, 3.0065472E+001, 3.0065066E+001, 3.0064644E+001, 3.0064064E+001, 3.0063766E+001, 3.0063085E+001, 3.0062875E+001, 3.0062508E+001, 3.0062508E+001, 3.0062506E+001, 3.0000384E+001, 3.0002900E+001, 3.0003045E+001, 3.0002307E+001, 3.0004424E+001, 3.0000334E+001, 3.0004436E+001, 3.0003089E+001, 3.0109950E+001, 3.0000725E+001,-1.2717979E-002,-1.0306686E-002,-1.0166065E-002,-1.0867893E-002,-1.1637340E-002,-9.2266330E-003,-9.0857681E-003,-9.7871321E-003,-8.8150124E-003,-1.2777039E-002,-8.8087532E-003,-1.0118732E-002,-6.1990003E-003,-7.2968294E-003,-1.2443234E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 6.9486961E+001
 2.0054223E+001, 5.9878879E-002, 5.5996340E-002, 6.9140865E-002, 6.4591109E-002, 3.0084469E+001, 3.0090704E+001, 3.0098848E+001, 3.0103703E+001, 3.0107567E+001, 3.0112237E+001, 3.0112935E+001, 3.0112375E+001, 3.0113105E+001, 3.0111637E+001, 3.0109869E+001, 3.0108588E+001, 3.0107254E+001, 3.0105198E+001, 3.0104232E+001, 3.0270333E+001, 3.0270333E+001, 3.0407339E+001, 3.0001144E+001, 3.0006632E+001, 3.0006992E+001, 3.0005449E+001, 3.0010154E+001, 3.0000947E+001, 3.0010169E+001, 3.0007166E+001, 3.0269649E+001, 3.0002164E+001,-1.2485862E-002,-9.6457286E-003,-9.4451838E-003,-1.0219841E-002,-1.1390516E-002,-8.5411379E-003,-8.3374169E-003,-9.1136521E-003,-7.7661938E-003,-1.2611006E-002,-7.7553855E-003,-9.3285097E-003,-4.7954129E-003,-6.1733232E-003,-1.2066668E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 1.0504053E+002
 3.0058613E+001, 5.9719770E-002, 5.6035615E-002, 6.8957258E-002, 6.4612226E-002, 3.0081776E+001, 3.0093459E+001, 3.0105711E+001, 3.0114055E+001, 3.0119934E+001, 3.0128900E+001, 3.0130072E+001, 3.0130284E+001, 3.0130291E+001, 3.0127491E+001, 3.0125130E+001, 3.0122955E+001, 3.0120647E+001, 3.0117576E+001, 3.0115953E+001, 3.0589664E+001, 3.0589664E+001, 3.1083058E+001, 3.0001705E+001, 3.0009019E+001, 3.0009582E+001, 3.0007967E+001, 3.0013926E+001, 3.0001424E+001, 3.0014001E+001, 3.0009863E+001, 3.0398603E+001, 3.0003288E+001,-1.2386313E-002,-9.5164475E-003,-9.2636421E-003,-1.0463211E-002,-1.1303068E-002,-8.4045876E-003,-8.1443828E-003,-8.7928032E-003,-7.5233350E-003,-1.2508402E-002,-7.5640243E-003,-9.1248824E-003,-4.5710808E-003,-5.5955009E-003,-1.1842900E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 1.0573958E+002
 4.0010792E+001, 2.9908377E-002, 5.9351792E-002, 3.4538156E-002, 6.8323389E-002, 3.0191544E+001, 3.0222684E+001, 3.0239303E+001, 3.0256403E+001, 3.0257299E+001, 3.0263516E+001, 3.0263537E+001, 3.0259576E+001, 3.0253936E+001, 3.0246208E+001, 3.0241745E+001, 3.0234862E+001, 3.0229958E+001, 3.0223711E+001, 3.0220812E+001, 3.2626015E+001, 3.2626015E+001, 3.5752182E+001, 3.0029430E+001, 3.0036155E+001, 3.0032311E+001, 3.0031173E+001, 3.0036360E+001, 3.0004158E+001, 3.0037308E+001, 3.0025537E+001, 3.1413159E+001, 3.0073711E+001, 1.7583254E-002, 1.7927112E-002, 1.2331546E-002, 1.0360932E-002, 1.8824780E-002, 1.9203880E-002, 1.3851350E-002, 7.2667268E-003, 1.2634404E-002,-1.0090528E-002, 1.3109099E-002, 5.4306302E-003, 1.9146050E-002, 5.7207699E-002, 6.4420381E-002, 3.8406673E-004, 7.5564117E-016, 2.0629917E-001, 3.9109443E-004, 2.1822809E-008, 2.0628740E-001, 3.8406673E-004, 3.6009139E-052, 2.0629917E-001, 1.9250455E+002
 5.0003989E+001,-3.9707732E-002, 6.4464959E-002,-4.5847729E-002, 7.3004250E-002, 3.0508498E+001, 3.0609064E+001, 3.0664594E+001, 3.0682421E+001, 3.0661727E+001, 3.0656619E+001, 3.0641050E+001, 3.0612248E+001, 3.0588012E+001, 3.0551794E+001, 3.0666330E+001, 3.1857572E+001, 3.2341921E+001, 3.2805975E+001, 3.3517666E+001, 4.1178251E+001, 4.1178251E+001, 5.0256551E+001, 3.0139344E+001, 3.0137365E+001, 3.0141693E+001, 3.0173012E+001, 3.0139591E+001, 3.0019934E+001, 3.0130963E+001, 3.0083712E+001, 3.6221968E+001, 3.0350977E+001, 8.8822445E-002, 8.2581622E-002, 8.4459227E-002, 9.6344914E-002, 9.0160686E-002, 8.3952340E-002, 6.9722340E-002, 5.2963103E-002, 7.8030080E-002, 3.1004399E-005, 6.9135961E-002, 4.2273536E-002, 7.5008784E-002, 2.7158302E-001, 2.4500134E-001, 4.8124274E-004, 3.0175566E-007, 2.0613660E-001, 3.9714283E-004, 4.0604752E-008, 2.0627725E-001, 3.8406673E-004, 6.4663885E-028, 2.0629917E-001, 3.1928837E+002
 6.0011306E+001,-9.2467198E-002, 7.4802207E-002,-1.0677137E-001, 8.1232067E-002, 3.1104066E+001, 3.1325809E+001, 3.1471211E+001, 3.1534737E+001, 3.1564911E+001, 3.1620787E+001, 3.1758576E+001, 3.2205276E+001, 3.2517177E+001, 3.2636090E+001, 3.3013423E+001, 3.4867696E+001, 3.5085470E+001, 4.3954234E+001, 4.5811720E+001, 5.4350019E+001, 5.4350019E+001, 6.5350886E+001, 3.0321791E+001, 3.0306365E+001, 3.0380169E+001, 3.0512333E+001, 3.0342286E+001, 3.0070491E+001, 3.0332315E+001, 3.0217368E+001, 4.3074491E+001, 3.0815954E+001, 1.7494833E-001, 1.6338939E-001, 1.9811944E-001, 2.6922661E-001, 1.7607801E-001, 1.6446871E-001, 1.4456450E-001, 1.2351584E-001, 1.8682826E-001, 2.8399796E-002, 1.8306319E-001, 1.1657537E-001, 1.6076180E-001, 5.5187769E-001, 4.6734050E-001, 1.1114103E-003, 2.2585826E-006, 2.0508239E-001, 4.0172193E-004, 5.4824211E-008, 2.0626956E-001, 3.8406673E-004, 6.2787900E-021, 2.0629917E-001, 5.8753608E+002
 7.0002865E+001,-1.3837113E-001, 8.8515918E-002,-1.5966941E-001, 9.2109300E-002, 3.1785243E+001, 3.2243669E+001, 3.2400718E+001, 3.2604972E+001, 3.2851177E+001, 3.3691644E+001, 3.3828169E+001, 3.5103679E+001, 3.7855651E+001, 3.9975916E+001, 4.2398901E+001, 4.7391346E+001, 5.0922890E+001, 5.8739975E+001, 5.9872624E+001, 7.1442812E+001, 7.1442812E+001, 8.5608437E+001, 3.0556171E+001, 3.0543057E+001, 3.0758180E+001, 3.0962618E+001, 3.0728290E+001, 3.0181462E+001, 3.0663322E+001, 3.0468668E+001, 5.0995809E+001, 3.1413754E+001, 2.6042525E-001, 2.5971663E-001, 3.6562969E-001, 4.1552192E-001, 2.6016167E-001, 2.5681741E-001, 2.3663567E-001, 2.0658658E-001, 3.6353252E-001, 8.8999804E-002, 3.1447804E-001, 2.3658832E-001, 2.6598257E-001, 7.6408845E-001, 6.9006028E-001, 2.3472976E-003, 6.0963199E-006, 2.0301486E-001, 4.0710619E-004, 7.1543872E-008, 2.0626051E-001, 3.8407877E-004, 3.7389812E-011, 2.0629915E-001, 9.9328033E+002
 8.0006126E+001,-1.7983576E-001, 1.0324261E-001,-2.0645970E-001, 1.0373342E-001, 3.3213481E+001, 3.4295154E+001, 3.4923299E+001, 3.5745493E+001, 3.6130575E+001, 3.7067189E+001, 3.7839218E+001, 4.2277643E+001, 4.6192025E+001, 5.1004146E+001, 5.5696422E+001, 6.1457273E+001, 6.7181807E+001, 7.5762270E+001, 7.7799357E+001, 8.9081003E+001, 8.9081003E+001, 9.8804342E+001, 3.0833005E+001, 3.0856735E+001, 3.1351353E+001, 3.1535307E+001, 3.1379244E+001, 3.0470591E+001, 3.1302436E+001, 3.0933280E+001, 6.2127321E+001, 3.2099238E+001, 3.4780272E-001, 3.7221033E-001, 5.7967376E-001, 5.8972996E-001, 3.4136845E-001, 3.5901570E-001, 3.4930910E-001, 3.0951912E-001, 6.1445491E-001, 2.3425835E-001, 6.2383680E-001, 4.6055566E-001, 4.0990233E-001, 1.2011495E+000, 8.9601400E-001, 3.5833167E-003, 9.9344664E-006, 2.0094711E-001, 4.1475183E-004, 9.5285724E-008, 2.0624768E-001, 3.8417134E-004, 3.2484098E-010, 2.0629899E-001, 1.4929456E+003
