Time, Height, T_lower, T_upper
-30.000000, -Inf, 25.000000, 25.000000
-14.940573, 0.317467, 24.953048, 24.953048
0.047067, 0.277561, 24.947162, 24.947162
15.010947, 0.692056, 25.005295, 25.005295
30.002631, 2.424821, 25.164600, 25.169417
45.004111, 3.593617, 25.376777, 29.777032
60.002268, 3.189038, 25.611349, 37.803298
75.004159, 2.250507, 25.874333, 50.915870
90.008021, 1.696538, 25.984799, 73.127620
105.006350, 1.360740, 26.104164, 95.188161
120.007450, 1.155737, 26.478174, 110.975117
135.008120, 1.048699, 26.954148, 122.960933
150.009150, 0.964344, 27.432072, 130.688327
165.003580, 0.914695, 28.010339, 138.950345
180.000470, 0.884008, 28.838641, 150.575005
195.000300, 0.856083, 29.936253, 161.701447
210.007220, 0.797472, 31.751770, 170.587636
225.011330, 0.709619, 33.567185, 170.090047
240.014080, 0.604274, 36.075536, 168.386546
255.013060, 0.494134, 38.459234, 166.213566
270.014020, 0.432636, 45.637764, 164.155522
285.015000, 0.413978, 52.243749, 158.974370
300.023680, 0.431780, 61.605821, 160.354221
315.000790, 0.383074, 69.312589, 167.706699
330.014800, 0.309661, 77.249898, 173.838433
345.005170, 0.384003, 78.464847, 167.983199
360.025240, 0.387716, 77.080718, 161.637381
375.004670, 0.335007, 87.534537, 161.569939
390.017520, 0.351153, 87.070421, 157.073859
405.023880, 0.396320, 82.021372, 148.324800
420.019560, 0.430903, 85.964217, 143.330435
435.014310, 0.479268, 93.774134, 147.571381
450.020870, 0.429579, 83.659457, 143.704733
465.000120, 0.532678, 80.764093, 139.735910
480.007030, 0.568427, 74.903778, 141.551813
495.027910, 0.536715, 74.022621, 138.066705
510.016100, 0.493158, 72.904697, 132.207361
525.019830, 0.530360, 69.953502, 131.755545
540.022140, 0.575795, 67.022594, 126.618942
555.025640, 0.609580, 66.115733, 128.284782
570.005010, 0.546510, 61.767719, 127.830678
585.024980, 0.516372, 62.514583, 123.482065
