s,m3/s,m3/s,kg/s,kg/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,Pa
Time,"DADM_L2_MOY","DEXT_L2_MOY","R2_in","R2_out","TG_L2_NE_005","TG_L2_NE_030","TG_L2_NE_055","TG_L2_NE_080","TG_L2_NE_105","TG_L2_NE_130","TG_L2_NE_155","TG_L2_NE_180","TG_L2_NE_205","TG_L2_NE_230","TG_L2_NE_255","TG_L2_NE_280","TG_L2_NE_305","TG_L2_NE_330","TG_L2_NE_355","TG_L2_NE_380","TG_L2_NE_385","TG_L2_NE_390","TP_L2_N030","TP_L2_N155","TP_L2_N260","TP_L2_N355","TP_L2_WC260","TP_L2_NC265","TP_L2_EC260","TP_L2_SC260","TP_L2_P","TP_L2_SOL","FLT_L2_N030","FLT_L2_N155","FLT_L2_N260","FLT_L2_N355","FLR_L2_N030","FLR_L2_N155","FLR_L2_N260","FLR_L2_N355","FLT_L2_WC260","FLT_L2_NC260","FLT_L2_EC260","FLT_L2_SC260","FLR_L2_P","FLT_L2_PM","FLT_L2_SOL","CO2L2_HAUT","COL2_HAUT","O2L2_HAUT","CO2FP","COFP","O2FP","CO2L2_BAS","COL2_BAS","O2L2_BAS","PLOCAL2_MOY"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001,-1.2334280E-002,-1.2261077E-002,-1.2214937E-002,-1.2169723E-002,-1.2334280E-002,-1.2261077E-002,-1.2214937E-002,-1.2169723E-002,-1.2190025E-002,-1.2192168E-002,-1.2186280E-002,-1.2195200E-002,-1.2239155E-002,-1.2239155E-002,-1.2248543E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 0.0000000E+000
 1.0004390E+001, 1.5701192E-001, 1.5360967E-001, 1.8110033E-001, 1.7710182E-001, 3.0019965E+001, 3.0020453E+001, 3.0021908E+001, 3.0022674E+001, 3.0023552E+001, 3.0024309E+001, 3.0024500E+001, 3.0024442E+001, 3.0024501E+001, 3.0024314E+001, 3.0024109E+001, 3.0023625E+001, 3.0023567E+001, 3.0023062E+001, 3.0022936E+001, 3.0022700E+001, 3.0022700E+001, 3.0024032E+001, 3.0000432E+001, 3.0003619E+001, 3.0003939E+001, 3.0003056E+001, 3.0005463E+001, 3.0003880E+001, 3.0005478E+001, 3.0003870E+001, 3.0138445E+001, 3.0000857E+001,-1.2234084E-002,-9.1542856E-003,-8.8428719E-003,-9.6876689E-003,-1.1557479E-002,-8.4942502E-003,-8.1838597E-003,-9.0238363E-003,-7.3605006E-003,-8.9336311E-003,-7.3487248E-003,-8.9189324E-003,-4.6441523E-003,-5.9823691E-003,-1.1903598E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 2.3393713E+001
 2.0008780E+001, 1.6171387E-001, 1.6044844E-001, 1.8653719E-001, 1.8497702E-001, 3.0027168E+001, 3.0029068E+001, 3.0034156E+001, 3.0037511E+001, 3.0039883E+001, 3.0043015E+001, 3.0043509E+001, 3.0043322E+001, 3.0043910E+001, 3.0043265E+001, 3.0042285E+001, 3.0041336E+001, 3.0040826E+001, 3.0039411E+001, 3.0038824E+001, 3.0185000E+001, 3.0185000E+001, 3.0248674E+001, 3.0001227E+001, 3.0008165E+001, 3.0008911E+001, 3.0007069E+001, 3.0012370E+001, 3.0008815E+001, 3.0012386E+001, 3.0008821E+001, 3.0304817E+001, 3.0002429E+001,-1.2062684E-002,-8.4521915E-003,-8.0509207E-003,-8.9865437E-003,-1.1301040E-002,-7.6983665E-003,-7.2941463E-003,-8.2250674E-003,-6.2526839E-003,-8.0897254E-003,-6.2048441E-003,-8.0611288E-003,-3.1906924E-003,-5.2430141E-003,-1.1482355E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.1285887E+001
 3.0025000E+001, 1.6180470E-001, 1.6045612E-001, 1.8664178E-001, 1.8493051E-001, 3.0027931E+001, 3.0031207E+001, 3.0039305E+001, 3.0045367E+001, 3.0048372E+001, 3.0054753E+001, 3.0055373E+001, 3.0055584E+001, 3.0056007E+001, 3.0054672E+001, 3.0053385E+001, 3.0051868E+001, 3.0050914E+001, 3.0048823E+001, 3.0047793E+001, 3.0397043E+001, 3.0397043E+001, 3.0863923E+001, 3.0001832E+001, 3.0011046E+001, 3.0012104E+001, 3.0009931E+001, 3.0017111E+001, 3.0012007E+001, 3.0016869E+001, 3.0012028E+001, 3.0434504E+001, 3.0003657E+001,-1.1955774E-002,-8.3301128E-003,-7.8920034E-003,-9.3388696E-003,-1.1196889E-002,-7.5524021E-003,-7.1037634E-003,-7.9647366E-003,-8.6360666E-003,-7.9107839E-003,-6.1090248E-003,-7.8797874E-003,-3.0234658E-003,-4.6836220E-003,-1.1250844E-002, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.8406673E-004, 0.0000000E+000, 2.0629917E-001, 3.1089051E+001
 4.0001829E+001, 1.0730512E-001, 1.6993360E-001, 1.2383775E-001, 1.9506386E-001, 3.0142650E+001, 3.0158567E+001, 3.0168602E+001, 3.0180709E+001, 3.0182177E+001, 3.0187170E+001, 3.0186880E+001, 3.0183336E+001, 3.0180723E+001, 3.0175391E+001, 3.0172067E+001, 3.0167077E+001, 3.0164261E+001, 3.0159617E+001, 3.0157870E+001, 3.4056413E+001, 3.4056413E+001, 3.9971208E+001, 3.0044020E+001, 3.0053096E+001, 3.0051308E+001, 3.0056950E+001, 3.0055361E+001, 3.0037655E+001, 3.0058133E+001, 3.0037343E+001, 3.2678023E+001, 3.0100304E+001, 2.9330356E-002, 3.1028427E-002, 2.8227981E-002, 3.1348232E-002, 3.0401884E-002, 3.2136234E-002, 2.5779438E-002, 1.7497642E-002, 2.6070949E-002, 1.4249911E-002, 2.9029270E-002, 1.4774214E-002, 3.2774171E-002, 1.3066908E-001, 8.3230286E-002, 3.8406674E-004, 1.2221396E-014, 2.0629917E-001, 3.9659827E-004, 3.8913722E-008, 2.0627817E-001, 3.8406673E-004, 5.6219789E-048, 2.0629917E-001, 1.2828090E+002
 5.0013331E+001, 5.6500549E-002, 1.7728785E-001, 6.5226322E-002, 1.9893619E-001, 3.0336803E+001, 3.0400025E+001, 3.0425025E+001, 3.0452331E+001, 3.0440912E+001, 3.0439390E+001, 3.0433649E+001, 3.0416569E+001, 3.0403332E+001, 3.0382235E+001, 3.0367120E+001, 3.0411373E+001, 3.1389319E+001, 3.6234425E+001, 3.7125248E+001, 4.4429926E+001, 4.4429926E+001, 5.1576706E+001, 3.0177844E+001, 3.0179493E+001, 3.0199003E+001, 3.0242258E+001, 3.0182399E+001, 3.0123672E+001, 3.0178236E+001, 3.0117129E+001, 3.7202467E+001, 3.0398035E+001, 1.1969590E-001, 1.1399665E-001, 1.2134631E-001, 1.2904091E-001, 1.2074175E-001, 1.1516217E-001, 9.8478031E-002, 7.5898250E-002, 1.0341728E-001, 7.0455565E-002, 1.0221190E-001, 6.7967781E-002, 1.0874630E-001, 2.8227374E-001, 2.8341766E-001, 6.1986042E-004, 7.3219801E-007, 2.0590471E-001, 4.0131530E-004, 5.3561506E-008, 2.0627024E-001, 3.8406673E-004, 3.5539488E-028, 2.0629917E-001, 1.8484843E+002
 6.0010232E+001,-1.9366213E-002, 1.8309726E-001,-2.0372827E-002, 1.9823831E-001, 3.0664295E+001, 3.0798218E+001, 3.0897639E+001, 3.0953361E+001, 3.0958923E+001, 3.1000226E+001, 3.1016256E+001, 3.1336568E+001, 3.2109600E+001, 3.2860678E+001, 3.3757961E+001, 3.6107648E+001, 3.8272253E+001, 4.4196570E+001, 4.5339557E+001, 5.6134678E+001, 5.6134678E+001, 6.4531499E+001, 3.0426878E+001, 3.0414464E+001, 3.0507756E+001, 3.0571635E+001, 3.0465627E+001, 3.0312572E+001, 3.0478682E+001, 3.0298956E+001, 4.5259372E+001, 3.0970003E+001, 2.3752064E-001, 2.2668967E-001, 2.6606810E-001, 2.7811221E-001, 2.3843643E-001, 2.2777873E-001, 1.9733578E-001, 1.5609227E-001, 2.6156987E-001, 1.6125057E-001, 2.6666057E-001, 1.6382031E-001, 2.2981580E-001, 6.3478978E-001, 5.6372636E-001, 1.3426020E-003, 2.9764903E-006, 2.0469563E-001, 4.0600636E-004, 6.8128726E-008, 2.0626234E-001, 3.8406673E-004, 2.1362697E-021, 2.0629917E-001, 2.1182524E+002
 7.0012597E+001,-8.3540957E-002, 1.9128912E-001,-8.6186736E-002, 1.9763611E-001, 3.1044800E+001, 3.1297330E+001, 3.1423803E+001, 3.1556155E+001, 3.1636629E+001, 3.1830340E+001, 3.2061657E+001, 3.3291386E+001, 3.6175480E+001, 3.9615454E+001, 4.2896465E+001, 4.7451859E+001, 5.2877219E+001, 5.8296551E+001, 6.0134457E+001, 7.0972502E+001, 7.0972502E+001, 8.2581928E+001, 3.0732114E+001, 3.0729089E+001, 3.0983304E+001, 3.1056368E+001, 3.0875848E+001, 3.0598184E+001, 3.0988455E+001, 3.0599570E+001, 5.5173261E+001, 3.1709900E+001, 3.4876185E-001, 3.5316959E-001, 4.6130374E-001, 4.6120113E-001, 3.4959809E-001, 3.5190583E-001, 3.0973726E-001, 2.5031369E-001, 4.1121702E-001, 2.9675849E-001, 4.9249751E-001, 2.9307759E-001, 3.6413151E-001, 9.6610397E-001, 8.4792685E-001, 2.4314500E-003, 6.3576339E-006, 2.0287408E-001, 4.1544826E-004, 9.7448535E-008, 2.0624648E-001, 3.8406673E-004, 4.0539775E-017, 2.0629917E-001, 2.4927253E+002
 8.0004301E+001,-1.4328847E-001, 2.0198415E-001,-1.4112159E-001, 2.0028766E-001, 3.1685927E+001, 3.2388722E+001, 3.2596197E+001, 3.2933314E+001, 3.3218138E+001, 3.3754540E+001, 3.5514182E+001, 3.9393123E+001, 4.4323050E+001, 5.3421549E+001, 5.6677564E+001, 6.3368485E+001, 6.8564960E+001, 7.4791366E+001, 7.7121950E+001, 8.8277564E+001, 8.8277564E+001, 9.9679637E+001, 3.1077200E+001, 3.1113012E+001, 3.1608075E+001, 3.1678783E+001, 3.1518427E+001, 3.1086275E+001, 3.1712303E+001, 3.1130093E+001, 6.6613648E+001, 3.2523906E+001, 4.4900960E-001, 4.7912926E-001, 6.6208672E-001, 6.5844440E-001, 4.4876939E-001, 4.7143848E-001, 4.2845582E-001, 3.5736135E-001, 6.8990442E-001, 4.9055028E-001, 7.4915709E-001, 5.1746866E-001, 5.2358200E-001, 1.3603557E+000, 1.0761292E+000, 3.6988682E-003, 1.0293283E-005, 2.0075381E-001, 4.1935305E-004, 1.0957417E-007, 2.0623990E-001, 3.8409694E-004, 9.3801007E-011, 2.0629912E-001, 3.2075768E+002
