s,C,C,C,C,C,C,C,C,C
Time,"Air Temp","IRSN_1","IRSN_2","TRAC_2","TRAC_3","TRAC_4","VTT_1","GRS_2","NRC_1"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0200000E+001, 2.2365918E+001, 2.0000094E+001, 2.0000096E+001, 2.0000134E+001, 2.0000130E+001, 2.0000136E+001, 2.0000113E+001, 2.0000143E+001, 2.0000220E+001
 2.0200000E+001, 2.6956000E+001, 2.0002779E+001, 2.0002947E+001, 2.0003872E+001, 2.0003708E+001, 2.0003928E+001, 2.0003326E+001, 2.0003701E+001, 2.0005503E+001
 3.0153230E+001, 3.7655909E+001, 2.0015260E+001, 2.0016515E+001, 2.0020892E+001, 2.0019905E+001, 2.0021192E+001, 2.0018239E+001, 2.0018510E+001, 2.0027099E+001
 4.0018861E+001, 5.9760629E+001, 2.0051969E+001, 2.0056897E+001, 2.0070956E+001, 2.0067596E+001, 2.0071950E+001, 2.0062359E+001, 2.0060679E+001, 2.0088968E+001
 5.0045372E+001, 8.2222478E+001, 2.0156377E+001, 2.0172755E+001, 2.0213616E+001, 2.0203703E+001, 2.0216537E+001, 2.0188586E+001, 2.0177668E+001, 2.0261462E+001
 6.0061269E+001, 1.0486413E+002, 2.0386505E+001, 2.0431695E+001, 2.0526975E+001, 2.0502586E+001, 2.0533977E+001, 2.0468189E+001, 2.0422609E+001, 2.0622826E+001
 7.0055213E+001, 1.2748197E+002, 2.0792306E+001, 2.0894449E+001, 2.1077648E+001, 2.1027588E+001, 2.1091568E+001, 2.0963479E+001, 2.0834554E+001, 2.1229925E+001
 8.0048525E+001, 1.5007416E+002, 2.1410470E+001, 2.1606783E+001, 2.1912839E+001, 2.1822758E+001, 2.1937068E+001, 2.1719617E+001, 2.1439243E+001, 2.2116054E+001
 9.0004538E+001, 1.7264786E+002, 2.2271170E+001, 2.2606516E+001, 2.3071691E+001, 2.2924483E+001, 2.3110105E+001, 2.2773833E+001, 2.2259495E+001, 2.3310052E+001
 1.0003451E+002, 1.9525836E+002, 2.3410907E+001, 2.3939192E+001, 2.4603624E+001, 2.4379032E+001, 2.4660742E+001, 2.4172131E+001, 2.3326041E+001, 2.4853655E+001
 1.1002937E+002, 2.1587326E+002, 2.4873011E+001, 2.5658220E+001, 2.6567544E+001, 2.6242667E+001, 2.6648495E+001, 2.5969459E+001, 2.4676653E+001, 2.6800116E+001
 1.2003370E+002, 2.1851462E+002, 2.6671917E+001, 2.7785739E+001, 2.8980774E+001, 2.8530535E+001, 2.9090860E+001, 2.8184711E+001, 2.6312213E+001, 2.9142266E+001
 1.3002197E+002, 2.1687485E+002, 2.8710877E+001, 3.0224045E+001, 3.1711093E+001, 3.1115896E+001, 3.1853650E+001, 3.0705481E+001, 2.8101848E+001, 3.1686267E+001
 1.4005998E+002, 2.1523419E+002, 3.0830392E+001, 3.2799085E+001, 3.4552333E+001, 3.3803840E+001, 3.4727908E+001, 3.3346241E+001, 2.9884969E+001, 3.4207770E+001
 1.5003688E+002, 2.1359228E+002, 3.2924357E+001, 3.5389522E+001, 3.7377981E+001, 3.6476051E+001, 3.7585632E+001, 3.5986327E+001, 3.1585896E+001, 3.6609531E+001
 1.6006911E+002, 2.1195260E+002, 3.4940675E+001, 3.7932389E+001, 4.0129081E+001, 3.9077673E+001, 4.0367344E+001, 3.8566480E+001, 3.3180364E+001, 3.8864058E+001
 1.7005901E+002, 2.1088828E+002, 3.6873189E+001, 4.0415811E+001, 4.2803193E+001, 4.1609264E+001, 4.3070413E+001, 4.1080938E+001, 3.4682178E+001, 4.0997671E+001
 1.8004282E+002, 2.1841022E+002, 3.8714965E+001, 4.2826157E+001, 4.5391093E+001, 4.4061998E+001, 4.5685657E+001, 4.3518690E+001, 3.6096895E+001, 4.3018120E+001
 1.9003780E+002, 2.2880277E+002, 4.0527339E+001, 4.5225229E+001, 4.7974343E+001, 4.6513961E+001, 4.8295819E+001, 4.5949874E+001, 3.7504426E+001, 4.5042998E+001
 2.0001966E+002, 2.3920152E+002, 4.2412043E+001, 4.7723108E+001, 5.0683919E+001, 4.9089971E+001, 5.1033507E+001, 4.8492557E+001, 3.9007499E+001, 4.7218918E+001
 2.1004104E+002, 2.4959311E+002, 4.4433025E+001, 5.0391848E+001, 5.3593814E+001, 5.1858606E+001, 5.3973618E+001, 5.1217694E+001, 4.0652193E+001, 4.9602470E+001
 2.2002197E+002, 2.6001135E+002, 4.6620139E+001, 5.3264749E+001, 5.6734276E+001, 5.4847342E+001, 5.7146724E+001, 5.4155936E+001, 4.2452236E+001, 5.2209278E+001
 2.3000975E+002, 2.7039163E+002, 4.8991552E+001, 5.6362057E+001, 6.0123579E+001, 5.8073718E+001, 6.0571167E+001, 5.7326119E+001, 4.4418657E+001, 5.5052709E+001
 2.4004951E+002, 2.8081483E+002, 5.1576457E+001, 5.9720243E+001, 6.3798502E+001, 6.1573207E+001, 6.4283941E+001, 6.0764248E+001, 4.6570663E+001, 5.8158105E+001
 2.5005803E+002, 2.9124443E+002, 5.4381135E+001, 6.3349569E+001, 6.7768794E+001, 6.5354094E+001, 6.8295026E+001, 6.4479592E+001, 4.8908489E+001, 6.1527972E+001
 2.6002588E+002, 3.0163431E+002, 5.7408005E+001, 6.7249700E+001, 7.2031948E+001, 6.9416373E+001, 7.2601416E+001, 6.8471782E+001, 5.1435690E+001, 6.5164463E+001
 2.7000695E+002, 3.1201137E+002, 6.0663378E+001, 7.1430477E+001, 7.6595090E+001, 7.3765993E+001, 7.7210317E+001, 7.2748867E+001, 5.4151486E+001, 6.9061626E+001
 2.8004522E+002, 3.2243227E+002, 6.4163788E+001, 7.5914661E+001, 8.1482035E+001, 7.8425237E+001, 8.2145832E+001, 7.7333335E+001, 5.7070701E+001, 7.3238936E+001
 2.9001578E+002, 3.3283428E+002, 6.7914032E+001, 8.0700861E+001, 8.6690966E+001, 8.3397133E+001, 8.7405322E+001, 8.2225664E+001, 6.0204990E+001, 7.7709859E+001
 3.0002025E+002, 3.4322941E+002, 7.1919099E+001, 8.5796673E+001, 9.2229676E+001, 8.8688901E+001, 9.2996655E+001, 8.7433396E+001, 6.3553775E+001, 8.2474243E+001
 3.1004445E+002, 3.5363995E+002, 7.6197040E+001, 9.1230387E+001, 9.8128081E+001, 9.4326983E+001, 9.8950351E+001, 9.2984118E+001, 6.7126902E+001, 8.7547378E+001
 3.2003899E+002, 3.6405667E+002, 8.0738770E+001, 9.6989794E+001, 1.0437174E+002, 1.0029846E+002, 1.0525165E+002, 9.8865135E+001, 7.0919670E+001, 9.2919530E+001
 3.3003649E+002, 3.7445918E+002, 8.5554503E+001, 1.0308455E+002, 1.1097135E+002, 1.0661616E+002, 1.1191088E+002, 1.0508755E+002, 7.4944948E+001, 9.8607894E+001
 3.4003476E+002, 3.8486146E+002, 9.0659661E+001, 1.0952803E+002, 1.1793714E+002, 1.1329310E+002, 1.1893770E+002, 1.1166453E+002, 7.9217932E+001, 1.0462427E+002
 3.5002609E+002, 3.9029685E+002, 9.6052582E+001, 1.1632062E+002, 1.2526937E+002, 1.2032913E+002, 1.2633241E+002, 1.1859621E+002, 8.3731887E+001, 1.1096269E+002
 3.6000400E+002, 3.9088455E+002, 1.0166418E+002, 1.2339084E+002, 1.3287338E+002, 1.2763391E+002, 1.3399890E+002, 1.2580173E+002, 8.8394636E+001, 1.1748691E+002
 3.7003348E+002, 3.9147294E+002, 1.0733180E+002, 1.3055920E+002, 1.4052896E+002, 1.3499885E+002, 1.4171385E+002, 1.3308622E+002, 9.3031588E+001, 1.2394420E+002
 3.8002209E+002, 3.9206197E+002, 1.1292513E+002, 1.3767114E+002, 1.4807181E+002, 1.4227093E+002, 1.4931090E+002, 1.4029477E+002, 9.7545944E+001, 1.3020911E+002
 3.9001209E+002, 3.9264956E+002, 1.1837702E+002, 1.4464222E+002, 1.5542436E+002, 1.4937745E+002, 1.5671200E+002, 1.4734833E+002, 1.0190312E+002, 1.3624809E+002
 4.0004081E+002, 3.9323828E+002, 1.2369850E+002, 1.5149217E+002, 1.6262374E+002, 1.5635108E+002, 1.6395557E+002, 1.5427343E+002, 1.0612076E+002, 1.4211033E+002
 4.1001631E+002, 3.9382670E+002, 1.2886470E+002, 1.5817197E+002, 1.6961304E+002, 1.6314022E+002, 1.7098355E+002, 1.6101986E+002, 1.1019907E+002, 1.4777031E+002
 4.2002409E+002, 3.9441444E+002, 1.3388042E+002, 1.6468014E+002, 1.7640074E+002, 1.6975169E+002, 1.7780511E+002, 1.6759032E+002, 1.1414709E+002, 1.5325596E+002
 4.3004040E+002, 3.9500289E+002, 1.3877437E+002, 1.7105339E+002, 1.8303126E+002, 1.7622477E+002, 1.8446572E+002, 1.7402327E+002, 1.1798623E+002, 1.5860698E+002
 4.4003988E+002, 3.9559191E+002, 1.4354374E+002, 1.7728330E+002, 1.8949800E+002, 1.8255115E+002, 1.9095912E+002, 1.8031047E+002, 1.2171548E+002, 1.6382496E+002
 4.5000192E+002, 3.9617917E+002, 1.4819511E+002, 1.8337317E+002, 1.9580772E+002, 1.8873598E+002, 1.9729242E+002, 1.8645628E+002, 1.2534102E+002, 1.6892399E+002
 4.6002913E+002, 3.9676663E+002, 1.5274461E+002, 1.8932557E+002, 2.0195061E+002, 1.9477290E+002, 2.0345490E+002, 1.9245880E+002, 1.2888460E+002, 1.7390155E+002
 4.7002933E+002, 3.9735603E+002, 1.5719069E+002, 1.9512607E+002, 2.0791086E+002, 2.0064726E+002, 2.0943057E+002, 1.9830326E+002, 1.3234883E+002, 1.7875593E+002
 4.8002738E+002, 3.9794410E+002, 1.6153939E+002, 2.0078611E+002, 2.1371384E+002, 2.0637991E+002, 2.1524598E+002, 2.0400590E+002, 1.3573397E+002, 1.8351564E+002
 4.9004571E+002, 3.9853270E+002, 1.6580477E+002, 2.0631686E+002, 2.1936401E+002, 2.1197512E+002, 2.2090542E+002, 2.0957471E+002, 1.3905180E+002, 1.8817878E+002
