s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.1363664E-002, 4.1563018E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1363623E-002, 0.0000000E+000, 0.0000000E+000,-5.7902354E-001
 1.0004390E+001, 0.0000000E+000, 7.6785649E-002,-3.1855109E-004, 1.6947908E-001, 0.0000000E+000, 3.5594801E-001, 0.0000000E+000, 0.0000000E+000, 5.9971278E-001, 6.0189419E-001, 0.0000000E+000, 0.0000000E+000, 2.9172259E+001
 2.0008780E+001, 0.0000000E+000, 8.9450646E-002,-1.7304906E-002, 1.7830329E-001, 0.0000000E+000,-2.6331010E-004, 0.0000000E+000, 0.0000000E+000, 2.5025095E-001, 2.5018572E-001, 0.0000000E+000, 0.0000000E+000, 2.9151692E+001
 3.0013170E+001, 0.0000000E+000, 8.8209307E-002,-2.2980167E-002, 1.7151797E-001, 0.0000000E+000,-6.5475644E-004, 0.0000000E+000, 0.0000000E+000, 2.3614281E-001, 2.3609235E-001, 0.0000000E+000, 0.0000000E+000, 2.9096315E+001
 4.0012409E+001, 1.5949057E+001,-4.2685568E+000,-1.8366050E-001,-4.2885746E-001,-5.4486967E-002, 6.9009970E-001, 0.0000000E+000, 0.0000000E+000, 1.1616821E+001, 1.1703595E+001, 3.8398610E-004, 3.8398610E-004, 8.6272134E+001
 5.0007614E+001, 2.8634947E+001,-7.8631863E+000,-7.6005203E-001,-1.6938120E+000,-9.5107978E-002, 4.4341093E-001, 0.0000000E+000, 0.0000000E+000, 1.8621838E+001, 1.8666199E+001, 6.8672955E-004, 6.8672955E-004, 1.2329820E+002
 6.0005005E+001, 4.4235236E+001,-1.2364797E+001,-2.0023618E+000,-3.0912785E+000,-1.4291414E-001, 3.5586597E-001, 0.0000000E+000, 0.0000000E+000, 2.6928437E+001, 2.6989750E+001, 1.0643512E-003, 1.0643512E-003, 1.5293674E+002
 7.0008766E+001, 6.0262922E+001,-1.7037703E+001,-3.3307379E+000,-4.8994611E+000,-1.8713749E-001, 2.7163610E-001, 0.0000000E+000, 0.0000000E+000, 3.5011561E+001, 3.5079518E+001, 1.4421368E-003, 1.4421368E-003, 1.7567978E+002
 8.0005196E+001, 7.6043945E+001,-2.1764946E+001,-4.7297442E+000,-7.0187170E+000,-2.2963744E-001, 1.4274776E-001, 0.0000000E+000, 0.0000000E+000, 4.2353980E+001, 4.2443648E+001, 1.8198879E-003, 1.8198879E-003, 1.8761412E+002
 9.0004677E+001, 9.2208218E+001,-2.6814736E+001,-6.1200353E+000,-9.5425389E+000,-2.7234249E-001, 1.9617181E-001, 0.0000000E+000, 0.0000000E+000, 4.9509431E+001, 4.9654737E+001, 2.1975989E-003, 2.1975989E-003, 2.0361900E+002
 1.0000909E+002, 1.0792222E+002,-3.1896022E+001,-7.7107671E+000,-1.2824619E+001,-3.1382551E-001, 1.0404909E-001, 0.0000000E+000, 0.0000000E+000, 5.5164096E+001, 5.5281036E+001, 2.5755728E-003, 2.5755728E-003, 2.1236349E+002
 1.1000854E+002, 1.2219779E+002,-3.6791755E+001,-9.7134606E+000,-1.6057980E+001,-3.4393651E-001,-2.2632033E-001, 0.0000000E+000, 0.0000000E+000, 5.8902788E+001, 5.9064340E+001, 2.9163864E-003, 2.9163864E-003, 1.9321272E+002
 1.2000757E+002, 1.2727036E+002,-3.9679279E+001,-1.0804868E+001,-1.9546451E+001,-3.5778395E-001, 1.1397147E-001, 0.0000000E+000, 0.0000000E+000, 5.6787522E+001, 5.6995948E+001, 3.0356917E-003, 3.0356917E-003, 2.0213125E+002
 1.3000214E+002, 1.3129956E+002,-4.2220378E+001,-1.1849152E+001,-2.1644301E+001,-3.6591373E-001,-9.8466903E-003, 0.0000000E+000, 0.0000000E+000, 5.4999312E+001, 5.5209965E+001, 3.1186949E-003, 3.1186949E-003, 2.0136616E+002
 1.4000439E+002, 1.3341404E+002,-4.4406502E+001,-1.2388057E+001,-2.5099249E+001,-3.7214430E-001, 1.2886951E-002, 0.0000000E+000, 0.0000000E+000, 5.0882987E+001, 5.1160973E+001, 3.1751983E-003, 3.1751983E-003, 2.0157910E+002
 1.5000668E+002, 1.3243403E+002,-4.5625281E+001,-1.3154522E+001,-2.8417510E+001,-3.6648617E-001,-4.3727586E-002, 0.0000000E+000, 0.0000000E+000, 4.4612085E+001, 4.4826507E+001, 3.1360027E-003, 3.1360027E-003, 1.9809006E+002
 1.6000816E+002, 1.3004513E+002,-4.6570641E+001,-1.3983893E+001,-3.0654371E+001,-3.6268750E-001,-1.7297997E-001, 0.0000000E+000, 0.0000000E+000, 3.8010560E+001, 3.8300553E+001, 3.0879961E-003, 3.0879961E-003, 1.8292575E+002
 1.7001312E+002, 1.2793683E+002,-4.7225755E+001,-1.4178557E+001,-3.2841281E+001,-3.6228856E-001,-1.7137408E-001, 0.0000000E+000, 0.0000000E+000, 3.2908416E+001, 3.3157572E+001, 3.0399901E-003, 3.0399901E-003, 1.6852589E+002
 1.8001007E+002, 1.2576653E+002,-4.7830666E+001,-1.4600201E+001,-3.4086147E+001,-3.5840510E-001,-6.7146981E-002, 0.0000000E+000, 0.0000000E+000, 2.8584672E+001, 2.8823964E+001, 2.9919960E-003, 2.9919960E-003, 1.6304708E+002
 1.9001083E+002, 1.2352414E+002,-4.8060510E+001,-1.4882757E+001,-3.5274398E+001,-3.5075522E-001,-2.6702127E-001, 0.0000000E+000, 0.0000000E+000, 2.4435433E+001, 2.4688696E+001, 2.9440227E-003, 2.9440227E-003, 1.4065563E+002
 2.0000192E+002, 1.2260498E+002,-4.8713965E+001,-1.4919219E+001,-3.6259533E+001,-3.4296636E-001,-2.2216937E-003, 0.0000000E+000, 0.0000000E+000, 2.2114348E+001, 2.2367077E+001, 2.9055401E-003, 2.9055401E-003, 1.4059928E+002
 2.1000760E+002, 1.2200915E+002,-4.9285114E+001,-1.5344101E+001,-3.6888755E+001,-3.4270310E-001,-1.4918356E-001, 0.0000000E+000, 0.0000000E+000, 1.9654144E+001, 1.9999294E+001, 2.8962618E-003, 2.8962618E-003, 1.2713808E+002
 2.2000786E+002, 1.2199551E+002,-4.9662858E+001,-1.5403650E+001,-3.8086644E+001,-3.4027088E-001, 5.3242213E-002, 0.0000000E+000, 0.0000000E+000, 1.8323759E+001, 1.8555331E+001, 2.8890634E-003, 2.8890634E-003, 1.3213639E+002
 2.3000830E+002, 1.2107380E+002,-4.9907520E+001,-1.5532591E+001,-3.8208804E+001,-3.4158347E-001,-1.0716641E-001, 0.0000000E+000, 0.0000000E+000, 1.6700409E+001, 1.6976139E+001, 2.8795557E-003, 2.8795557E-003, 1.2324943E+002
 2.4000598E+002, 1.1912145E+002,-5.0125554E+001,-1.5814724E+001,-3.9696059E+001,-3.3692892E-001,-3.0045389E-001, 0.0000000E+000, 0.0000000E+000, 1.2522309E+001, 1.2847726E+001, 2.8455857E-003, 2.8455857E-003, 9.7374915E+001
 2.5000195E+002, 1.1905983E+002,-5.0484602E+001,-1.5759525E+001,-3.9766461E+001,-3.2871517E-001, 1.5201727E-001, 0.0000000E+000, 0.0000000E+000, 1.2594223E+001, 1.2872546E+001, 2.8051235E-003, 2.8051235E-003, 1.1000471E+002
 2.6000928E+002, 1.1587446E+002,-4.9911539E+001,-1.5654586E+001,-4.0736320E+001,-3.2819749E-001,-1.8507363E-001, 0.0000000E+000, 0.0000000E+000, 8.7944329E+000, 9.0587425E+000, 2.7646364E-003, 2.7646364E-003, 9.4495272E+001
 2.7001187E+002, 1.1579578E+002,-5.0260245E+001,-1.5800172E+001,-4.0640699E+001,-3.2201281E-001, 5.6391290E-002, 0.0000000E+000, 0.0000000E+000, 8.5881604E+000, 8.8290465E+000, 2.7413575E-003, 2.7413575E-003, 9.9355549E+001
 2.8001364E+002, 1.1595464E+002,-5.0528535E+001,-1.5771721E+001,-4.0838522E+001,-3.2310902E-001,-3.9533954E-002, 0.0000000E+000, 0.0000000E+000, 8.1694940E+000, 8.4532215E+000, 2.7484668E-003, 2.7484668E-003, 9.5880587E+001
 2.9000522E+002, 1.1609062E+002,-5.0996407E+001,-1.5781060E+001,-4.1204774E+001,-3.2584752E-001, 8.1636653E-002, 0.0000000E+000, 0.0000000E+000, 7.5411584E+000, 7.8641713E+000, 2.7561737E-003, 2.7561737E-003, 1.0192677E+002
 3.0000482E+002, 1.1513035E+002,-5.0718736E+001,-1.5712642E+001,-4.1781941E+001,-3.2283507E-001,-1.9517609E-001, 0.0000000E+000, 0.0000000E+000, 6.1136828E+000, 6.3990195E+000, 2.7538018E-003, 2.7538018E-003, 8.5527859E+001
