s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 5.899E-20, 4.716E-16, 2.864E-12, 1.368E-09, 2.497E-06, 1.590E-03, 1.915E-01, 6.362E-02, 5.676E-02
 1.199E+02, 5.406E-13, 3.700E-10, 1.441E-07, 8.461E-06, 1.058E-03, 6.162E-02, 1.026E+00, 6.489E-02, 5.859E-02
 1.799E+02, 1.088E-09, 1.741E-07, 1.763E-05, 4.000E-04, 1.492E-02, 2.635E-01, 1.886E+00, 6.493E-02, 5.855E-02
 2.399E+02, 1.074E-07, 7.095E-06, 3.058E-04, 3.691E-03, 6.208E-02, 5.737E-01, 2.695E+00, 6.498E-02, 5.849E-02
 2.999E+02, 2.428E-06, 8.336E-05, 1.909E-03, 1.488E-02, 1.508E-01, 9.388E-01, 3.444E+00, 6.510E-02, 5.837E-02
 3.599E+02, 2.205E-05, 4.565E-04, 6.646E-03, 3.857E-02, 2.777E-01, 1.334E+00, 4.138E+00, 6.532E-02, 5.816E-02
 4.199E+02, 1.134E-04, 1.612E-03, 1.676E-02, 7.779E-02, 4.383E-01, 1.747E+00, 4.783E+00, 6.565E-02, 5.783E-02
 4.799E+02, 4.082E-04, 4.310E-03, 3.404E-02, 1.333E-01, 6.248E-01, 2.165E+00, 5.390E+00, 6.609E-02, 5.739E-02
 5.399E+02, 1.123E-03, 9.261E-03, 5.960E-02, 2.051E-01, 8.334E-01, 2.585E+00, 5.964E+00, 6.665E-02, 5.682E-02
 5.999E+02, 2.518E-03, 1.716E-02, 9.427E-02, 2.922E-01, 1.059E+00, 3.002E+00, 6.507E+00, 6.733E-02, 5.614E-02
 6.599E+02, 4.935E-03, 2.869E-02, 1.383E-01, 3.932E-01, 1.298E+00, 3.414E+00, 7.021E+00, 6.812E-02, 5.535E-02
 7.199E+02, 8.773E-03, 4.449E-02, 1.919E-01, 5.083E-01, 1.548E+00, 3.816E+00, 7.512E+00, 6.901E-02, 5.447E-02
 7.799E+02, 1.443E-02, 6.501E-02, 2.550E-01, 6.352E-01, 1.805E+00, 4.211E+00, 7.987E+00, 6.998E-02, 5.349E-02
 8.399E+02, 2.230E-02, 9.052E-02, 3.272E-01, 7.728E-01, 2.069E+00, 4.599E+00, 8.442E+00, 7.102E-02, 5.245E-02
 8.999E+02, 3.273E-02, 1.212E-01, 4.080E-01, 9.203E-01, 2.336E+00, 4.980E+00, 8.871E+00, 7.214E-02, 5.133E-02
