s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 5.895E-20, 4.714E-16, 2.863E-12, 1.367E-09, 2.497E-06, 1.590E-03, 1.915E-01, 9.966E-02, 9.474E-02
 1.199E+02, 5.399E-13, 3.695E-10, 1.440E-07, 8.456E-06, 1.058E-03, 6.161E-02, 1.026E+00, 1.018E-01, 9.761E-02
 1.799E+02, 1.086E-09, 1.740E-07, 1.760E-05, 3.989E-04, 1.488E-02, 2.637E-01, 1.890E+00, 1.018E-01, 9.756E-02
 2.399E+02, 1.071E-07, 7.080E-06, 3.053E-04, 3.687E-03, 6.211E-02, 5.729E-01, 2.697E+00, 1.019E-01, 9.751E-02
 2.999E+02, 2.412E-06, 8.275E-05, 1.897E-03, 1.480E-02, 1.505E-01, 9.392E-01, 3.444E+00, 1.020E-01, 9.743E-02
 3.599E+02, 2.191E-05, 4.544E-04, 6.637E-03, 3.856E-02, 2.778E-01, 1.335E+00, 4.136E+00, 1.021E-01, 9.728E-02
 4.199E+02, 1.127E-04, 1.603E-03, 1.668E-02, 7.746E-02, 4.376E-01, 1.747E+00, 4.783E+00, 1.024E-01, 9.706E-02
 4.799E+02, 4.057E-04, 4.285E-03, 3.390E-02, 1.331E-01, 6.252E-01, 2.165E+00, 5.394E+00, 1.027E-01, 9.676E-02
 5.399E+02, 1.115E-03, 9.197E-03, 5.923E-02, 2.042E-01, 8.327E-01, 2.585E+00, 5.964E+00, 1.030E-01, 9.637E-02
 5.999E+02, 2.499E-03, 1.703E-02, 9.381E-02, 2.915E-01, 1.059E+00, 3.002E+00, 6.503E+00, 1.035E-01, 9.590E-02
 6.599E+02, 4.895E-03, 2.851E-02, 1.379E-01, 3.936E-01, 1.299E+00, 3.412E+00, 7.018E+00, 1.040E-01, 9.537E-02
 7.199E+02, 8.708E-03, 4.425E-02, 1.914E-01, 5.081E-01, 1.549E+00, 3.816E+00, 7.508E+00, 1.046E-01, 9.476E-02
 7.799E+02, 1.434E-02, 6.476E-02, 2.547E-01, 6.354E-01, 1.806E+00, 4.210E+00, 7.990E+00, 1.053E-01, 9.410E-02
 8.399E+02, 2.220E-02, 9.038E-02, 3.273E-01, 7.733E-01, 2.070E+00, 4.596E+00, 8.447E+00, 1.060E-01, 9.339E-02
 8.999E+02, 3.264E-02, 1.212E-01, 4.082E-01, 9.205E-01, 2.337E+00, 4.976E+00, 8.879E+00, 1.068E-01, 9.263E-02
