s,%,%,%,%,%,%,%,m/s,m/s,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","U TOPD_V","U BOTTOMD_V","B TOPD_V","B BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.990E+01, 8.682E-14, 8.118E-10, 3.337E-06, 6.075E-04, 9.020E-02, 6.736E-01, 1.280E+00, 2.842E-01, 2.805E-01, 2.474E-01, 2.486E-01
 1.199E+02, 2.178E-07, 7.114E-05, 1.009E-02, 1.589E-01, 1.181E+00, 2.793E+00, 3.599E+00, 3.292E-01, 3.199E-01, 2.094E-01, 2.105E-01
 1.799E+02, 9.907E-05, 7.832E-03, 2.349E-01, 1.061E+00, 2.937E+00, 4.469E+00, 5.064E+00, 3.730E-01, 3.615E-01, 1.665E-01, 1.679E-01
 2.399E+02, 3.047E-03, 9.444E-02, 9.624E-01, 2.412E+00, 4.441E+00, 5.774E+00, 6.276E+00, 4.167E-01, 4.048E-01, 1.228E-01, 1.246E-01
 2.999E+02, 2.315E-02, 3.685E-01, 1.981E+00, 3.749E+00, 5.706E+00, 6.892E+00, 7.372E+00, 4.613E-01, 4.482E-01, 7.836E-02, 8.105E-02
 3.599E+02, 8.674E-02, 8.225E-01, 3.060E+00, 4.967E+00, 6.828E+00, 7.945E+00, 8.407E+00, 5.056E-01, 4.919E-01, 3.274E-02, 3.855E-02
 4.199E+02, 2.106E-01, 1.377E+00, 4.106E+00, 6.091E+00, 7.876E+00, 8.952E+00, 9.411E+00, 5.503E-01, 5.355E-01,-1.509E-02,-1.834E-03
 4.799E+02, 3.974E-01, 1.988E+00, 5.109E+00, 7.140E+00, 8.873E+00, 9.927E+00, 1.037E+01, 5.901E-01, 5.750E-01,-4.855E-02,-4.763E-02
 5.399E+02, 6.402E-01, 2.614E+00, 6.064E+00, 8.133E+00, 9.832E+00, 1.086E+01, 1.129E+01, 6.257E-01, 6.092E-01,-8.255E-02,-8.351E-02
 5.999E+02, 9.272E-01, 3.246E+00, 6.982E+00, 9.084E+00, 1.076E+01, 1.176E+01, 1.219E+01, 6.573E-01, 6.402E-01,-1.133E-01,-1.153E-01
 6.599E+02, 1.253E+00, 3.877E+00, 7.865E+00, 1.000E+01, 1.165E+01, 1.263E+01, 1.305E+01, 6.863E-01, 6.682E-01,-1.414E-01,-1.442E-01
 7.199E+02, 1.611E+00, 4.503E+00, 8.718E+00, 1.088E+01, 1.251E+01, 1.348E+01, 1.387E+01, 7.130E-01, 6.943E-01,-1.674E-01,-1.710E-01
 7.799E+02, 1.991E+00, 5.122E+00, 9.540E+00, 1.173E+01, 1.334E+01, 1.429E+01, 1.468E+01, 7.373E-01, 7.184E-01,-1.913E-01,-1.955E-01
