s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 6.596E-17, 1.398E-12, 1.198E-08, 8.292E-06, 1.577E-02, 8.047E-02, 3.269E-01, 9.963E-02, 9.482E-02
 1.199E+02, 3.040E-10, 1.199E-07, 3.066E-05, 2.662E-03, 7.059E-02, 6.719E-01, 1.049E+00, 1.019E-01, 9.755E-02
 1.799E+02, 6.306E-07, 1.268E-04, 9.409E-03, 8.361E-02, 4.046E-01, 1.206E+00, 1.502E+00, 1.023E-01, 9.716E-02
 2.399E+02, 3.811E-05, 1.678E-03, 4.693E-02, 2.767E-01, 8.336E-01, 1.601E+00, 1.856E+00, 1.034E-01, 9.608E-02
 2.999E+02, 5.527E-04, 1.567E-02, 1.775E-01, 5.583E-01, 1.208E+00, 1.948E+00, 2.173E+00, 1.048E-01, 9.466E-02
 3.599E+02, 4.238E-03, 5.911E-02, 3.588E-01, 8.701E-01, 1.567E+00, 2.240E+00, 2.462E+00, 1.063E-01, 9.317E-02
 4.199E+02, 1.361E-02, 1.286E-01, 5.956E-01, 1.182E+00, 1.881E+00, 2.522E+00, 2.716E+00, 1.078E-01, 9.166E-02
 4.799E+02, 3.262E-02, 2.334E-01, 8.326E-01, 1.479E+00, 2.174E+00, 2.787E+00, 2.980E+00, 1.092E-01, 9.025E-02
 5.399E+02, 6.517E-02, 3.615E-01, 1.085E+00, 1.766E+00, 2.444E+00, 3.054E+00, 3.224E+00, 1.105E-01, 8.891E-02
 5.999E+02, 1.105E-01, 5.015E-01, 1.327E+00, 2.040E+00, 2.710E+00, 3.303E+00, 3.478E+00, 1.118E-01, 8.760E-02
 6.599E+02, 1.702E-01, 6.561E-01, 1.571E+00, 2.296E+00, 2.972E+00, 3.539E+00, 3.720E+00, 1.131E-01, 8.633E-02
 7.199E+02, 2.416E-01, 8.107E-01, 1.808E+00, 2.561E+00, 3.224E+00, 3.776E+00, 3.959E+00, 1.143E-01, 8.506E-02
 7.799E+02, 3.265E-01, 9.815E-01, 2.044E+00, 2.810E+00, 3.467E+00, 4.008E+00, 4.190E+00, 1.155E-01, 8.390E-02
 8.399E+02, 4.209E-01, 1.143E+00, 2.272E+00, 3.051E+00, 3.707E+00, 4.248E+00, 4.418E+00, 1.167E-01, 8.269E-02
 8.999E+02, 5.263E-01, 1.314E+00, 2.505E+00, 3.293E+00, 3.950E+00, 4.472E+00, 4.623E+00, 1.179E-01, 8.154E-02
