s,%,%,%,%,%,%,%,m/s,m/s,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","U TOPD_V","U BOTTOMD_V","B TOPD_V","B BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 3.543E-18, 2.793E-14, 1.368E-10, 4.555E-08, 4.673E-05, 1.856E-02, 1.166E+00, 2.809E-01, 2.716E-01, 2.535E-01, 2.546E-01
 1.199E+02, 1.134E-11, 6.019E-09, 1.811E-06, 8.679E-05, 8.334E-03, 3.798E-01, 4.840E+00, 3.220E-01, 2.937E-01, 2.260E-01, 2.272E-01
 1.799E+02, 1.316E-08, 1.784E-06, 1.491E-04, 2.902E-03, 8.951E-02, 1.430E+00, 8.320E+00, 3.623E-01, 3.219E-01, 1.917E-01, 1.929E-01
 2.399E+02, 1.008E-06, 5.765E-05, 2.083E-03, 2.219E-02, 3.345E-01, 2.871E+00, 1.134E+01, 4.029E-01, 3.553E-01, 1.546E-01, 1.561E-01
 2.999E+02, 1.865E-05, 5.555E-04, 1.094E-02, 7.800E-02, 7.419E-01, 4.511E+00, 1.397E+01, 4.439E-01, 3.919E-01, 1.155E-01, 1.175E-01
 3.599E+02, 1.447E-04, 2.654E-03, 3.419E-02, 1.849E-01, 1.310E+00, 6.162E+00, 1.627E+01, 4.850E-01, 4.304E-01, 7.519E-02, 7.819E-02
 4.199E+02, 6.572E-04, 8.414E-03, 7.980E-02, 3.552E-01, 2.012E+00, 7.750E+00, 1.830E+01, 5.266E-01, 4.704E-01, 3.244E-02, 3.937E-02
 4.799E+02, 2.112E-03, 2.053E-02, 1.547E-01, 5.934E-01, 2.801E+00, 9.210E+00, 2.013E+01, 5.682E-01, 5.111E-01,-1.555E-02, 5.118E-03
 5.399E+02, 5.344E-03, 4.196E-02, 2.644E-01, 8.978E-01, 3.625E+00, 1.056E+01, 2.178E+01, 6.056E-01, 5.479E-01,-4.503E-02,-3.951E-02
 5.999E+02, 1.141E-02, 7.560E-02, 4.092E-01, 1.252E+00, 4.447E+00, 1.184E+01, 2.325E+01, 6.384E-01, 5.798E-01,-7.612E-02,-7.318E-02
 6.599E+02, 2.148E-02, 1.231E-01, 5.845E-01, 1.639E+00, 5.266E+00, 1.307E+01, 2.457E+01, 6.678E-01, 6.081E-01,-1.045E-01,-1.025E-01
 7.199E+02, 3.669E-02, 1.844E-01, 7.853E-01, 2.050E+00, 6.072E+00, 1.422E+01, 2.576E+01, 6.939E-01, 6.332E-01,-1.299E-01,-1.284E-01
 7.799E+02, 5.805E-02, 2.601E-01, 1.010E+00, 2.479E+00, 6.861E+00, 1.529E+01, 2.687E+01, 7.193E-01, 6.568E-01,-1.542E-01,-1.530E-01
