s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 8.643E-14, 8.027E-10, 3.397E-06, 6.480E-04, 9.396E-02, 6.816E-01, 1.287E+00, 2.648E-01, 2.622E-01
 1.199E+02, 2.098E-07, 7.147E-05, 1.066E-02, 1.747E-01, 1.242E+00, 2.827E+00, 3.622E+00, 2.667E-01, 2.644E-01
 1.799E+02, 9.947E-05, 8.272E-03, 2.484E-01, 1.130E+00, 3.034E+00, 4.533E+00, 5.114E+00, 2.688E-01, 2.622E-01
 2.399E+02, 3.095E-03, 9.701E-02, 1.004E+00, 2.530E+00, 4.573E+00, 5.859E+00, 6.339E+00, 2.711E-01, 2.600E-01
 2.999E+02, 2.344E-02, 3.761E-01, 2.055E+00, 3.909E+00, 5.858E+00, 6.996E+00, 7.457E+00, 2.734E-01, 2.576E-01
 3.599E+02, 8.797E-02, 8.388E-01, 3.169E+00, 5.168E+00, 7.002E+00, 8.086E+00, 8.538E+00, 2.756E-01, 2.555E-01
 4.199E+02, 2.174E-01, 1.411E+00, 4.260E+00, 6.321E+00, 8.067E+00, 9.131E+00, 9.580E+00, 2.776E-01, 2.534E-01
 4.799E+02, 4.169E-01, 2.051E+00, 5.316E+00, 7.405E+00, 9.095E+00, 1.014E+01, 1.059E+01, 2.795E-01, 2.515E-01
 5.399E+02, 6.795E-01, 2.737E+00, 6.346E+00, 8.436E+00, 1.006E+01, 1.110E+01, 1.158E+01, 2.815E-01, 2.496E-01
 5.999E+02, 9.992E-01, 3.457E+00, 7.370E+00, 9.440E+00, 1.101E+01, 1.201E+01, 1.250E+01, 2.833E-01, 2.478E-01
 6.599E+02, 1.377E+00, 4.239E+00, 8.390E+00, 1.046E+01, 1.191E+01, 1.289E+01, 1.332E+01, 2.852E-01, 2.459E-01
 7.199E+02, 1.815E+00, 5.088E+00, 9.456E+00, 1.144E+01, 1.280E+01, 1.367E+01, 1.406E+01, 2.871E-01, 2.440E-01
 7.799E+02, 2.322E+00, 6.005E+00, 1.050E+01, 1.235E+01, 1.363E+01, 1.441E+01, 1.474E+01, 2.888E-01, 2.423E-01
 8.399E+02, 2.890E+00, 6.956E+00, 1.141E+01, 1.319E+01, 1.444E+01, 1.516E+01, 1.546E+01, 2.905E-01, 2.405E-01
 8.999E+02, 3.538E+00, 7.779E+00, 1.224E+01, 1.407E+01, 1.528E+01, 1.590E+01, 1.614E+01, 2.920E-01, 2.390E-01
