s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.994E+01, 4.536E-16, 3.042E-12, 1.235E-08, 3.279E-06, 3.475E-03, 1.114E-01, 2.616E-01, 6.363E-02, 5.677E-02
 1.199E+02, 1.379E-09, 8.482E-07, 2.321E-04, 7.258E-03, 1.260E-01, 5.860E-01, 9.396E-01, 6.501E-02, 5.850E-02
 1.799E+02, 1.632E-06, 1.760E-04, 9.429E-03, 8.398E-02, 4.729E-01, 1.098E+00, 1.395E+00, 6.566E-02, 5.783E-02
 2.399E+02, 8.806E-05, 3.769E-03, 6.850E-02, 2.884E-01, 8.753E-01, 1.513E+00, 1.752E+00, 6.726E-02, 5.622E-02
 2.999E+02, 1.142E-03, 2.311E-02, 2.039E-01, 5.754E-01, 1.258E+00, 1.854E+00, 2.063E+00, 6.936E-02, 5.412E-02
 3.599E+02, 5.727E-03, 6.945E-02, 4.007E-01, 8.865E-01, 1.601E+00, 2.156E+00, 2.348E+00, 7.158E-02, 5.190E-02
 4.199E+02, 1.753E-02, 1.478E-01, 6.320E-01, 1.196E+00, 1.911E+00, 2.434E+00, 2.621E+00, 7.376E-02, 4.972E-02
 4.799E+02, 4.032E-02, 2.537E-01, 8.772E-01, 1.492E+00, 2.197E+00, 2.697E+00, 2.891E+00, 7.584E-02, 4.764E-02
 5.399E+02, 7.586E-02, 3.804E-01, 1.125E+00, 1.772E+00, 2.466E+00, 2.955E+00, 3.155E+00, 7.781E-02, 4.567E-02
 5.999E+02, 1.249E-01, 5.263E-01, 1.377E+00, 2.045E+00, 2.727E+00, 3.208E+00, 3.397E+00, 7.972E-02, 4.376E-02
 6.599E+02, 1.871E-01, 6.836E-01, 1.626E+00, 2.314E+00, 2.990E+00, 3.438E+00, 3.621E+00, 8.162E-02, 4.185E-02
 7.199E+02, 2.619E-01, 8.476E-01, 1.873E+00, 2.581E+00, 3.238E+00, 3.664E+00, 3.839E+00, 8.352E-02, 3.996E-02
 7.799E+02, 3.492E-01, 1.017E+00, 2.121E+00, 2.842E+00, 3.477E+00, 3.885E+00, 4.061E+00, 8.538E-02, 3.810E-02
 8.399E+02, 4.461E-01, 1.194E+00, 2.371E+00, 3.101E+00, 3.710E+00, 4.107E+00, 4.275E+00, 8.720E-02, 3.628E-02
 8.999E+02, 5.540E-01, 1.380E+00, 2.621E+00, 3.350E+00, 3.930E+00, 4.324E+00, 4.487E+00, 8.896E-02, 3.452E-02
