s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 1.198E-13, 4.846E-10, 6.843E-07, 8.829E-05, 6.281E-02, 7.926E-01, 1.468E+00, 2.642E-01, 2.628E-01
 1.199E+02, 1.355E-07, 7.852E-05, 1.533E-02, 2.227E-01, 1.179E+00, 3.208E+00, 3.708E+00, 2.667E-01, 2.644E-01
 1.799E+02, 4.476E-05, 4.297E-03, 2.283E-01, 1.249E+00, 3.024E+00, 4.761E+00, 5.134E+00, 2.689E-01, 2.622E-01
 2.399E+02, 1.968E-03, 8.955E-02, 1.065E+00, 2.661E+00, 4.533E+00, 5.986E+00, 6.362E+00, 2.714E-01, 2.597E-01
 2.999E+02, 1.642E-02, 4.030E-01, 2.138E+00, 4.035E+00, 5.787E+00, 7.132E+00, 7.454E+00, 2.738E-01, 2.573E-01
 3.599E+02, 6.973E-02, 9.060E-01, 3.248E+00, 5.279E+00, 6.916E+00, 8.203E+00, 8.549E+00, 2.757E-01, 2.554E-01
 4.199E+02, 1.954E-01, 1.523E+00, 4.301E+00, 6.390E+00, 7.987E+00, 9.247E+00, 9.575E+00, 2.777E-01, 2.533E-01
 4.799E+02, 4.033E-01, 2.175E+00, 5.315E+00, 7.450E+00, 9.020E+00, 1.026E+01, 1.059E+01, 2.796E-01, 2.514E-01
 5.399E+02, 6.734E-01, 2.847E+00, 6.310E+00, 8.458E+00, 1.006E+01, 1.122E+01, 1.157E+01, 2.812E-01, 2.499E-01
 5.999E+02, 1.008E+00, 3.535E+00, 7.260E+00, 9.454E+00, 1.103E+01, 1.216E+01, 1.250E+01, 2.834E-01, 2.477E-01
 6.599E+02, 1.385E+00, 4.226E+00, 8.201E+00, 1.042E+01, 1.195E+01, 1.309E+01, 1.341E+01, 2.852E-01, 2.458E-01
 7.199E+02, 1.817E+00, 4.930E+00, 9.115E+00, 1.135E+01, 1.286E+01, 1.396E+01, 1.430E+01, 2.871E-01, 2.440E-01
 7.799E+02, 2.271E+00, 5.637E+00, 9.997E+00, 1.227E+01, 1.376E+01, 1.485E+01, 1.514E+01, 2.888E-01, 2.423E-01
 8.399E+02, 2.771E+00, 6.349E+00, 1.088E+01, 1.316E+01, 1.462E+01, 1.567E+01, 1.598E+01, 2.906E-01, 2.405E-01
 8.999E+02, 3.304E+00, 7.077E+00, 1.173E+01, 1.402E+01, 1.545E+01, 1.649E+01, 1.680E+01, 2.925E-01, 2.386E-01
