s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 2.280E+03, 8.175E+00, 1.242E+01, 1.943E+01, 2.615E+01, 3.569E+01, 4.456E+01, 5.259E+01, 3.220E-01, 2.029E-01
 2.340E+03, 8.770E+00, 1.309E+01, 2.015E+01, 2.687E+01, 3.637E+01, 4.509E+01, 5.282E+01, 3.280E-01, 2.055E-01
 2.400E+03, 9.385E+00, 1.376E+01, 2.087E+01, 2.759E+01, 3.702E+01, 4.566E+01, 5.339E+01, 3.287E-01, 2.003E-01
 2.460E+03, 1.000E+01, 1.443E+01, 2.158E+01, 2.829E+01, 3.766E+01, 4.620E+01, 5.389E+01, 3.297E-01, 1.979E-01
 2.520E+03, 1.063E+01, 1.511E+01, 2.228E+01, 2.897E+01, 3.829E+01, 4.677E+01, 5.415E+01, 3.318E-01, 1.966E-01
 2.580E+03, 1.128E+01, 1.579E+01, 2.297E+01, 2.964E+01, 3.890E+01, 4.727E+01, 5.476E+01, 3.294E-01, 1.900E-01
 2.640E+03, 1.193E+01, 1.647E+01, 2.365E+01, 3.030E+01, 3.949E+01, 4.787E+01, 5.503E+01, 3.375E-01, 1.941E-01
 2.700E+03, 1.259E+01, 1.715E+01, 2.433E+01, 3.095E+01, 4.009E+01, 4.831E+01, 5.537E+01, 3.361E-01, 1.879E-01
 2.760E+03, 1.326E+01, 1.784E+01, 2.501E+01, 3.159E+01, 4.064E+01, 4.876E+01, 5.573E+01, 3.390E-01, 1.890E-01
 2.820E+03, 1.394E+01, 1.852E+01, 2.569E+01, 3.222E+01, 4.120E+01, 4.923E+01, 5.602E+01, 3.443E-01, 1.910E-01
 2.880E+03, 1.462E+01, 1.921E+01, 2.634E+01, 3.283E+01, 4.174E+01, 4.971E+01, 5.677E+01, 3.375E-01, 1.769E-01
 2.940E+03, 1.530E+01, 1.989E+01, 2.699E+01, 3.344E+01, 4.228E+01, 5.030E+01, 5.700E+01, 3.452E-01, 1.827E-01
 3.000E+03, 1.600E+01, 2.058E+01, 2.764E+01, 3.405E+01, 4.281E+01, 5.059E+01, 5.724E+01, 3.461E-01, 1.793E-01
 3.060E+03, 1.669E+01, 2.126E+01, 2.827E+01, 3.463E+01, 4.331E+01, 5.103E+01, 5.756E+01, 3.504E-01, 1.821E-01
 3.120E+03, 1.739E+01, 2.194E+01, 2.892E+01, 3.523E+01, 4.382E+01, 5.145E+01, 5.794E+01, 3.508E-01, 1.775E-01
 3.180E+03, 1.809E+01, 2.262E+01, 2.956E+01, 3.581E+01, 4.431E+01, 5.185E+01, 5.820E+01, 3.532E-01, 1.740E-01
 3.240E+03, 1.880E+01, 2.329E+01, 3.018E+01, 3.638E+01, 4.480E+01, 5.225E+01, 5.857E+01, 3.571E-01, 1.763E-01
 3.300E+03, 1.950E+01, 2.398E+01, 3.080E+01, 3.694E+01, 4.528E+01, 5.266E+01, 5.882E+01, 3.578E-01, 1.724E-01
 3.360E+03, 2.021E+01, 2.464E+01, 3.142E+01, 3.750E+01, 4.575E+01, 5.303E+01, 5.915E+01, 3.578E-01, 1.672E-01
 3.420E+03, 2.091E+01, 2.532E+01, 3.203E+01, 3.806E+01, 4.620E+01, 5.343E+01, 5.945E+01, 3.592E-01, 1.659E-01
 3.480E+03, 2.161E+01, 2.599E+01, 3.264E+01, 3.859E+01, 4.666E+01, 5.379E+01, 5.981E+01, 3.621E-01, 1.656E-01
 3.540E+03, 2.233E+01, 2.667E+01, 3.324E+01, 3.912E+01, 4.711E+01, 5.417E+01, 6.010E+01, 3.650E-01, 1.637E-01
 3.600E+03, 2.302E+01, 2.732E+01, 3.384E+01, 3.966E+01, 4.755E+01, 5.453E+01, 6.047E+01, 3.655E-01, 1.597E-01
 3.660E+03, 2.383E+01, 2.788E+01, 3.403E+01, 3.987E+01, 4.774E+01, 5.462E+01, 6.008E+01, 2.071E-01,-2.025E-01
 3.720E+03, 2.466E+01, 2.822E+01, 3.393E+01, 3.977E+01, 4.763E+01, 5.420E+01, 5.876E+01, 2.052E-01,-2.034E-01
 3.780E+03, 2.539E+01, 2.854E+01, 3.396E+01, 3.968E+01, 4.741E+01, 5.361E+01, 5.766E+01, 2.047E-01,-2.035E-01
 3.840E+03, 2.606E+01, 2.886E+01, 3.401E+01, 3.959E+01, 4.711E+01, 5.299E+01, 5.668E+01, 2.044E-01,-2.036E-01
 3.900E+03, 2.666E+01, 2.919E+01, 3.409E+01, 3.949E+01, 4.676E+01, 5.235E+01, 5.578E+01, 2.040E-01,-2.034E-01
 3.960E+03, 2.722E+01, 2.951E+01, 3.419E+01, 3.938E+01, 4.639E+01, 5.172E+01, 5.495E+01, 2.039E-01,-2.035E-01
 4.020E+03, 2.772E+01, 2.982E+01, 3.428E+01, 3.927E+01, 4.601E+01, 5.111E+01, 5.418E+01, 2.031E-01,-2.027E-01
 4.080E+03, 2.819E+01, 3.013E+01, 3.437E+01, 3.916E+01, 4.564E+01, 5.052E+01, 5.344E+01, 2.028E-01,-2.026E-01
 4.140E+03, 2.862E+01, 3.040E+01, 3.446E+01, 3.905E+01, 4.527E+01, 4.995E+01, 5.275E+01, 2.026E-01,-2.023E-01
 4.200E+03, 2.902E+01, 3.067E+01, 3.454E+01, 3.893E+01, 4.490E+01, 4.940E+01, 5.209E+01, 2.025E-01,-2.024E-01
 4.260E+03, 2.938E+01, 3.093E+01, 3.460E+01, 3.881E+01, 4.455E+01, 4.888E+01, 5.146E+01, 2.024E-01,-2.023E-01
 4.320E+03, 2.972E+01, 3.116E+01, 3.466E+01, 3.869E+01, 4.421E+01, 4.838E+01, 5.086E+01, 2.024E-01,-2.023E-01
 4.380E+03, 3.003E+01, 3.136E+01, 3.471E+01, 3.858E+01, 4.389E+01, 4.790E+01, 5.029E+01, 2.017E-01,-2.017E-01
 4.440E+03, 3.031E+01, 3.155E+01, 3.475E+01, 3.847E+01, 4.357E+01, 4.744E+01, 4.974E+01, 2.017E-01,-2.016E-01
 4.500E+03, 3.057E+01, 3.173E+01, 3.479E+01, 3.835E+01, 4.327E+01, 4.699E+01, 4.922E+01, 2.013E-01,-2.012E-01
