s,%,%,%,%,%,%,%,m/s,m/s,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","U TOPD_V","U BOTTOMD_V","B TOPD_V","B BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 5.973E-20, 4.709E-16, 2.836E-12, 1.349E-09, 2.457E-06, 1.561E-03, 1.895E-01, 7.174E-02, 6.737E-02, 4.930E-02, 5.387E-02
 1.199E+02, 5.352E-13, 3.635E-10, 1.393E-07, 8.089E-06, 1.007E-03, 5.979E-02, 1.012E+00, 1.034E-01, 8.508E-02, 2.608E-02, 3.396E-02
 1.799E+02, 1.061E-09, 1.668E-07, 1.647E-05, 3.686E-04, 1.381E-02, 2.512E-01, 1.854E+00, 1.347E-01, 1.118E-01,-1.116E-02, 1.315E-02
 2.399E+02, 1.021E-07, 6.587E-06, 2.767E-04, 3.313E-03, 5.659E-02, 5.412E-01, 2.630E+00, 1.623E-01, 1.373E-01,-3.029E-02,-2.084E-02
 2.999E+02, 2.238E-06, 7.522E-05, 1.687E-03, 1.308E-02, 1.354E-01, 8.761E-01, 3.342E+00, 1.845E-01, 1.577E-01,-4.924E-02,-4.443E-02
 3.599E+02, 1.968E-05, 4.009E-04, 5.755E-03, 3.326E-02, 2.459E-01, 1.234E+00, 3.994E+00, 2.032E-01, 1.751E-01,-6.657E-02,-6.313E-02
 4.199E+02, 9.669E-05, 1.362E-03, 1.418E-02, 6.588E-02, 3.824E-01, 1.599E+00, 4.592E+00, 2.197E-01, 1.904E-01,-8.212E-02,-7.937E-02
 4.799E+02, 3.275E-04, 3.491E-03, 2.824E-02, 1.111E-01, 5.384E-01, 1.964E+00, 5.144E+00, 2.345E-01, 2.043E-01,-9.627E-02,-9.394E-02
 5.399E+02, 8.706E-04, 7.391E-03, 4.860E-02, 1.683E-01, 7.096E-01, 2.325E+00, 5.660E+00, 2.480E-01, 2.170E-01,-1.092E-01,-1.072E-01
 5.999E+02, 1.946E-03, 1.354E-02, 7.549E-02, 2.364E-01, 8.915E-01, 2.679E+00, 6.135E+00, 2.604E-01, 2.288E-01,-1.213E-01,-1.194E-01
 6.599E+02, 3.781E-03, 2.228E-02, 1.089E-01, 3.139E-01, 1.081E+00, 3.021E+00, 6.581E+00, 2.719E-01, 2.398E-01,-1.324E-01,-1.308E-01
 7.199E+02, 6.588E-03, 3.395E-02, 1.489E-01, 4.007E-01, 1.276E+00, 3.353E+00, 7.001E+00, 2.827E-01, 2.501E-01,-1.429E-01,-1.414E-01
 7.799E+02, 1.059E-02, 4.875E-02, 1.952E-01, 4.955E-01, 1.475E+00, 3.672E+00, 7.399E+00, 2.929E-01, 2.598E-01,-1.528E-01,-1.514E-01
