s,%,%,%,%,%,%,%,m/s,m/s,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","U TOPD_V","U BOTTOMD_V","B TOPD_V","B BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 1.473E-13, 5.659E-10, 7.299E-07, 8.925E-05, 6.750E-02, 8.093E-01, 1.444E+00, 2.860E-01, 2.797E-01, 2.469E-01, 2.481E-01
 1.199E+02, 1.224E-07, 7.690E-05, 1.683E-02, 2.258E-01, 1.169E+00, 3.124E+00, 3.639E+00, 3.319E-01, 3.201E-01, 2.079E-01, 2.091E-01
 1.799E+02, 4.296E-05, 4.110E-03, 2.374E-01, 1.228E+00, 2.944E+00, 4.669E+00, 5.056E+00, 3.752E-01, 3.615E-01, 1.654E-01, 1.668E-01
 2.399E+02, 2.071E-03, 9.500E-02, 1.058E+00, 2.596E+00, 4.428E+00, 5.886E+00, 6.203E+00, 4.200E-01, 4.044E-01, 1.213E-01, 1.232E-01
 2.999E+02, 1.755E-02, 4.093E-01, 2.095E+00, 3.908E+00, 5.641E+00, 6.971E+00, 7.327E+00, 4.639E-01, 4.476E-01, 7.730E-02, 8.009E-02
 3.599E+02, 7.482E-02, 9.051E-01, 3.151E+00, 5.084E+00, 6.693E+00, 8.055E+00, 8.394E+00, 5.080E-01, 4.907E-01, 3.199E-02, 3.826E-02
 4.199E+02, 2.054E-01, 1.490E+00, 4.153E+00, 6.134E+00, 7.764E+00, 9.080E+00, 9.383E+00, 5.531E-01, 5.348E-01,-1.661E-02,-2.391E-03
 4.799E+02, 3.968E-01, 2.102E+00, 5.112E+00, 7.159E+00, 8.766E+00, 1.004E+01, 1.039E+01, 5.931E-01, 5.737E-01,-4.952E-02,-4.840E-02
 5.399E+02, 6.535E-01, 2.729E+00, 6.026E+00, 8.124E+00, 9.749E+00, 1.100E+01, 1.134E+01, 6.286E-01, 6.080E-01,-8.339E-02,-8.434E-02
 5.999E+02, 9.480E-01, 3.347E+00, 6.916E+00, 9.062E+00, 1.070E+01, 1.190E+01, 1.221E+01, 6.598E-01, 6.388E-01,-1.138E-01,-1.159E-01
 6.599E+02, 1.284E+00, 3.965E+00, 7.799E+00, 9.989E+00, 1.160E+01, 1.276E+01, 1.306E+01, 6.889E-01, 6.673E-01,-1.422E-01,-1.451E-01
 7.199E+02, 1.637E+00, 4.583E+00, 8.651E+00, 1.087E+01, 1.247E+01, 1.359E+01, 1.389E+01, 7.159E-01, 6.927E-01,-1.680E-01,-1.717E-01
 7.799E+02, 2.020E+00, 5.210E+00, 9.452E+00, 1.173E+01, 1.329E+01, 1.441E+01, 1.470E+01, 7.403E-01, 7.171E-01,-1.922E-01,-1.964E-01
