s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 1.398E-13, 5.094E-10, 6.143E-07, 7.365E-05, 6.272E-02, 8.118E-01, 1.470E+00, 4.260E-01, 4.251E-01
 1.199E+02, 1.686E-07, 9.129E-05, 1.663E-02, 2.447E-01, 1.194E+00, 3.186E+00, 3.682E+00, 4.299E-01, 4.278E-01
 1.799E+02, 5.144E-05, 5.103E-03, 2.449E-01, 1.254E+00, 3.023E+00, 4.729E+00, 5.130E+00, 4.315E-01, 4.263E-01
 2.399E+02, 2.246E-03, 9.595E-02, 1.061E+00, 2.705E+00, 4.556E+00, 5.988E+00, 6.287E+00, 4.332E-01, 4.245E-01
 2.999E+02, 1.756E-02, 4.053E-01, 2.166E+00, 4.070E+00, 5.774E+00, 7.086E+00, 7.435E+00, 4.347E-01, 4.230E-01
 3.599E+02, 7.329E-02, 9.186E-01, 3.269E+00, 5.287E+00, 6.879E+00, 8.181E+00, 8.551E+00, 4.363E-01, 4.214E-01
 4.199E+02, 2.008E-01, 1.538E+00, 4.306E+00, 6.367E+00, 7.964E+00, 9.250E+00, 9.603E+00, 4.375E-01, 4.202E-01
 4.799E+02, 4.120E-01, 2.182E+00, 5.312E+00, 7.426E+00, 9.013E+00, 1.028E+01, 1.059E+01, 4.388E-01, 4.189E-01
 5.399E+02, 6.863E-01, 2.849E+00, 6.292E+00, 8.446E+00, 1.005E+01, 1.124E+01, 1.156E+01, 4.399E-01, 4.178E-01
 5.999E+02, 1.016E+00, 3.531E+00, 7.254E+00, 9.453E+00, 1.102E+01, 1.218E+01, 1.251E+01, 4.414E-01, 4.163E-01
 6.599E+02, 1.389E+00, 4.227E+00, 8.187E+00, 1.042E+01, 1.197E+01, 1.309E+01, 1.341E+01, 4.427E-01, 4.150E-01
 7.199E+02, 1.812E+00, 4.931E+00, 9.105E+00, 1.136E+01, 1.286E+01, 1.397E+01, 1.428E+01, 4.437E-01, 4.140E-01
 7.799E+02, 2.272E+00, 5.642E+00, 9.997E+00, 1.227E+01, 1.376E+01, 1.482E+01, 1.517E+01, 4.451E-01, 4.126E-01
 8.399E+02, 2.771E+00, 6.350E+00, 1.088E+01, 1.314E+01, 1.463E+01, 1.568E+01, 1.598E+01, 4.462E-01, 4.115E-01
 8.999E+02, 3.308E+00, 7.077E+00, 1.172E+01, 1.401E+01, 1.547E+01, 1.651E+01, 1.678E+01, 4.476E-01, 4.101E-01
