s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.994E+01, 2.695E-18, 2.517E-14, 1.439E-10, 4.823E-08, 5.100E-05, 2.010E-02, 1.200E+00, 4.260E-01, 4.252E-01
 1.199E+02, 9.085E-12, 5.333E-09, 1.841E-06, 9.530E-05, 9.591E-03, 4.199E-01, 5.019E+00, 4.292E-01, 4.285E-01
 1.799E+02, 1.194E-08, 1.793E-06, 1.676E-04, 3.415E-03, 1.045E-01, 1.627E+00, 8.690E+00, 4.293E-01, 4.283E-01
 2.399E+02, 9.515E-07, 5.890E-05, 2.381E-03, 2.713E-02, 4.137E-01, 3.320E+00, 1.195E+01, 4.294E-01, 4.283E-01
 2.999E+02, 1.831E-05, 6.064E-04, 1.379E-02, 1.063E-01, 9.870E-01, 5.225E+00, 1.485E+01, 4.296E-01, 4.281E-01
 3.599E+02, 1.676E-04, 3.463E-03, 4.804E-02, 2.718E-01, 1.797E+00, 7.204E+00, 1.745E+01, 4.299E-01, 4.278E-01
 4.199E+02, 8.834E-04, 1.190E-02, 1.178E-01, 5.400E-01, 2.785E+00, 9.201E+00, 1.984E+01, 4.305E-01, 4.272E-01
 4.799E+02, 2.955E-03, 3.007E-02, 2.355E-01, 9.184E-01, 3.912E+00, 1.114E+01, 2.205E+01, 4.312E-01, 4.265E-01
 5.399E+02, 7.696E-03, 6.329E-02, 4.100E-01, 1.404E+00, 5.136E+00, 1.302E+01, 2.407E+01, 4.320E-01, 4.256E-01
 5.999E+02, 1.716E-02, 1.170E-01, 6.467E-01, 1.992E+00, 6.421E+00, 1.485E+01, 2.595E+01, 4.330E-01, 4.246E-01
 6.599E+02, 3.364E-02, 1.951E-01, 9.457E-01, 2.661E+00, 7.746E+00, 1.660E+01, 2.769E+01, 4.342E-01, 4.234E-01
 7.199E+02, 5.957E-02, 3.016E-01, 1.306E+00, 3.403E+00, 9.093E+00, 1.829E+01, 2.934E+01, 4.354E-01, 4.222E-01
 7.799E+02, 9.761E-02, 4.399E-01, 1.726E+00, 4.203E+00, 1.044E+01, 1.991E+01, 3.086E+01, 4.366E-01, 4.211E-01
 8.399E+02, 1.501E-01, 6.103E-01, 2.197E+00, 5.049E+00, 1.180E+01, 2.145E+01, 3.230E+01, 4.378E-01, 4.199E-01
 8.999E+02, 2.195E-01, 8.153E-01, 2.722E+00, 5.935E+00, 1.313E+01, 2.293E+01, 3.364E+01, 4.390E-01, 4.187E-01
