s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.992E+01, 7.524E-17, 1.566E-12, 1.341E-08, 9.867E-06, 1.618E-02, 8.087E-02, 3.282E-01, 6.354E-02, 5.687E-02
 1.199E+02, 3.120E-10, 1.220E-07, 3.075E-05, 2.698E-03, 7.237E-02, 6.624E-01, 1.048E+00, 6.492E-02, 5.859E-02
 1.799E+02, 6.305E-07, 1.228E-04, 9.676E-03, 8.460E-02, 4.112E-01, 1.197E+00, 1.498E+00, 6.553E-02, 5.796E-02
 2.399E+02, 4.077E-05, 1.821E-03, 4.918E-02, 2.807E-01, 8.278E-01, 1.599E+00, 1.858E+00, 6.708E-02, 5.640E-02
 2.999E+02, 5.669E-04, 1.557E-02, 1.759E-01, 5.567E-01, 1.207E+00, 1.951E+00, 2.172E+00, 6.911E-02, 5.437E-02
 3.599E+02, 4.247E-03, 6.011E-02, 3.600E-01, 8.675E-01, 1.562E+00, 2.240E+00, 2.462E+00, 7.137E-02, 5.211E-02
 4.199E+02, 1.405E-02, 1.309E-01, 5.896E-01, 1.170E+00, 1.879E+00, 2.530E+00, 2.725E+00, 7.351E-02, 4.997E-02
 4.799E+02, 3.272E-02, 2.332E-01, 8.337E-01, 1.478E+00, 2.175E+00, 2.794E+00, 2.975E+00, 7.567E-02, 4.781E-02
 5.399E+02, 6.468E-02, 3.581E-01, 1.079E+00, 1.763E+00, 2.459E+00, 3.040E+00, 3.222E+00, 7.767E-02, 4.581E-02
 5.999E+02, 1.100E-01, 5.005E-01, 1.333E+00, 2.047E+00, 2.717E+00, 3.302E+00, 3.456E+00, 7.965E-02, 4.383E-02
 6.599E+02, 1.697E-01, 6.563E-01, 1.574E+00, 2.309E+00, 2.973E+00, 3.536E+00, 3.710E+00, 8.149E-02, 4.198E-02
 7.199E+02, 2.435E-01, 8.143E-01, 1.811E+00, 2.562E+00, 3.212E+00, 3.786E+00, 3.956E+00, 8.332E-02, 4.015E-02
 7.799E+02, 3.265E-01, 9.800E-01, 2.042E+00, 2.808E+00, 3.461E+00, 4.009E+00, 4.193E+00, 8.500E-02, 3.847E-02
 8.399E+02, 4.234E-01, 1.146E+00, 2.274E+00, 3.043E+00, 3.703E+00, 4.247E+00, 4.418E+00, 8.678E-02, 3.669E-02
 8.999E+02, 5.270E-01, 1.318E+00, 2.499E+00, 3.289E+00, 3.941E+00, 4.473E+00, 4.641E+00, 8.849E-02, 3.499E-02
