s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.994E+01, 4.535E-16, 3.041E-12, 1.235E-08, 3.279E-06, 3.475E-03, 1.114E-01, 2.616E-01, 9.968E-02, 9.476E-02
 1.199E+02, 1.378E-09, 8.477E-07, 2.321E-04, 7.258E-03, 1.260E-01, 5.860E-01, 9.396E-01, 1.019E-01, 9.753E-02
 1.799E+02, 1.630E-06, 1.759E-04, 9.429E-03, 8.398E-02, 4.729E-01, 1.098E+00, 1.395E+00, 1.024E-01, 9.707E-02
 2.399E+02, 8.799E-05, 3.768E-03, 6.851E-02, 2.884E-01, 8.753E-01, 1.513E+00, 1.752E+00, 1.035E-01, 9.597E-02
 2.999E+02, 1.142E-03, 2.311E-02, 2.039E-01, 5.754E-01, 1.258E+00, 1.854E+00, 2.063E+00, 1.049E-01, 9.454E-02
 3.599E+02, 5.728E-03, 6.946E-02, 4.008E-01, 8.866E-01, 1.601E+00, 2.156E+00, 2.348E+00, 1.064E-01, 9.302E-02
 4.199E+02, 1.753E-02, 1.479E-01, 6.321E-01, 1.196E+00, 1.911E+00, 2.434E+00, 2.621E+00, 1.079E-01, 9.155E-02
 4.799E+02, 4.033E-02, 2.537E-01, 8.772E-01, 1.492E+00, 2.197E+00, 2.697E+00, 2.891E+00, 1.093E-01, 9.014E-02
 5.399E+02, 7.587E-02, 3.805E-01, 1.126E+00, 1.773E+00, 2.466E+00, 2.955E+00, 3.154E+00, 1.106E-01, 8.881E-02
 5.999E+02, 1.250E-01, 5.269E-01, 1.378E+00, 2.045E+00, 2.727E+00, 3.209E+00, 3.398E+00, 1.119E-01, 8.751E-02
 6.599E+02, 1.876E-01, 6.848E-01, 1.627E+00, 2.314E+00, 2.989E+00, 3.441E+00, 3.619E+00, 1.132E-01, 8.623E-02
 7.199E+02, 2.624E-01, 8.480E-01, 1.874E+00, 2.584E+00, 3.236E+00, 3.666E+00, 3.840E+00, 1.145E-01, 8.493E-02
 7.799E+02, 3.490E-01, 1.020E+00, 2.124E+00, 2.847E+00, 3.474E+00, 3.885E+00, 4.062E+00, 1.157E-01, 8.367E-02
 8.399E+02, 4.459E-01, 1.196E+00, 2.376E+00, 3.102E+00, 3.701E+00, 4.104E+00, 4.281E+00, 1.170E-01, 8.246E-02
 8.999E+02, 5.551E-01, 1.380E+00, 2.627E+00, 3.344E+00, 3.923E+00, 4.326E+00, 4.496E+00, 1.181E-01, 8.130E-02
