s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
-1.000E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 5.991E+01, 8.565E-14, 7.798E-10, 3.189E-06, 5.978E-04, 9.765E-02, 6.787E-01, 1.305E+00, 4.263E-01, 4.247E-01
 1.199E+02, 2.029E-07, 6.844E-05, 1.029E-02, 1.730E-01, 1.242E+00, 2.827E+00, 3.627E+00, 4.297E-01, 4.281E-01
 1.799E+02, 9.657E-05, 8.222E-03, 2.476E-01, 1.131E+00, 3.041E+00, 4.522E+00, 5.112E+00, 4.313E-01, 4.264E-01
 2.399E+02, 2.969E-03, 9.447E-02, 1.004E+00, 2.534E+00, 4.578E+00, 5.847E+00, 6.332E+00, 4.332E-01, 4.245E-01
 2.999E+02, 2.272E-02, 3.724E-01, 2.059E+00, 3.913E+00, 5.858E+00, 7.006E+00, 7.450E+00, 4.347E-01, 4.230E-01
 3.599E+02, 8.602E-02, 8.382E-01, 3.175E+00, 5.170E+00, 7.002E+00, 8.086E+00, 8.522E+00, 4.360E-01, 4.217E-01
 4.199E+02, 2.149E-01, 1.415E+00, 4.265E+00, 6.326E+00, 8.075E+00, 9.123E+00, 9.545E+00, 4.373E-01, 4.204E-01
 4.799E+02, 4.136E-01, 2.052E+00, 5.312E+00, 7.404E+00, 9.107E+00, 1.013E+01, 1.057E+01, 4.388E-01, 4.189E-01
 5.399E+02, 6.775E-01, 2.723E+00, 6.324E+00, 8.441E+00, 1.009E+01, 1.111E+01, 1.155E+01, 4.399E-01, 4.178E-01
 5.999E+02, 9.983E-01, 3.424E+00, 7.311E+00, 9.431E+00, 1.104E+01, 1.206E+01, 1.250E+01, 4.412E-01, 4.165E-01
 6.599E+02, 1.371E+00, 4.142E+00, 8.280E+00, 1.039E+01, 1.196E+01, 1.294E+01, 1.341E+01, 4.424E-01, 4.152E-01
 7.199E+02, 1.790E+00, 4.881E+00, 9.255E+00, 1.135E+01, 1.283E+01, 1.381E+01, 1.427E+01, 4.438E-01, 4.139E-01
 7.799E+02, 2.255E+00, 5.677E+00, 1.024E+01, 1.230E+01, 1.369E+01, 1.463E+01, 1.503E+01, 4.448E-01, 4.129E-01
 8.399E+02, 2.773E+00, 6.559E+00, 1.126E+01, 1.323E+01, 1.451E+01, 1.537E+01, 1.571E+01, 4.460E-01, 4.117E-01
 8.999E+02, 3.351E+00, 7.499E+00, 1.227E+01, 1.407E+01, 1.530E+01, 1.607E+01, 1.634E+01, 4.472E-01, 4.105E-01
