s,C
Time,"temp"
 0.0000000E+000, 2.0000000E+001
 1.0100000E+001, 1.1161165E+002
 2.0000000E+001, 2.8956692E+002
 3.0000000E+001, 4.2849720E+002
 4.0000000E+001, 5.3077783E+002
 5.0000000E+001, 6.0015571E+002
 6.0000000E+001, 6.4661007E+002
 7.0000000E+001, 6.7771335E+002
 8.0100000E+001, 6.9797899E+002
 9.0100000E+001, 7.1090060E+002
 1.0010000E+002, 7.1929511E+002
 1.1010000E+002, 7.2548035E+002
 1.2010000E+002, 7.2963759E+002
 1.3010000E+002, 7.3290594E+002
 1.4010000E+002, 7.3561660E+002
 1.5010000E+002, 7.3756734E+002
 1.6010000E+002, 7.3947177E+002
 1.7010000E+002, 7.4103783E+002
 1.8010000E+002, 7.4197675E+002
 1.9010000E+002, 7.4278703E+002
 2.0010000E+002, 7.4364536E+002
 2.1010000E+002, 7.4402417E+002
 2.2010000E+002, 7.4426038E+002
 2.3010000E+002, 7.4458691E+002
 2.4010000E+002, 7.4472808E+002
 2.5010000E+002, 7.4480248E+002
 2.6010000E+002, 7.4517038E+002
 2.7010000E+002, 7.4552490E+002
 2.8010000E+002, 7.4572442E+002
 2.9010000E+002, 7.4577695E+002
 3.0010000E+002, 7.4592923E+002
 3.1000000E+002, 7.4601706E+002
 3.2000000E+002, 7.4628815E+002
 3.3000000E+002, 7.4659383E+002
 3.4000000E+002, 7.4669422E+002
 3.5000000E+002, 7.4697062E+002
 3.6000000E+002, 7.4741232E+002
 3.7000000E+002, 7.4755443E+002
 3.8000000E+002, 7.4752168E+002
 3.9000000E+002, 7.4779608E+002
 4.0000000E+002, 7.4799041E+002
 4.1000000E+002, 7.4821417E+002
 4.2000000E+002, 7.4845358E+002
 4.3000000E+002, 7.4849277E+002
 4.4000000E+002, 7.4877394E+002
 4.5000000E+002, 7.4907963E+002
 4.6000000E+002, 7.4921727E+002
 4.7000000E+002, 7.4920529E+002
 4.8000000E+002, 7.4916974E+002
 4.9000000E+002, 7.4946457E+002
 5.0000000E+002, 7.4955845E+002
 5.1000000E+002, 7.4971510E+002
 5.2000000E+002, 7.4967321E+002
 5.3000000E+002, 7.4956890E+002
 5.4000000E+002, 7.4965629E+002
 5.5000000E+002, 7.4979490E+002
 5.6000000E+002, 7.4995713E+002
 5.7000000E+002, 7.5000718E+002
 5.8000000E+002, 7.4989287E+002
 5.9000000E+002, 7.4993489E+002
 6.0000000E+002, 7.4990130E+002
 6.1000000E+002, 7.4996632E+002
 6.2000000E+002, 7.4992741E+002
 6.3000000E+002, 7.5012484E+002
 6.4000000E+002, 7.5036805E+002
 6.5000000E+002, 7.5058521E+002
 6.6000000E+002, 7.5050474E+002
 6.7000000E+002, 7.5036313E+002
 6.8000000E+002, 7.5018400E+002
 6.9000000E+002, 7.5029070E+002
 7.0000000E+002, 7.5035275E+002
 7.1000000E+002, 7.5028008E+002
 7.2000000E+002, 7.5018131E+002
 7.3000000E+002, 7.5026472E+002
 7.4000000E+002, 7.5026622E+002
 7.5000000E+002, 7.5020651E+002
 7.6000000E+002, 7.5027293E+002
 7.7000000E+002, 7.5052862E+002
 7.8000000E+002, 7.5066631E+002
 7.9000000E+002, 7.5061401E+002
 8.0000000E+002, 7.5068703E+002
 8.1000000E+002, 7.5049341E+002
 8.2000000E+002, 7.5029063E+002
 8.3000000E+002, 7.5043472E+002
 8.4000000E+002, 7.5038378E+002
 8.5000000E+002, 7.5043238E+002
 8.6000000E+002, 7.5035333E+002
 8.7000000E+002, 7.5033105E+002
 8.8000000E+002, 7.5073434E+002
 8.9000000E+002, 7.5070118E+002
 9.0000000E+002, 7.5049373E+002
 9.1000000E+002, 7.5053437E+002
 9.2000000E+002, 7.5063107E+002
 9.3000000E+002, 7.5048327E+002
 9.4000000E+002, 7.5029870E+002
 9.5000000E+002, 7.5038077E+002
 9.6000000E+002, 7.5051712E+002
 9.7000000E+002, 7.5057029E+002
 9.8000000E+002, 7.5043493E+002
 9.9000000E+002, 7.5040692E+002
 1.0000000E+003, 7.5022572E+002
 1.0100000E+003, 7.5017219E+002
 1.0200000E+003, 7.5023892E+002
 1.0300000E+003, 7.5050199E+002
 1.0400000E+003, 7.5058430E+002
 1.0500000E+003, 7.5076184E+002
 1.0600000E+003, 7.5051384E+002
 1.0700000E+003, 7.5026509E+002
 1.0800000E+003, 7.5034091E+002
 1.0900000E+003, 7.5041901E+002
 1.1000000E+003, 7.5027579E+002
 1.1100000E+003, 7.5028585E+002
 1.1200000E+003, 7.5030497E+002
 1.1300000E+003, 7.5037781E+002
 1.1400000E+003, 7.5024859E+002
 1.1500000E+003, 7.5034271E+002
 1.1600000E+003, 7.4196880E+002
 1.1700000E+003, 6.5174028E+002
 1.1800000E+003, 5.6477626E+002
 1.1900000E+003, 5.0202650E+002
 1.2000000E+003, 4.5401737E+002
 1.2101000E+003, 4.1600424E+002
 1.2201000E+003, 3.8478747E+002
 1.2301000E+003, 3.5883224E+002
 1.2401000E+003, 3.3669578E+002
 1.2501000E+003, 3.1733539E+002
 1.2601000E+003, 3.0026934E+002
 1.2701000E+003, 2.8499525E+002
 1.2801000E+003, 2.7120878E+002
 1.2901000E+003, 2.5883704E+002
 1.3001000E+003, 2.4757266E+002
 1.3101000E+003, 2.3731592E+002
 1.3201000E+003, 2.2786196E+002
 1.3301000E+003, 2.1921107E+002
 1.3401000E+003, 2.1125496E+002
 1.3501000E+003, 2.0398792E+002
 1.3601000E+003, 1.9709820E+002
 1.3701000E+003, 1.9072558E+002
 1.3801000E+003, 1.8477086E+002
 1.3901000E+003, 1.7917114E+002
 1.4001000E+003, 1.7387872E+002
 1.4101000E+003, 1.6885039E+002
 1.4201000E+003, 1.6415550E+002
 1.4301000E+003, 1.5967742E+002
 1.4401000E+003, 1.5540394E+002
 1.4501000E+003, 1.5135819E+002
 1.4601000E+003, 1.4755101E+002
 1.4701000E+003, 1.4387537E+002
 1.4801000E+003, 1.4042250E+002
 1.4901000E+003, 1.3710612E+002
 1.5001000E+003, 1.3392597E+002
 1.5101000E+003, 1.3085550E+002
 1.5201000E+003, 1.2791016E+002
 1.5301000E+003, 1.2509995E+002
 1.5401000E+003, 1.2242450E+002
 1.5501000E+003, 1.1988208E+002
 1.5601000E+003, 1.1739099E+002
