s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"PT-1","PT-2","PT-3","PT-4","PT-5","AST-1","AST-2","AST-3","AST-4","AST-5","Gas-1","Gas-2","Gas-3","Gas-4","Gas-5","Steel-1","Steel-2","Steel-3","Steel-4","Steel-5"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 3.001E+01, 2.797E+01, 2.117E+01, 2.030E+01, 2.010E+01, 2.003E+01, 1.613E+02, 6.850E+01, 3.644E+01, 2.505E+01, 2.153E+01, 1.037E+02, 3.638E+01, 2.225E+01, 2.063E+01, 2.020E+01, 2.083E+01, 2.010E+01, 2.002E+01, 2.001E+01, 2.000E+01
 6.005E+01, 1.879E+02, 9.802E+01, 5.096E+01, 3.437E+01, 2.733E+01, 5.565E+02, 3.779E+02, 2.526E+02, 1.740E+02, 1.143E+02, 5.607E+02, 4.116E+02, 2.670E+02, 1.805E+02, 1.199E+02, 4.449E+01, 2.859E+01, 2.334E+01, 2.162E+01, 2.087E+01
 9.003E+01, 4.669E+02, 3.236E+02, 1.957E+02, 1.261E+02, 7.346E+01, 7.127E+02, 6.068E+02, 4.579E+02, 3.472E+02, 2.356E+02, 7.161E+02, 6.194E+02, 4.951E+02, 3.888E+02, 2.725E+02, 9.297E+01, 6.039E+01, 4.156E+01, 3.237E+01, 2.721E+01
 1.200E+02, 6.309E+02, 5.248E+02, 4.150E+02, 3.188E+02, 1.822E+02, 7.285E+02, 6.871E+02, 6.461E+02, 5.465E+02, 3.933E+02, 7.253E+02, 7.168E+02, 6.508E+02, 5.550E+02, 4.058E+02, 1.344E+02, 9.474E+01, 6.816E+01, 4.875E+01, 3.513E+01
 1.500E+02, 6.936E+02, 6.963E+02, 6.471E+02, 4.935E+02, 3.143E+02, 7.722E+02, 7.893E+02, 7.593E+02, 5.897E+02, 4.822E+02, 7.371E+02, 7.579E+02, 7.836E+02, 5.900E+02, 4.982E+02, 1.805E+02, 1.396E+02, 1.060E+02, 7.466E+01, 5.099E+01
 1.800E+02, 7.406E+02, 7.021E+02, 6.717E+02, 5.409E+02, 4.009E+02, 7.729E+02, 6.803E+02, 6.068E+02, 5.226E+02, 4.115E+02, 8.051E+02, 6.983E+02, 6.138E+02, 4.998E+02, 4.095E+02, 2.326E+02, 1.993E+02, 1.636E+02, 1.178E+02, 7.729E+01
 2.100E+02, 7.658E+02, 7.711E+02, 7.242E+02, 5.872E+02, 4.250E+02, 7.985E+02, 8.270E+02, 7.748E+02, 5.849E+02, 3.959E+02, 8.065E+02, 8.540E+02, 7.856E+02, 5.886E+02, 3.833E+02, 2.846E+02, 2.550E+02, 2.117E+02, 1.531E+02, 9.989E+01
 2.400E+02, 7.564E+02, 7.885E+02, 7.355E+02, 6.105E+02, 4.315E+02, 7.568E+02, 8.094E+02, 7.495E+02, 6.499E+02, 4.847E+02, 7.217E+02, 8.038E+02, 7.219E+02, 6.162E+02, 4.617E+02, 3.309E+02, 3.093E+02, 2.581E+02, 1.888E+02, 1.222E+02
