s,C
Time,"temp"
 0.0000000E+000, 2.0000000E+001
 1.0100000E+001, 4.9996199E+001
 2.0000000E+001, 1.1044573E+002
 3.0000000E+001, 1.6349991E+002
 4.0000000E+001, 2.1056428E+002
 5.0000000E+001, 2.5188227E+002
 6.0000000E+001, 2.8764892E+002
 7.0000000E+001, 3.1814484E+002
 8.0100000E+001, 3.4403712E+002
 9.0100000E+001, 3.6554011E+002
 1.0010000E+002, 3.8347558E+002
 1.1010000E+002, 3.9816831E+002
 1.2010000E+002, 4.1024036E+002
 1.3010000E+002, 4.2035486E+002
 1.4010000E+002, 4.2866686E+002
 1.5010000E+002, 4.3562079E+002
 1.6010000E+002, 4.4148238E+002
 1.7010000E+002, 4.4625943E+002
 1.8010000E+002, 4.5028257E+002
 1.9010000E+002, 4.5367767E+002
 2.0010000E+002, 4.5640896E+002
 2.1010000E+002, 4.5864646E+002
 2.2010000E+002, 4.6055812E+002
 2.3010000E+002, 4.6212729E+002
 2.4010000E+002, 4.6349585E+002
 2.5010000E+002, 4.6473378E+002
 2.6010000E+002, 4.6580096E+002
 2.7010000E+002, 4.6673020E+002
 2.8010000E+002, 4.6758437E+002
 2.9010000E+002, 4.6854086E+002
 3.0010000E+002, 4.6941903E+002
 3.1000000E+002, 4.7018406E+002
 3.2000000E+002, 4.7084530E+002
 3.3000000E+002, 4.7130491E+002
 3.4000000E+002, 4.7176995E+002
 3.5000000E+002, 4.7215576E+002
 3.6000000E+002, 4.7248857E+002
 3.7000000E+002, 4.7278730E+002
 3.8000000E+002, 4.7308247E+002
 3.9000000E+002, 4.7351524E+002
 4.0000000E+002, 4.7379339E+002
 4.1000000E+002, 4.7406885E+002
 4.2000000E+002, 4.7444330E+002
 4.3000000E+002, 4.7490855E+002
 4.4000000E+002, 4.7525809E+002
 4.5000000E+002, 4.7545874E+002
 4.6000000E+002, 4.7559819E+002
 4.7000000E+002, 4.7588489E+002
 4.8000000E+002, 4.7619660E+002
 4.9000000E+002, 4.7638976E+002
 5.0000000E+002, 4.7639339E+002
 5.1000000E+002, 4.7650436E+002
 5.2000000E+002, 4.7670331E+002
 5.3000000E+002, 4.7677048E+002
 5.4000000E+002, 4.7700357E+002
 5.5000000E+002, 4.7708001E+002
 5.6000000E+002, 4.7738645E+002
 5.7000000E+002, 4.7768172E+002
 5.8000000E+002, 4.7782778E+002
 5.9000000E+002, 4.7807839E+002
 6.0000000E+002, 4.7808861E+002
 6.1000000E+002, 4.7823862E+002
 6.2000000E+002, 4.7832807E+002
 6.3000000E+002, 4.7823003E+002
 6.4000000E+002, 4.7810512E+002
 6.5000000E+002, 4.7817042E+002
 6.6000000E+002, 4.7818636E+002
 6.7000000E+002, 4.7836201E+002
 6.8000000E+002, 4.7853636E+002
 6.9000000E+002, 4.7870403E+002
 7.0000000E+002, 4.7878953E+002
 7.1000000E+002, 4.7866139E+002
 7.2000000E+002, 4.7874376E+002
 7.3000000E+002, 4.7893847E+002
 7.4000000E+002, 4.7902013E+002
 7.5000000E+002, 4.7911867E+002
 7.6000000E+002, 4.7912560E+002
 7.7000000E+002, 4.7906067E+002
 7.8000000E+002, 4.7901021E+002
 7.9000000E+002, 4.7888418E+002
 8.0000000E+002, 4.7898302E+002
 8.1000000E+002, 4.7903070E+002
 8.2000000E+002, 4.7907844E+002
 8.3000000E+002, 4.7909184E+002
 8.4000000E+002, 4.7906750E+002
 8.5000000E+002, 4.7902350E+002
 8.6000000E+002, 4.7918476E+002
 8.7000000E+002, 4.7921403E+002
 8.8000000E+002, 4.7915183E+002
 8.9000000E+002, 4.7908697E+002
 9.0000000E+002, 4.7917750E+002
 9.1000000E+002, 4.7924928E+002
 9.2000000E+002, 4.7925250E+002
 9.3000000E+002, 4.7932101E+002
 9.4000000E+002, 4.7926441E+002
 9.5000000E+002, 4.7927487E+002
 9.6000000E+002, 4.7943006E+002
 9.7000000E+002, 4.7949972E+002
 9.8000000E+002, 4.7947288E+002
 9.9000000E+002, 4.7950283E+002
 1.0000000E+003, 4.7954511E+002
 1.0100000E+003, 4.7960974E+002
 1.0200000E+003, 4.7958453E+002
 1.0300000E+003, 4.7955212E+002
 1.0400000E+003, 4.7953783E+002
 1.0500000E+003, 4.7959492E+002
 1.0600000E+003, 4.7962146E+002
 1.0700000E+003, 4.7965824E+002
 1.0800000E+003, 4.7969074E+002
 1.0900000E+003, 4.7989539E+002
 1.1000000E+003, 4.7973345E+002
 1.1100000E+003, 4.7969798E+002
 1.1200000E+003, 4.7974890E+002
 1.1300000E+003, 4.7982363E+002
 1.1400000E+003, 4.7989179E+002
 1.1500000E+003, 4.7992896E+002
 1.1600000E+003, 4.7970178E+002
 1.1700000E+003, 4.7978672E+002
 1.1800000E+003, 4.7981339E+002
 1.1900000E+003, 4.7979028E+002
 1.2000000E+003, 4.7981331E+002
 1.2101000E+003, 4.7979329E+002
 1.2201000E+003, 4.7987539E+002
 1.2301000E+003, 4.7982834E+002
 1.2401000E+003, 4.7974418E+002
 1.2501000E+003, 4.7978425E+002
 1.2601000E+003, 4.7991570E+002
 1.2701000E+003, 4.7998780E+002
 1.2801000E+003, 4.7993143E+002
 1.2901000E+003, 4.8010715E+002
 1.3001000E+003, 4.8022084E+002
 1.3101000E+003, 4.6484443E+002
 1.3201000E+003, 4.2121783E+002
 1.3301000E+003, 3.8550055E+002
 1.3401000E+003, 3.5627233E+002
 1.3501000E+003, 3.3177041E+002
 1.3601000E+003, 3.1078869E+002
 1.3701000E+003, 2.9250625E+002
 1.3801000E+003, 2.7645060E+002
 1.3901000E+003, 2.6220161E+002
 1.4001000E+003, 2.4930549E+002
 1.4101000E+003, 2.3759210E+002
 1.4201000E+003, 2.2703202E+002
 1.4301000E+003, 2.1749367E+002
 1.4401000E+003, 2.0870464E+002
 1.4501000E+003, 2.0064749E+002
 1.4601000E+003, 1.9323722E+002
 1.4701000E+003, 1.8640875E+002
 1.4801000E+003, 1.8005675E+002
 1.4901000E+003, 1.7407715E+002
 1.5001000E+003, 1.6851135E+002
 1.5101000E+003, 1.6333422E+002
 1.5201000E+003, 1.5843712E+002
 1.5301000E+003, 1.5385086E+002
 1.5401000E+003, 1.4950358E+002
 1.5501000E+003, 1.4543047E+002
 1.5601000E+003, 1.4155147E+002
