s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
Time,"PT-RW-Ba-U","PT-RW-Ba-L","PT-RW-Fr-U","PT-RW-Fr-L","PT-RW-Ce","TC-RW-Ba-U","TC-RW-Ba-L","TC-RW-Fr-U","TC-RW-Fr-L","TC-RW-Ce","PT-LW-Ba-U","PT-LW-Fr-U","PT-C-Ba-L","PT-C-Ba-R","PT-C-Fr-L","PT-C-Fr-R","PT-C-Ce","PT-F-Ba-R","PT-F-Fr-R","PT-BW-U","PT-BW-M","PT-BW-L","PT-FW-Le-U","PT-FW-Le-L","TC-Door-1490","TC-Door-1350","TC-Door-1200","TC-Door-1050","TC-Door-0900","TC-Door-0600","TC-Door-0300","TC-Door-0010","TC-Front-0010","TC-Front-0300","TC-Front-0600","TC-Front-0900","TC-Front-1200","TC-Front-1500","TC-Front-1790","TC-Back-0010","TC-Back-0300","TC-Back-0600","TC-Back-0900","TC-Back-1200","TC-Back-1500","TC-Back-1790","O2-Door-100","O2-Door-200","O2-Door-800","CO2-Door-100","CO2-Door-200","CO2-Door-800","CO-Door-100","CO-Door-200","CO-Door-800"
 1.350E+02, 7.205E+02, 5.498E+02, 9.064E+02, 6.232E+02, 7.032E+02, 7.800E+02, 6.690E+02, 9.638E+02, 7.431E+02, 7.966E+02, 7.238E+02, 9.249E+02, 7.185E+02, 7.137E+02, 9.436E+02, 9.391E+02, 8.386E+02, 5.908E+02, 6.650E+02, 6.901E+02, 6.277E+02, 5.521E+02, 1.009E+03, 7.523E+02, 9.907E+02, 1.000E+03, 9.046E+02, 7.557E+02, 5.542E+02, 3.007E+02, 2.071E+02, 2.064E+02, 3.393E+02, 4.844E+02, 5.758E+02, 8.060E+02, 1.038E+03, 1.083E+03, 1.037E+03, 4.545E+02, 4.477E+02, 4.488E+02, 7.038E+02, 7.856E+02, 7.768E+02, 7.973E+02, 4.905E-02, 4.884E-02, 2.074E-01, 8.695E-02, 8.692E-02, 6.278E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.500E+02, 7.432E+02, 5.971E+02, 9.236E+02, 6.770E+02, 7.421E+02, 7.932E+02, 6.892E+02, 9.493E+02, 7.496E+02, 8.129E+02, 7.510E+02, 9.791E+02, 7.484E+02, 7.380E+02, 9.714E+02, 9.410E+02, 8.484E+02, 6.297E+02, 7.096E+02, 7.208E+02, 6.681E+02, 5.994E+02, 1.006E+03, 7.657E+02, 9.127E+02, 9.764E+02, 8.739E+02, 6.880E+02, 5.451E+02, 3.101E+02, 1.997E+02, 2.002E+02, 3.359E+02, 4.945E+02, 5.743E+02, 7.837E+02, 1.086E+03, 1.042E+03, 9.884E+02, 4.758E+02, 4.699E+02, 5.049E+02, 7.691E+02, 7.914E+02, 8.028E+02, 8.208E+02, 3.810E-02, 4.542E-02, 2.070E-01, 9.142E-02, 8.832E-02, 8.110E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.650E+02, 7.610E+02, 6.310E+02, 9.459E+02, 7.116E+02, 7.815E+02, 8.102E+02, 7.070E+02, 9.862E+02, 7.783E+02, 8.555E+02, 7.694E+02, 9.532E+02, 7.643E+02, 7.575E+02, 9.522E+02, 9.493E+02, 8.521E+02, 6.582E+02, 7.388E+02, 7.458E+02, 6.962E+02, 6.337E+02, 1.001E+03, 7.900E+02, 9.260E+02, 1.000E+03, 9.099E+02, 8.116E+02, 6.095E+02, 3.481E+02, 2.087E+02, 1.955E+02, 3.391E+02, 5.306E+02, 6.271E+02, 9.027E+02, 1.111E+03, 1.027E+03, 9.894E+02, 4.604E+02, 4.771E+02, 4.976E+02, 7.513E+02, 8.015E+02, 8.113E+02, 8.189E+02, 3.387E-02, 5.646E-02, 2.066E-01, 9.282E-02, 8.271E-02, 1.075E-03, 0.000E+00, 0.000E+00, 0.000E+00
 1.800E+02, 7.861E+02, 6.632E+02, 9.818E+02, 7.515E+02, 8.046E+02, 8.356E+02, 7.286E+02, 1.012E+03, 8.087E+02, 8.518E+02, 7.887E+02, 9.695E+02, 7.803E+02, 7.817E+02, 9.661E+02, 9.763E+02, 8.657E+02, 6.889E+02, 7.752E+02, 7.648E+02, 7.241E+02, 6.661E+02, 1.028E+03, 8.252E+02, 9.514E+02, 1.029E+03, 9.871E+02, 8.049E+02, 6.233E+02, 3.215E+02, 2.331E+02, 2.255E+02, 3.802E+02, 5.509E+02, 6.510E+02, 9.805E+02, 1.128E+03, 1.027E+03, 9.938E+02, 5.105E+02, 4.849E+02, 5.227E+02, 8.117E+02, 8.207E+02, 8.396E+02, 8.463E+02, 3.472E-02, 4.319E-02, 2.068E-01, 9.187E-02, 8.801E-02, 9.230E-04, 0.000E+00, 0.000E+00, 0.000E+00
 1.950E+02, 8.016E+02, 6.849E+02, 9.691E+02, 7.725E+02, 8.164E+02, 8.290E+02, 7.294E+02, 9.735E+02, 8.051E+02, 8.517E+02, 8.005E+02, 9.832E+02, 7.921E+02, 7.984E+02, 9.716E+02, 9.641E+02, 8.702E+02, 7.056E+02, 7.910E+02, 7.787E+02, 7.465E+02, 6.865E+02, 1.022E+03, 8.202E+02, 9.536E+02, 1.016E+03, 9.705E+02, 8.002E+02, 6.154E+02, 3.115E+02, 2.257E+02, 2.199E+02, 3.667E+02, 5.425E+02, 6.627E+02, 1.105E+03, 1.066E+03, 1.013E+03, 9.810E+02, 5.438E+02, 4.942E+02, 5.549E+02, 8.169E+02, 8.268E+02, 8.392E+02, 8.463E+02, 3.564E-02, 3.937E-02, 2.074E-01, 9.104E-02, 8.971E-02, 5.949E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.100E+02, 8.004E+02, 6.926E+02, 9.635E+02, 7.820E+02, 8.206E+02, 8.185E+02, 7.247E+02, 9.952E+02, 8.110E+02, 8.600E+02, 7.978E+02, 9.677E+02, 7.928E+02, 7.984E+02, 9.549E+02, 9.589E+02, 8.618E+02, 7.108E+02, 7.965E+02, 7.809E+02, 7.494E+02, 6.948E+02, 1.014E+03, 8.095E+02, 9.340E+02, 9.914E+02, 9.985E+02, 7.602E+02, 6.575E+02, 3.035E+02, 2.246E+02, 2.148E+02, 3.577E+02, 5.291E+02, 6.739E+02, 1.048E+03, 1.086E+03, 9.836E+02, 9.676E+02, 5.089E+02, 4.868E+02, 5.298E+02, 7.964E+02, 8.146E+02, 8.295E+02, 8.356E+02, 3.657E-02, 3.564E-02, 2.060E-01, 9.233E-02, 9.327E-02, 1.412E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.250E+02, 8.002E+02, 6.977E+02, 9.951E+02, 7.920E+02, 8.194E+02, 8.243E+02, 7.279E+02, 1.031E+03, 8.183E+02, 8.467E+02, 7.952E+02, 9.548E+02, 7.922E+02, 7.976E+02, 9.533E+02, 9.905E+02, 8.619E+02, 7.161E+02, 8.073E+02, 7.806E+02, 7.467E+02, 7.004E+02, 1.019E+03, 8.207E+02, 9.605E+02, 1.059E+03, 9.809E+02, 7.858E+02, 6.102E+02, 3.254E+02, 2.347E+02, 2.279E+02, 3.678E+02, 5.569E+02, 8.042E+02, 1.087E+03, 1.076E+03, 1.021E+03, 1.006E+03, 5.367E+02, 4.857E+02, 5.257E+02, 8.061E+02, 8.160E+02, 8.329E+02, 8.377E+02, 3.196E-02, 3.767E-02, 2.069E-01, 9.250E-02, 9.083E-02, 9.082E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.400E+02, 8.035E+02, 7.042E+02, 1.003E+03, 7.995E+02, 8.240E+02, 8.281E+02, 7.354E+02, 1.025E+03, 8.259E+02, 8.554E+02, 7.980E+02, 9.567E+02, 7.955E+02, 8.014E+02, 9.592E+02, 9.931E+02, 8.627E+02, 7.219E+02, 8.148E+02, 7.832E+02, 7.481E+02, 7.076E+02, 1.029E+03, 8.330E+02, 9.714E+02, 1.023E+03, 9.705E+02, 8.025E+02, 6.114E+02, 3.626E+02, 2.439E+02, 2.556E+02, 3.842E+02, 5.568E+02, 7.654E+02, 1.101E+03, 9.805E+02, 9.870E+02, 9.883E+02, 5.452E+02, 4.992E+02, 5.395E+02, 8.025E+02, 8.198E+02, 8.373E+02, 8.434E+02, 3.020E-02, 3.431E-02, 2.056E-01, 9.602E-02, 9.428E-02, 1.612E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.550E+02, 8.062E+02, 7.117E+02, 1.003E+03, 8.078E+02, 8.321E+02, 8.297E+02, 7.382E+02, 1.020E+03, 8.208E+02, 8.648E+02, 8.006E+02, 9.494E+02, 7.961E+02, 8.069E+02, 9.470E+02, 9.950E+02, 8.648E+02, 7.279E+02, 8.221E+02, 7.863E+02, 7.531E+02, 7.164E+02, 9.865E+02, 8.192E+02, 9.664E+02, 1.006E+03, 1.001E+03, 7.897E+02, 6.108E+02, 3.561E+02, 2.366E+02, 2.464E+02, 3.927E+02, 5.355E+02, 7.014E+02, 1.109E+03, 1.028E+03, 9.839E+02, 9.842E+02, 5.550E+02, 5.138E+02, 5.370E+02, 8.126E+02, 8.175E+02, 8.354E+02, 8.454E+02, 3.371E-02, 4.368E-02, 2.067E-01, 9.416E-02, 8.977E-02, 9.776E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.700E+02, 8.075E+02, 7.128E+02, 9.782E+02, 8.023E+02, 8.314E+02, 8.246E+02, 7.329E+02, 9.767E+02, 8.144E+02, 8.587E+02, 7.997E+02, 9.469E+02, 7.968E+02, 8.060E+02, 9.450E+02, 9.738E+02, 8.612E+02, 7.267E+02, 8.146E+02, 7.865E+02, 7.553E+02, 7.183E+02, 9.930E+02, 8.211E+02, 9.400E+02, 9.882E+02, 1.008E+03, 7.822E+02, 6.262E+02, 3.422E+02, 2.300E+02, 2.305E+02, 3.687E+02, 5.446E+02, 7.887E+02, 1.076E+03, 1.020E+03, 9.881E+02, 9.708E+02, 5.574E+02, 5.119E+02, 5.327E+02, 7.942E+02, 8.124E+02, 8.257E+02, 8.369E+02, 3.522E-02, 3.964E-02, 2.070E-01, 9.226E-02, 9.003E-02, 8.186E-04, 0.000E+00, 0.000E+00, 0.000E+00
