s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"PT-1","PT-2","PT-3","PT-4","PT-5","AST-1","AST-2","AST-3","AST-4","AST-5","Gas-1","Gas-2","Gas-3","Gas-4","Gas-5","Steel-1","Steel-2","Steel-3","Steel-4","Steel-5"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 3.010E+01, 2.157E+01, 2.016E+01, 2.002E+01, 2.000E+01, 2.000E+01, 7.310E+01, 3.129E+01, 2.127E+01, 2.026E+01, 2.008E+01, 5.874E+01, 2.519E+01, 2.019E+01, 2.004E+01, 2.001E+01, 2.012E+01, 2.002E+01, 2.000E+01, 2.000E+01, 2.000E+01
 6.006E+01, 8.211E+01, 3.334E+01, 2.409E+01, 2.202E+01, 2.093E+01, 3.635E+02, 1.761E+02, 9.002E+01, 5.932E+01, 4.098E+01, 4.053E+02, 2.193E+02, 1.175E+02, 7.108E+01, 4.832E+01, 2.590E+01, 2.105E+01, 2.044E+01, 2.019E+01, 2.008E+01
 9.008E+01, 2.846E+02, 1.022E+02, 4.507E+01, 3.352E+01, 2.804E+01, 6.289E+02, 3.701E+02, 2.028E+02, 1.356E+02, 1.006E+02, 7.063E+02, 4.397E+02, 2.752E+02, 1.976E+02, 1.335E+02, 4.371E+01, 2.500E+01, 2.199E+01, 2.128E+01, 2.074E+01
 1.200E+02, 5.078E+02, 2.573E+02, 1.100E+02, 5.724E+01, 4.384E+01, 6.983E+02, 4.824E+02, 2.904E+02, 1.696E+02, 1.241E+02, 7.793E+02, 5.547E+02, 3.807E+02, 2.515E+02, 1.836E+02, 7.743E+01, 3.930E+01, 2.530E+01, 2.288E+01, 2.186E+01
 1.501E+02, 6.204E+02, 3.714E+02, 1.504E+02, 7.485E+01, 5.493E+01, 6.619E+02, 4.827E+02, 2.531E+02, 1.661E+02, 1.240E+02, 7.177E+02, 5.224E+02, 3.165E+02, 2.400E+02, 1.735E+02, 1.238E+02, 6.471E+01, 3.150E+01, 2.494E+01, 2.326E+01
 1.800E+02, 6.869E+02, 4.720E+02, 2.022E+02, 9.266E+01, 6.362E+01, 7.554E+02, 5.424E+02, 3.200E+02, 1.714E+02, 1.140E+02, 8.338E+02, 5.939E+02, 3.887E+02, 2.443E+02, 1.665E+02, 1.707E+02, 9.008E+01, 3.822E+01, 2.715E+01, 2.481E+01
 2.100E+02, 7.114E+02, 5.159E+02, 2.119E+02, 9.448E+01, 6.461E+01, 7.511E+02, 6.078E+02, 2.759E+02, 1.390E+02, 9.295E+01, 8.282E+02, 6.578E+02, 2.921E+02, 1.750E+02, 1.204E+02, 2.155E+02, 1.203E+02, 4.661E+01, 2.981E+01, 2.618E+01
 2.401E+02, 7.234E+02, 5.712E+02, 2.403E+02, 1.030E+02, 7.010E+01, 7.462E+02, 5.857E+02, 3.113E+02, 1.644E+02, 1.215E+02, 8.132E+02, 5.973E+02, 3.380E+02, 2.226E+02, 1.741E+02, 2.614E+02, 1.549E+02, 5.829E+01, 3.321E+01, 2.777E+01
