s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"PT-1","PT-2","PT-3","PT-4","PT-5","AST-1","AST-2","AST-3","AST-4","AST-5","Gas-1","Gas-2","Gas-3","Gas-4","Gas-5","Steel-1","Steel-2","Steel-3","Steel-4","Steel-5"
 0.000E+00, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01
 3.010E+01, 2.657E+01, 2.088E+01, 2.012E+01, 2.001E+01, 2.000E+01, 1.442E+02, 4.958E+01, 2.905E+01, 2.054E+01, 2.015E+01, 9.931E+01, 4.253E+01, 2.430E+01, 2.007E+01, 2.002E+01, 2.046E+01, 2.008E+01, 2.001E+01, 2.000E+01, 2.000E+01
 6.005E+01, 1.505E+02, 6.371E+01, 3.489E+01, 2.807E+01, 2.448E+01, 5.536E+02, 3.059E+02, 1.510E+02, 1.097E+02, 7.595E+01, 5.811E+02, 3.307E+02, 1.864E+02, 1.266E+02, 8.455E+01, 3.599E+01, 2.449E+01, 2.161E+01, 2.085E+01, 2.049E+01
 9.001E+01, 4.247E+02, 2.615E+02, 1.125E+02, 6.089E+01, 4.500E+01, 6.775E+02, 5.611E+02, 3.679E+02, 1.894E+02, 1.273E+02, 7.303E+02, 6.181E+02, 4.035E+02, 2.371E+02, 1.607E+02, 7.554E+01, 4.522E+01, 2.892E+01, 2.439E+01, 2.274E+01
 1.200E+02, 5.987E+02, 4.461E+02, 2.282E+02, 9.898E+01, 6.617E+01, 7.345E+02, 6.387E+02, 4.172E+02, 2.204E+02, 1.558E+02, 7.844E+02, 6.450E+02, 4.334E+02, 2.501E+02, 1.844E+02, 1.239E+02, 8.336E+01, 4.798E+01, 3.141E+01, 2.591E+01
 1.500E+02, 6.667E+02, 6.066E+02, 3.774E+02, 1.712E+02, 9.980E+01, 7.273E+02, 7.101E+02, 5.507E+02, 3.849E+02, 2.457E+02, 7.666E+02, 7.796E+02, 5.730E+02, 4.094E+02, 2.862E+02, 1.711E+02, 1.261E+02, 7.766E+01, 4.572E+01, 3.148E+01
 1.800E+02, 7.079E+02, 6.281E+02, 4.304E+02, 2.386E+02, 1.465E+02, 7.626E+02, 6.455E+02, 4.612E+02, 3.255E+02, 2.285E+02, 8.427E+02, 6.990E+02, 4.828E+02, 3.512E+02, 2.566E+02, 2.159E+02, 1.747E+02, 1.085E+02, 6.186E+01, 3.843E+01
 2.100E+02, 7.211E+02, 6.605E+02, 4.926E+02, 2.908E+02, 1.846E+02, 7.433E+02, 6.635E+02, 5.101E+02, 3.419E+02, 2.532E+02, 8.093E+02, 7.263E+02, 5.528E+02, 3.859E+02, 3.155E+02, 2.589E+02, 2.266E+02, 1.522E+02, 8.240E+01, 4.710E+01
 2.400E+02, 7.315E+02, 6.606E+02, 4.992E+02, 3.014E+02, 1.891E+02, 7.518E+02, 6.733E+02, 5.271E+02, 3.580E+02, 2.317E+02, 8.195E+02, 7.339E+02, 5.562E+02, 3.865E+02, 2.544E+02, 3.007E+02, 2.725E+02, 1.825E+02, 9.679E+01, 5.423E+01
