s,mol/mol,kW
Time,"VF","HRR"
 1.0500109E+001, 3.8311915E-001, 7.2522858E-006
 1.0600169E+001, 3.8344676E-001, 7.2438967E-006
 1.0700024E+001, 3.8377406E-001, 7.1451690E-006
 1.0800058E+001, 3.8410126E-001, 7.1533345E-006
 1.0900002E+001, 3.8442859E-001, 7.1460510E-006
 1.1000052E+001, 3.8475590E-001, 7.1566943E-006
 1.1100033E+001, 3.8508321E-001, 7.1836522E-006
 1.1200148E+001, 3.8541067E-001, 7.2139255E-006
 1.1300069E+001, 3.8573802E-001, 7.2262990E-006
 1.1400018E+001, 3.8606516E-001, 7.2091305E-006
 1.1500139E+001, 3.8639264E-001, 7.1762893E-006
 1.1600038E+001, 3.8672002E-001, 7.1045213E-006
 1.1700122E+001, 3.8704730E-001, 7.1169906E-006
 1.1800113E+001, 3.8737472E-001, 7.1118796E-006
 1.1900115E+001, 3.8770199E-001, 7.1297895E-006
 1.2000138E+001, 3.8802922E-001, 7.1647128E-006
 1.2100094E+001, 3.8835643E-001, 7.1908687E-006
 1.2200006E+001, 3.8868348E-001, 7.1840712E-006
 1.2300014E+001, 3.8901064E-001, 7.1903853E-006
 1.2400097E+001, 3.8933807E-001, 7.1051215E-006
 1.2500150E+001, 3.8966555E-001, 7.0791661E-006
 1.2600119E+001, 3.8999284E-001, 7.0767356E-006
 1.2700074E+001, 3.9031996E-001, 7.0952474E-006
 1.2800018E+001, 3.9064698E-001, 7.1193683E-006
 1.2900132E+001, 3.9097422E-001, 7.1474466E-006
 1.3000033E+001, 3.9130144E-001, 7.1652449E-006
 1.3100148E+001, 3.9162871E-001, 7.1460468E-006
 1.3200101E+001, 3.9195603E-001, 7.1200990E-006
 1.3300102E+001, 3.9228313E-001, 7.0392789E-006
 1.3400057E+001, 3.9261029E-001, 7.0430957E-006
 1.3500031E+001, 3.9293738E-001, 7.0488886E-006
 1.3600002E+001, 3.9326442E-001, 7.0560117E-006
 1.3700039E+001, 3.9359155E-001, 7.1036513E-006
 1.3800172E+001, 3.9391900E-001, 7.1071315E-006
 1.3900107E+001, 3.9424627E-001, 7.0972222E-006
 1.4000115E+001, 3.9457333E-001, 7.1068145E-006
 1.4100157E+001, 3.9490063E-001, 7.0315000E-006
 1.4200050E+001, 3.9522762E-001, 6.9969689E-006
 1.4300006E+001, 3.9555451E-001, 7.0267493E-006
 1.4400101E+001, 3.9588166E-001, 7.0627361E-006
 1.4500077E+001, 3.9620880E-001, 7.0375005E-006
 1.4600056E+001, 3.9653585E-001, 7.0895005E-006
 1.4700104E+001, 3.9686303E-001, 6.9521669E-006
 1.4800052E+001, 3.9719014E-001, 7.1234695E-006
 1.4900071E+001, 3.9751720E-001, 6.9475139E-006
 1.5000094E+001, 3.9784439E-001, 6.9744604E-006
 1.5100036E+001, 3.9817139E-001, 6.9330853E-006
 1.5200071E+001, 3.9849845E-001, 7.0180932E-006
 1.5300043E+001, 3.9882545E-001, 6.9330687E-006
 1.5400016E+001, 3.9915241E-001, 7.0007037E-006
 1.5500095E+001, 3.9947952E-001, 7.0727472E-006
 1.5600136E+001, 3.9980681E-001, 6.9197554E-006
 1.5700090E+001, 4.0013388E-001, 7.0837952E-006
 1.5800160E+001, 4.0046090E-001, 6.9348885E-006
 1.5900118E+001, 4.0078803E-001, 6.9043100E-006
 1.6000014E+001, 4.0111475E-001, 6.8892349E-006
 1.6100024E+001, 4.0144164E-001, 6.9618954E-006
 1.6200144E+001, 4.0176883E-001, 6.9257532E-006
 1.6300134E+001, 4.0209601E-001, 6.9750504E-006
 1.6400168E+001, 4.0242297E-001, 7.0072834E-006
 1.6500153E+001, 4.0275002E-001, 6.8986823E-006
 1.6600122E+001, 4.0307699E-001, 6.9813571E-006
 1.6700223E+001, 4.0340407E-001, 6.8962819E-006
 1.6800101E+001, 4.0373104E-001, 6.8915087E-006
 1.6900027E+001, 4.0405761E-001, 6.9374189E-006
 1.7000022E+001, 4.0438444E-001, 6.9056586E-006
 1.7100114E+001, 4.0471157E-001, 6.8414339E-006
 1.7200045E+001, 4.0503855E-001, 6.8863371E-006
 1.7300054E+001, 4.0536539E-001, 6.8874258E-006
 1.7400076E+001, 4.0569237E-001, 6.8158632E-006
 1.7500003E+001, 4.0601919E-001, 6.9395978E-006
 1.7600077E+001, 4.0634607E-001, 6.8043476E-006
 1.7700136E+001, 4.0667324E-001, 6.9122013E-006
 1.7800067E+001, 4.0700013E-001, 6.8705791E-006
 1.7900012E+001, 4.0732682E-001, 6.8660326E-006
 1.8000046E+001, 4.0765363E-001, 6.8927481E-006
 1.8100031E+001, 4.0798053E-001, 6.7867435E-006
 1.8200024E+001, 4.0830739E-001, 6.9162188E-006
 1.8300141E+001, 4.0863446E-001, 6.8092986E-006
 1.8400157E+001, 4.0896155E-001, 6.8806590E-006
 1.8500006E+001, 4.0928814E-001, 6.7908275E-006
 1.8600012E+001, 4.0961475E-001, 6.7965605E-006
 1.8700099E+001, 4.0994171E-001, 6.8404274E-006
 1.8800106E+001, 4.1026870E-001, 6.7886055E-006
 1.8900185E+001, 4.1059572E-001, 6.8020050E-006
 1.9000123E+001, 4.1092252E-001, 6.8112841E-006
 1.9100175E+001, 4.1124932E-001, 6.7321503E-006
 1.9200087E+001, 4.1157608E-001, 6.7817098E-006
 1.9300041E+001, 4.1190269E-001, 6.8040350E-006
 1.9400065E+001, 4.1222943E-001, 6.7260074E-006
 1.9500122E+001, 4.1255636E-001, 6.7686418E-006
 1.9600002E+001, 4.1288302E-001, 6.7852122E-006
 1.9700005E+001, 4.1320962E-001, 6.7859804E-006
 1.9800171E+001, 4.1353665E-001, 6.7185736E-006
 1.9900071E+001, 4.1386353E-001, 6.7751860E-006
 2.0000081E+001, 4.1419018E-001, 6.7385281E-006
 2.0100143E+001, 4.1451703E-001, 6.7043915E-006
 2.0200201E+001, 4.1484393E-001, 6.7403260E-006
 2.0300080E+001, 4.1517055E-001, 6.7148266E-006
 2.0400171E+001, 4.1549725E-001, 6.6776070E-006
 2.0500163E+001, 4.1582407E-001, 6.6802279E-006
 2.0600151E+001, 4.1615076E-001, 6.6988854E-006
 2.0700097E+001, 4.1647738E-001, 6.7160904E-006
 2.0800064E+001, 4.1680388E-001, 6.7143118E-006
 2.0900076E+001, 4.1713054E-001, 6.7147166E-006
 2.1000031E+001, 4.1745724E-001, 6.6859277E-006
 2.1100026E+001, 4.1778383E-001, 6.6744594E-006
 2.1200108E+001, 4.1811063E-001, 6.6558784E-006
 2.1300106E+001, 4.1843745E-001, 6.6575556E-006
 2.1400106E+001, 4.1876405E-001, 6.6602175E-006
 2.1500160E+001, 4.1909080E-001, 6.6407254E-006
 2.1600052E+001, 4.1941731E-001, 6.6605334E-006
 2.1700043E+001, 4.1974378E-001, 6.6818327E-006
 2.1800007E+001, 4.2007040E-001, 6.6167602E-006
 2.1900013E+001, 4.2039698E-001, 6.6784577E-006
 2.2000162E+001, 4.2072385E-001, 6.6301496E-006
 2.2100032E+001, 4.2105048E-001, 6.6720431E-006
 2.2200038E+001, 4.2137688E-001, 6.6235468E-006
 2.2300091E+001, 4.2170361E-001, 6.6036058E-006
 2.2400006E+001, 4.2203017E-001, 6.6411853E-006
 2.2500067E+001, 4.2235673E-001, 6.6190453E-006
 2.2600124E+001, 4.2268353E-001, 6.6303154E-006
 2.2700095E+001, 4.2301008E-001, 6.6239643E-006
 2.2800040E+001, 4.2333655E-001, 6.6528450E-006
 2.2900102E+001, 4.2366311E-001, 6.6041380E-006
 2.3000067E+001, 4.2398978E-001, 6.6537342E-006
 2.3100012E+001, 4.2431610E-001, 6.6320203E-006
 2.3200095E+001, 4.2464272E-001, 6.7826090E-006
 2.3300142E+001, 4.2496944E-001, 6.6822657E-006
 2.3400045E+001, 4.2529592E-001, 6.6695931E-006
 2.3500032E+001, 4.2562226E-001, 6.7037443E-006
 2.3600151E+001, 4.2594897E-001, 6.7395201E-006
 2.3700217E+001, 4.2627577E-001, 6.6913990E-006
 2.3800048E+001, 4.2660215E-001, 6.6272783E-006
 2.3900002E+001, 4.2692833E-001, 6.6364834E-006
 2.4000062E+001, 4.2725485E-001, 6.6368115E-006
 2.4100192E+001, 4.2758157E-001, 6.6431205E-006
 2.4200006E+001, 4.2790798E-001, 6.3882614E-006
 2.4300006E+001, 4.2823426E-001, 6.5613029E-006
 2.4400033E+001, 4.2856078E-001, 6.5114562E-006
 2.4500081E+001, 4.2888739E-001, 6.7731215E-006
 2.4600043E+001, 4.2921378E-001, 6.3921855E-006
 2.4700044E+001, 4.2954015E-001, 6.5589898E-006
 2.4800131E+001, 4.2986669E-001, 6.6993250E-006
 2.4900178E+001, 4.3019341E-001, 6.6002642E-006
 2.5000123E+001, 4.3051982E-001, 6.4839131E-006
 2.5100131E+001, 4.3084616E-001, 6.5068200E-006
 2.5200041E+001, 4.3117243E-001, 6.4604265E-006
 2.5300139E+001, 4.3149883E-001, 6.4226337E-006
 2.5400083E+001, 4.3182527E-001, 6.4097810E-006
 2.5500012E+001, 4.3215144E-001, 6.3717388E-006
 2.5600058E+001, 4.3247782E-001, 6.3280851E-006
 2.5700162E+001, 4.3280441E-001, 6.3363451E-006
 2.5800146E+001, 4.3313097E-001, 6.3188703E-006
 2.5900091E+001, 4.3345720E-001, 6.2739934E-006
 2.6000188E+001, 4.3378359E-001, 6.2497631E-006
 2.6100167E+001, 4.3411007E-001, 6.2469987E-006
 2.6200014E+001, 4.3443616E-001, 6.2748365E-006
 2.6300034E+001, 4.3476230E-001, 6.2429825E-006
 2.6400117E+001, 4.3508879E-001, 6.2234623E-006
 2.6500152E+001, 4.3541530E-001, 6.2231461E-006
 2.6600138E+001, 4.3574164E-001, 6.1884927E-006
 2.6700146E+001, 4.3606799E-001, 6.1542962E-006
 2.6800102E+001, 4.3639427E-001, 6.1404763E-006
 2.6900180E+001, 4.3672067E-001, 6.1552761E-006
 2.7000125E+001, 4.3704701E-001, 6.1269621E-006
 2.7100066E+001, 4.3737310E-001, 6.1656316E-006
 2.7200052E+001, 4.3769925E-001, 6.1493881E-006
 2.7300183E+001, 4.3802570E-001, 6.1188870E-006
 2.7400150E+001, 4.3835218E-001, 6.1497152E-006
 2.7500107E+001, 4.3867823E-001, 6.1566994E-006
 2.7600100E+001, 4.3900441E-001, 6.1218526E-006
 2.7700146E+001, 4.3933076E-001, 6.1269588E-006
 2.7800044E+001, 4.3965690E-001, 6.1943056E-006
 2.7900192E+001, 4.3998319E-001, 6.2109217E-006
 2.8000156E+001, 4.4030960E-001, 6.1777311E-006
 2.8100180E+001, 4.4063581E-001, 6.1197878E-006
 2.8200009E+001, 4.4096186E-001, 6.2192890E-006
 2.8300245E+001, 4.4128816E-001, 6.1429804E-006
 2.8400195E+001, 4.4161470E-001, 6.0828458E-006
 2.8500137E+001, 4.4194066E-001, 6.1246060E-006
 2.8600089E+001, 4.4226671E-001, 6.1219144E-006
 2.8700095E+001, 4.4259282E-001, 6.0996291E-006
 2.8800171E+001, 4.4291916E-001, 6.1288590E-006
 2.8900175E+001, 4.4324548E-001, 6.1090613E-006
 2.9000149E+001, 4.4357164E-001, 6.0626544E-006
 2.9100161E+001, 4.4389775E-001, 6.1190857E-006
 2.9200094E+001, 4.4422379E-001, 6.0858294E-006
 2.9300141E+001, 4.4454992E-001, 6.0727573E-006
 2.9400084E+001, 4.4487604E-001, 6.1245586E-006
 2.9500128E+001, 4.4520225E-001, 6.0521639E-006
 2.9600085E+001, 4.4552838E-001, 6.0953940E-006
 2.9700045E+001, 4.4585440E-001, 6.0655110E-006
 2.9800081E+001, 4.4618051E-001, 6.0115224E-006
 2.9900015E+001, 4.4650660E-001, 6.0810345E-006
 3.0000035E+001, 4.4683268E-001, 6.0067158E-006
 3.0100034E+001, 4.4715876E-001, 6.0183383E-006
 3.0200080E+001, 4.4748494E-001, 6.0278908E-006
 3.0300192E+001, 4.4781127E-001, 5.9797530E-006
 3.0400044E+001, 4.4813729E-001, 5.9677468E-006
 3.0500077E+001, 4.4846317E-001, 5.9998553E-006
 3.0600028E+001, 4.4878923E-001, 5.9626619E-006
 3.0700120E+001, 4.4911535E-001, 6.0043179E-006
 3.0800145E+001, 4.4944159E-001, 5.9886577E-006
 3.0900039E+001, 4.4976752E-001, 5.9827656E-006
 3.1000042E+001, 4.5009337E-001, 5.9822426E-006
 3.1100021E+001, 4.5041936E-001, 5.9910270E-006
 3.1200071E+001, 4.5074544E-001, 5.9586048E-006
 3.1300082E+001, 4.5107154E-001, 5.9938589E-006
 3.1400151E+001, 4.5139767E-001, 5.9756853E-006
 3.1500172E+001, 4.5172385E-001, 5.9885811E-006
 3.1600069E+001, 4.5204972E-001, 6.0098543E-006
 3.1700023E+001, 4.5237546E-001, 5.9830792E-006
 3.1800062E+001, 4.5270144E-001, 5.9746373E-006
 3.1900055E+001, 4.5302740E-001, 6.0463904E-006
 3.2000043E+001, 4.5335338E-001, 5.9927010E-006
 3.2100147E+001, 4.5367957E-001, 5.9922589E-006
 3.2200015E+001, 4.5400544E-001, 5.9907207E-006
 3.2300173E+001, 4.5433147E-001, 5.9670046E-006
 3.2400167E+001, 4.5465764E-001, 5.9599645E-006
 3.2500180E+001, 4.5498362E-001, 5.9279906E-006
 3.2600003E+001, 4.5530929E-001, 5.8934281E-006
 3.2700166E+001, 4.5563519E-001, 5.8606283E-006
 3.2800098E+001, 4.5596129E-001, 5.8644347E-006
 3.2900187E+001, 4.5628731E-001, 5.8850252E-006
