s,kg/kg,mol/mol,kW
Time,"Y_He","X_He","Flame detector"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3888604E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.7064869E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0024092E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3229627E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6555000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9854759E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3118158E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6402726E-001, 0.0000000E+000, 0.0000000E+000, 3.6034748E-007
 2.9708659E-001, 0.0000000E+000, 0.0000000E+000, 9.1757268E-006
 3.3002999E-001, 0.0000000E+000, 0.0000000E+000, 1.2977855E-005
 3.6303646E-001, 0.0000000E+000, 0.0000000E+000, 1.4156011E-005
 3.9600789E-001, 0.0000000E+000, 0.0000000E+000, 1.6214615E-005
 4.2906009E-001, 0.0000000E+000, 0.0000000E+000, 1.6674298E-005
 4.6203916E-001, 0.0000000E+000, 0.0000000E+000, 1.3062250E-005
 4.9500995E-001, 0.0000000E+000, 0.0000000E+000, 1.2564157E-005
 5.2804384E-001, 0.0000000E+000, 0.0000000E+000, 1.1420103E-005
 5.6101192E-001, 0.0000000E+000, 0.0000000E+000, 1.2029403E-005
 5.9404581E-001, 0.0000000E+000, 0.0000000E+000, 1.2560980E-005
 6.2701389E-001, 0.0000000E+000, 0.0000000E+000, 1.2954324E-005
 6.6004778E-001, 0.0000000E+000, 0.0000000E+000, 1.3208029E-005
 6.9301587E-001, 0.0000000E+000, 0.0000000E+000, 1.3426948E-005
 7.2604975E-001, 0.0000000E+000, 0.0000000E+000, 1.3792510E-005
 7.5901784E-001, 0.0000000E+000, 0.0000000E+000, 1.4117609E-005
 7.9205172E-001, 0.0000000E+000, 0.0000000E+000, 1.4127297E-005
 8.2501981E-001, 0.0000000E+000, 0.0000000E+000, 1.5080809E-005
 8.5805369E-001, 0.0000000E+000, 0.0000000E+000, 1.5321975E-005
 8.9102178E-001, 0.0000000E+000, 0.0000000E+000, 1.5653507E-005
 9.2405566E-001, 0.0000000E+000, 0.0000000E+000, 1.5848617E-005
 9.5702375E-001, 0.0000000E+000, 0.0000000E+000, 1.5997531E-005
 9.9005763E-001, 0.0000000E+000, 0.0000000E+000, 1.6145002E-005
 1.0230257E+000, 0.0000000E+000, 0.0000000E+000, 1.8581589E-005
 1.0560596E+000, 0.0000000E+000, 0.0000000E+000, 2.0285386E-005
 1.0890277E+000, 0.0000000E+000, 0.0000000E+000, 1.7758234E-005
 1.1220616E+000, 0.0000000E+000, 0.0000000E+000, 1.7760820E-005
 1.1550297E+000, 0.0000000E+000, 0.0000000E+000, 2.0612396E-005
 1.1880635E+000, 0.0000000E+000, 0.0000000E+000, 1.8613842E-005
 1.2210316E+000, 0.0000000E+000, 0.0000000E+000, 1.7727481E-005
 1.2540655E+000, 0.0000000E+000, 0.0000000E+000, 1.8654878E-005
 1.2870336E+000, 0.0000000E+000, 0.0000000E+000, 1.9754746E-005
 1.3200017E+000, 0.0000000E+000, 0.0000000E+000, 1.8702924E-005
 1.3530356E+000, 0.0000000E+000, 0.0000000E+000, 1.7891228E-005
 1.3860037E+000, 0.0000000E+000, 0.0000000E+000, 1.9301644E-005
 1.4190375E+000, 0.0000000E+000, 0.0000000E+000, 1.9344730E-005
 1.4520056E+000, 0.0000000E+000, 0.0000000E+000, 1.8718441E-005
 1.4850395E+000, 0.0000000E+000, 0.0000000E+000, 1.8822500E-005
 1.5180076E+000, 0.0000000E+000, 0.0000000E+000, 1.8438586E-005
 1.5510415E+000, 0.0000000E+000, 0.0000000E+000, 1.9274118E-005
 1.5840096E+000, 0.0000000E+000, 0.0000000E+000, 1.9399904E-005
 1.6170435E+000, 0.0000000E+000, 0.0000000E+000, 1.9237465E-005
 1.6500115E+000, 0.0000000E+000, 0.0000000E+000, 1.9214804E-005
 1.6830454E+000, 0.0000000E+000, 0.0000000E+000, 1.9444475E-005
 1.7160135E+000, 0.0000000E+000, 0.0000000E+000, 1.9226795E-005
 1.7490474E+000, 0.0000000E+000, 0.0000000E+000, 1.9187187E-005
 1.7820155E+000, 0.0000000E+000, 0.0000000E+000, 1.9259644E-005
 1.8150494E+000, 0.0000000E+000, 0.0000000E+000, 1.9247062E-005
 1.8480174E+000, 0.0000000E+000, 0.0000000E+000, 1.9245499E-005
 1.8810513E+000, 0.0000000E+000, 0.0000000E+000, 1.9217092E-005
 1.9140194E+000, 0.0000000E+000, 0.0000000E+000, 1.9057524E-005
 1.9470533E+000, 0.0000000E+000, 0.0000000E+000, 1.9137697E-005
 1.9800214E+000, 0.0000000E+000, 0.0000000E+000, 1.9061018E-005
 2.0130553E+000, 0.0000000E+000, 0.0000000E+000, 1.9159524E-005
 2.0460234E+000, 0.0000000E+000, 0.0000000E+000, 1.9118723E-005
 2.0790572E+000, 0.0000000E+000, 0.0000000E+000, 1.9048804E-005
 2.1120253E+000, 0.0000000E+000, 0.0000000E+000, 1.9013875E-005
 2.1450592E+000, 0.0000000E+000, 0.0000000E+000, 1.9099040E-005
 2.1780273E+000, 0.0000000E+000, 0.0000000E+000, 1.9099260E-005
 2.2110612E+000, 0.0000000E+000, 0.0000000E+000, 1.9108076E-005
 2.2440293E+000, 0.0000000E+000, 0.0000000E+000, 1.9122376E-005
 2.2770632E+000, 0.0000000E+000, 0.0000000E+000, 1.9204435E-005
 2.3100312E+000, 0.0000000E+000, 0.0000000E+000, 1.9203052E-005
 2.3430651E+000, 0.0000000E+000, 0.0000000E+000, 1.9189465E-005
 2.3760332E+000, 0.0000000E+000, 0.0000000E+000, 1.9170506E-005
 2.4090013E+000, 0.0000000E+000, 0.0000000E+000, 1.9172193E-005
 2.4420352E+000, 0.0000000E+000, 0.0000000E+000, 1.9272075E-005
 2.4750033E+000, 0.0000000E+000, 0.0000000E+000, 1.9112069E-005
 2.5080371E+000, 0.0000000E+000, 0.0000000E+000, 1.9077297E-005
 2.5410052E+000, 0.0000000E+000, 0.0000000E+000, 1.8959927E-005
 2.5740391E+000, 0.0000000E+000, 0.0000000E+000, 1.9010414E-005
 2.6070072E+000, 0.0000000E+000, 0.0000000E+000, 1.9074809E-005
 2.6400411E+000, 0.0000000E+000, 0.0000000E+000, 1.9260925E-005
 2.6730092E+000, 0.0000000E+000, 0.0000000E+000, 1.9029506E-005
 2.7060431E+000, 0.0000000E+000, 0.0000000E+000, 1.9102315E-005
 2.7390111E+000, 0.0000000E+000, 0.0000000E+000, 1.9382147E-005
 2.7720450E+000, 0.0000000E+000, 0.0000000E+000, 1.9451399E-005
 2.8050131E+000, 0.0000000E+000, 0.0000000E+000, 1.9347160E-005
 2.8380470E+000, 0.0000000E+000, 0.0000000E+000, 1.9157375E-005
 2.8710151E+000, 0.0000000E+000, 0.0000000E+000, 1.9522767E-005
 2.9040490E+000, 1.1775023E-169, 8.4624742E-169, 1.9816762E-005
 2.9370171E+000, 1.7517584E-068, 1.2589536E-067, 1.9522589E-005
 2.9700509E+000, 1.0053364E-047, 7.2251807E-047, 1.9365371E-005
 3.0030190E+000, 1.0260533E-036, 7.3740725E-036, 1.9832264E-005
 3.0360529E+000, 1.0568387E-029, 7.5952867E-029, 1.9815217E-005
 3.0690210E+000, 6.5188949E-025, 4.6850027E-024, 1.9743891E-005
 3.1020549E+000, 1.8023587E-021, 1.2953243E-020, 1.9697830E-005
 3.1350230E+000, 7.1183683E-019, 5.1158422E-018, 1.9852060E-005
 3.1680569E+000, 1.5380760E-016, 1.1053844E-015, 1.9780187E-005
 3.2010249E+000, 7.4679625E-014, 5.3670874E-013, 1.9815856E-005
 3.2340588E+000, 1.3303922E-011, 9.5612908E-011, 1.9808081E-005
 3.2670269E+000, 9.7046709E-010, 6.9745642E-009, 1.9797943E-005
 3.3000608E+000, 3.3530631E-008, 2.4097809E-007, 1.9913027E-005
 3.3330289E+000, 5.9810444E-007, 4.2984436E-006, 1.9836630E-005
 3.3660628E+000, 6.2985698E-006, 4.5264252E-005, 1.9837991E-005
 3.3990308E+000, 4.1869465E-005, 3.0081188E-004, 1.9723778E-005
 3.4320647E+000, 1.9050244E-004, 1.3672543E-003, 1.9922237E-005
 3.4650328E+000, 6.2982070E-004, 4.5072153E-003, 1.9684492E-005
 3.4980009E+000, 1.5918117E-003, 1.1322571E-002, 1.9915619E-005
 3.5310348E+000, 3.2202801E-003, 2.2678045E-002, 1.9574389E-005
 3.5640029E+000, 5.4311931E-003, 3.7744876E-002, 1.9613863E-005
 3.5970368E+000, 7.9410111E-003, 5.4378610E-002, 1.9263863E-005
 3.6300048E+000, 1.0370945E-002, 7.0028808E-002, 1.9126244E-005
 3.6630387E+000, 1.2432423E-002, 8.2969100E-002, 1.8755420E-005
 3.6960068E+000, 1.3971952E-002, 9.2442845E-002, 1.8343727E-005
 3.7290407E+000, 1.4958723E-002, 9.8426123E-002, 1.7619956E-005
