s,kg/kg,mol/mol,kW
Time,"Y_Ar","X_Ar","Flame detector"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3888604E-002, 0.0000000E+000, 0.0000000E+000, 7.0609117E-024
 6.6163465E-002, 0.0000000E+000, 0.0000000E+000, 1.0660767E-024
 1.0005207E-001, 0.0000000E+000, 0.0000000E+000,-1.8032907E-023
 1.3232693E-001, 0.0000000E+000, 0.0000000E+000,-2.5267487E-023
 1.6621554E-001, 0.0000000E+000, 0.0000000E+000,-5.0025178E-023
 1.9849040E-001, 0.0000000E+000, 0.0000000E+000, 4.1540601E-023
 2.3237900E-001, 0.0000000E+000, 0.0000000E+000,-3.9064714E-023
 2.6430845E-001, 0.0000000E+000, 0.0000000E+000, 3.7080783E-007
 2.9734068E-001, 0.0000000E+000, 0.0000000E+000, 8.8316927E-006
 3.3008567E-001, 0.0000000E+000, 0.0000000E+000, 1.2495846E-005
 3.6300371E-001, 0.0000000E+000, 0.0000000E+000, 1.2791536E-005
 3.9609032E-001, 0.0000000E+000, 0.0000000E+000, 1.5419307E-005
 4.2915710E-001, 0.0000000E+000, 0.0000000E+000, 1.7983898E-005
 4.6222387E-001, 0.0000000E+000, 0.0000000E+000, 1.3277440E-005
 4.9505446E-001, 0.0000000E+000, 0.0000000E+000, 1.2593634E-005
 5.2812123E-001, 0.0000000E+000, 0.0000000E+000, 1.1484564E-005
 5.6118801E-001, 0.0000000E+000, 0.0000000E+000, 1.2065566E-005
 5.9404343E-001, 0.0000000E+000, 0.0000000E+000, 1.2546098E-005
 6.2709120E-001, 0.0000000E+000, 0.0000000E+000, 1.2802489E-005
 6.6001993E-001, 0.0000000E+000, 0.0000000E+000, 1.3103039E-005
 6.9301835E-001, 0.0000000E+000, 0.0000000E+000, 1.3335610E-005
 7.2601677E-001, 0.0000000E+000, 0.0000000E+000, 1.3731584E-005
 7.5901519E-001, 0.0000000E+000, 0.0000000E+000, 1.4016543E-005
 7.9201360E-001, 0.0000000E+000, 0.0000000E+000, 1.4005600E-005
 8.2501202E-001, 0.0000000E+000, 0.0000000E+000, 1.4974256E-005
 8.5801044E-001, 0.0000000E+000, 0.0000000E+000, 1.5219091E-005
 8.9100886E-001, 0.0000000E+000, 0.0000000E+000, 1.5501222E-005
 9.2400728E-001, 0.0000000E+000, 0.0000000E+000, 1.5652309E-005
 9.5705454E-001, 0.0000000E+000, 0.0000000E+000, 1.5862132E-005
 9.9013540E-001, 0.0000000E+000, 0.0000000E+000, 1.5915979E-005
 1.0231191E+000, 0.0000000E+000, 0.0000000E+000, 1.8763202E-005
 1.0560630E+000, 0.0000000E+000, 0.0000000E+000, 1.9982354E-005
 1.0891076E+000, 0.0000000E+000, 0.0000000E+000, 1.7460719E-005
 1.1220365E+000, 0.0000000E+000, 0.0000000E+000, 1.7593778E-005
 1.1550582E+000, 0.0000000E+000, 0.0000000E+000, 2.0298924E-005
 1.1880730E+000, 0.0000000E+000, 0.0000000E+000, 1.8272443E-005
 1.2210831E+000, 0.0000000E+000, 0.0000000E+000, 1.7597037E-005
 1.2540692E+000, 0.0000000E+000, 0.0000000E+000, 1.8139153E-005
 1.2871202E+000, 0.0000000E+000, 0.0000000E+000, 1.9292018E-005
 1.3200241E+000, 0.0000000E+000, 0.0000000E+000, 1.8655517E-005
 1.3530881E+000, 0.0000000E+000, 0.0000000E+000, 1.8271064E-005
 1.3860215E+000, 0.0000000E+000, 0.0000000E+000, 1.8392221E-005
 1.4191391E+000, 0.0000000E+000, 0.0000000E+000, 1.8750626E-005
 1.4521152E+000, 0.0000000E+000, 0.0000000E+000, 1.9104501E-005
 1.4850913E+000, 0.0000000E+000, 0.0000000E+000, 1.8998069E-005
 1.5180674E+000, 0.0000000E+000, 0.0000000E+000, 1.8901421E-005
 1.5510435E+000, 0.0000000E+000, 0.0000000E+000, 1.8954127E-005
 1.5840196E+000, 0.0000000E+000, 0.0000000E+000, 1.9086441E-005
 1.6170485E+000, 0.0000000E+000, 0.0000000E+000, 1.8785088E-005
 1.6500277E+000, 0.0000000E+000, 0.0000000E+000, 1.8957557E-005
 1.6830240E+000, 0.0000000E+000, 0.0000000E+000, 1.8946347E-005
 1.7160625E+000, 0.0000000E+000, 0.0000000E+000, 1.8915369E-005
 1.7490180E+000, 0.0000000E+000, 0.0000000E+000, 1.8838761E-005
 1.7820949E+000, 0.0000000E+000, 0.0000000E+000, 1.8698329E-005
 1.8150783E+000, 0.0000000E+000, 0.0000000E+000, 1.8810039E-005
 1.8480526E+000, 0.0000000E+000, 0.0000000E+000, 1.8809594E-005
 1.8811095E+000, 0.0000000E+000, 0.0000000E+000, 1.8843812E-005
 1.9140442E+000, 0.0000000E+000, 0.0000000E+000, 1.8794886E-005
 1.9470134E+000, 0.0000000E+000, 0.0000000E+000, 1.8824067E-005
