s,mol/mol,kW
Time,"VF","HRR"
 1.0500181E+001, 3.9690103E-001, 7.3279344E-006
 1.0600063E+001, 3.9715108E-001, 7.3681175E-006
 1.0700032E+001, 3.9740040E-001, 7.2592675E-006
 1.0800084E+001, 3.9764970E-001, 7.1197844E-006
 1.0900109E+001, 3.9789898E-001, 7.1169279E-006
 1.1000009E+001, 3.9814810E-001, 7.1132701E-006
 1.1100079E+001, 3.9839726E-001, 7.1777008E-006
 1.1200071E+001, 3.9864661E-001, 7.2799813E-006
 1.1300003E+001, 3.9889594E-001, 7.3450663E-006
 1.1400127E+001, 3.9914558E-001, 7.2104990E-006
 1.1500007E+001, 3.9939515E-001, 7.0470035E-006
 1.1600052E+001, 3.9964467E-001, 7.0740357E-006
 1.1700017E+001, 3.9989425E-001, 7.1040873E-006
 1.1800150E+001, 4.0014399E-001, 7.1550896E-006
 1.1900054E+001, 4.0039376E-001, 7.2819655E-006
 1.2000053E+001, 4.0064344E-001, 7.3199282E-006
 1.2100155E+001, 4.0089355E-001, 7.1451196E-006
 1.2200101E+001, 4.0114361E-001, 7.0249043E-006
 1.2300062E+001, 4.0139344E-001, 7.0711088E-006
 1.2400043E+001, 4.0164331E-001, 7.1117342E-006
 1.2500067E+001, 4.0189332E-001, 7.1536880E-006
 1.2600009E+001, 4.0214336E-001, 7.2818509E-006
 1.2700142E+001, 4.0239370E-001, 7.2847360E-006
 1.2800119E+001, 4.0264419E-001, 7.0903536E-006
 1.2900026E+001, 4.0289441E-001, 7.0212939E-006
 1.3000080E+001, 4.0314469E-001, 7.0669686E-006
 1.3100022E+001, 4.0339499E-001, 7.1030217E-006
 1.3200019E+001, 4.0364532E-001, 7.1580172E-006
 1.3300130E+001, 4.0389590E-001, 7.2736904E-006
 1.3400054E+001, 4.0414658E-001, 7.2281166E-006
 1.3500181E+001, 4.0439734E-001, 7.0499324E-006
 1.3600101E+001, 4.0464812E-001, 7.0045568E-006
 1.3700070E+001, 4.0489869E-001, 7.0546123E-006
 1.3800139E+001, 4.0514946E-001, 7.0854804E-006
 1.3900177E+001, 4.0540036E-001, 7.1387784E-006
 1.4000011E+001, 4.0565110E-001, 7.2426909E-006
 1.4100011E+001, 4.0590188E-001, 7.2125035E-006
 1.4200056E+001, 4.0615302E-001, 7.0391707E-006
 1.4300103E+001, 4.0640421E-001, 6.9886142E-006
 1.4400103E+001, 4.0665538E-001, 7.0358060E-006
 1.4500045E+001, 4.0690641E-001, 7.0687746E-006
 1.4600146E+001, 4.0715761E-001, 7.1184928E-006
 1.4700091E+001, 4.0740896E-001, 7.2166945E-006
 1.4800215E+001, 4.0766046E-001, 7.1643982E-006
 1.4900149E+001, 4.0791198E-001, 6.9990626E-006
 1.5000077E+001, 4.0816326E-001, 6.9839556E-006
 1.5100050E+001, 4.0841458E-001, 7.0338841E-006
 1.5200064E+001, 4.0866604E-001, 7.0485141E-006
 1.5300031E+001, 4.0891754E-001, 7.1324973E-006
 1.5400140E+001, 4.0916935E-001, 7.1940556E-006
 1.5500160E+001, 4.0942127E-001, 7.0740319E-006
 1.5600013E+001, 4.0967297E-001, 6.9658674E-006
 1.5700104E+001, 4.0992474E-001, 7.0024195E-006
 1.5800105E+001, 4.1017667E-001, 7.0484559E-006
 1.5900109E+001, 4.1042854E-001, 7.0650539E-006
 1.6000035E+001, 4.1068041E-001, 7.1597434E-006
 1.6100017E+001, 4.1093240E-001, 7.1489571E-006
 1.6200146E+001, 4.1118470E-001, 6.9866823E-006
 1.6300043E+001, 4.1143692E-001, 6.9930247E-006
 1.6400054E+001, 4.1168894E-001, 7.0359757E-006
 1.6500017E+001, 4.1194113E-001, 7.0416628E-006
 1.6600000E+001, 4.1219332E-001, 7.1319343E-006
 1.6700101E+001, 4.1244584E-001, 7.1540510E-006
 1.6800136E+001, 4.1269851E-001, 7.0052826E-006
 1.6900080E+001, 4.1295101E-001, 6.9679543E-006
 1.7000066E+001, 4.1320341E-001, 7.0085890E-006
 1.7100030E+001, 4.1345584E-001, 7.0683962E-006
 1.7200112E+001, 4.1370851E-001, 7.0944337E-006
 1.7300080E+001, 4.1396129E-001, 7.1445971E-006
 1.7400135E+001, 4.1421415E-001, 7.0440642E-006
 1.7500111E+001, 4.1446707E-001, 7.0219944E-006
 1.7600084E+001, 4.1471984E-001, 7.0207281E-006
 1.7700064E+001, 4.1497265E-001, 7.0831373E-006
 1.7800036E+001, 4.1522547E-001, 7.0975409E-006
 1.7900210E+001, 4.1547871E-001, 7.1269736E-006
 1.8000084E+001, 4.1573193E-001, 7.1146728E-006
 1.8100183E+001, 4.1598510E-001, 7.0105564E-006
 1.8200011E+001, 4.1623819E-001, 7.0148095E-006
 1.8300081E+001, 4.1649123E-001, 7.0547780E-006
 1.8400140E+001, 4.1674466E-001, 7.1114458E-006
 1.8500123E+001, 4.1699799E-001, 7.1212561E-006
 1.8600132E+001, 4.1725146E-001, 7.1193232E-006
 1.8700111E+001, 4.1750497E-001, 7.0887681E-006
 1.8800079E+001, 4.1775845E-001, 6.9980460E-006
 1.8900164E+001, 4.1801211E-001, 7.0250669E-006
 1.9000037E+001, 4.1826560E-001, 7.0566004E-006
 1.9100085E+001, 4.1851913E-001, 7.0872669E-006
 1.9200071E+001, 4.1877293E-001, 7.1249826E-006
 1.9300107E+001, 4.1902682E-001, 7.0965632E-006
 1.9400091E+001, 4.1928074E-001, 7.0226134E-006
 1.9500138E+001, 4.1953465E-001, 7.0126917E-006
 1.9600116E+001, 4.1978859E-001, 7.0376216E-006
 1.9700025E+001, 4.2004245E-001, 7.0833508E-006
 1.9800073E+001, 4.2029643E-001, 7.1106966E-006
 1.9900195E+001, 4.2055081E-001, 7.0840937E-006
 2.0000087E+001, 4.2080503E-001, 7.0509588E-006
 2.0100015E+001, 4.2105906E-001, 7.0091881E-006
 2.0200054E+001, 4.2131326E-001, 7.0366714E-006
 2.0300025E+001, 4.2156758E-001, 7.0751898E-006
 2.0400112E+001, 4.2182202E-001, 7.0980309E-006
 2.0500047E+001, 4.2207654E-001, 7.0593657E-006
 2.0600119E+001, 4.2233112E-001, 7.0566921E-006
 2.0700123E+001, 4.2258581E-001, 7.0044443E-006
 2.0800124E+001, 4.2284042E-001, 7.0158423E-006
 2.0900076E+001, 4.2309498E-001, 7.0699433E-006
 2.1000125E+001, 4.2334965E-001, 7.0778854E-006
 2.1100185E+001, 4.2360462E-001, 7.0177310E-006
 2.1200026E+001, 4.2385937E-001, 7.0657071E-006
 2.1300136E+001, 4.2411422E-001, 6.9852569E-006
 2.1400151E+001, 4.2436935E-001, 6.9801438E-006
 2.1500084E+001, 4.2462427E-001, 6.9873047E-006
 2.1600116E+001, 4.2487923E-001, 7.0019937E-006
 2.1700115E+001, 4.2513438E-001, 6.9539620E-006
 2.1800117E+001, 4.2538959E-001, 6.8487353E-006
 2.1900011E+001, 4.2564473E-001, 6.8462992E-006
 2.2000147E+001, 4.2590007E-001, 6.8997995E-006
 2.2100135E+001, 4.2615557E-001, 6.7307279E-006
 2.2200090E+001, 4.2641092E-001, 6.7733563E-006
 2.2300121E+001, 4.2666633E-001, 6.8564238E-006
 2.2400002E+001, 4.2692174E-001, 6.7131143E-006
 2.2500025E+001, 4.2717717E-001, 6.8013909E-006
 2.2600174E+001, 4.2743305E-001, 6.6989639E-006
 2.2700169E+001, 4.2768888E-001, 6.8869504E-006
 2.2800031E+001, 4.2794443E-001, 6.6043836E-006
 2.2900119E+001, 4.2820014E-001, 6.8148891E-006
 2.3000159E+001, 4.2845613E-001, 6.9455997E-006
 2.3100007E+001, 4.2871184E-001, 6.7906891E-006
 2.3200062E+001, 4.2896769E-001, 6.9224008E-006
 2.3300152E+001, 4.2922392E-001, 6.8199977E-006
 2.3400063E+001, 4.2947994E-001, 6.8464205E-006
 2.3500051E+001, 4.2973596E-001, 6.7737218E-006
 2.3600154E+001, 4.2999225E-001, 6.9367042E-006
 2.3700169E+001, 4.3024866E-001, 6.7481521E-006
 2.3800061E+001, 4.3050487E-001, 6.9132749E-006
 2.3900113E+001, 4.3076106E-001, 6.8057885E-006
 2.4000076E+001, 4.3101752E-001, 6.8458054E-006
 2.4100014E+001, 4.3127389E-001, 6.8551688E-006
 2.4200049E+001, 4.3153038E-001, 6.8197302E-006
 2.4300161E+001, 4.3178705E-001, 6.8015408E-006
 2.4400066E+001, 4.3204372E-001, 6.8158848E-006
 2.4500020E+001, 4.3230027E-001, 6.5543617E-006
 2.4600110E+001, 4.3255708E-001, 6.8131937E-006
 2.4700104E+001, 4.3281399E-001, 6.7734137E-006
 2.4800078E+001, 4.3307083E-001, 6.6794637E-006
 2.4900131E+001, 4.3332779E-001, 6.9464584E-006
 2.5000072E+001, 4.3358475E-001, 6.7408281E-006
 2.5100023E+001, 4.3384155E-001, 6.8531038E-006
 2.5200138E+001, 4.3409866E-001, 6.9949079E-006
 2.5300026E+001, 4.3435579E-001, 6.7167807E-006
 2.5400147E+001, 4.3461296E-001, 6.9012210E-006
 2.5500084E+001, 4.3487040E-001, 6.6386884E-006
 2.5600020E+001, 4.3512743E-001, 6.9627940E-006
 2.5700142E+001, 4.3538498E-001, 6.8108218E-006
 2.5800010E+001, 4.3564234E-001, 6.8444189E-006
 2.5900191E+001, 4.3589984E-001, 6.7809615E-006
 2.6000042E+001, 4.3615743E-001, 6.6507675E-006
 2.6100085E+001, 4.3641496E-001, 6.6540762E-006
 2.6200124E+001, 4.3667267E-001, 6.6872700E-006
 2.6300163E+001, 4.3693053E-001, 6.5658415E-006
 2.6400016E+001, 4.3718801E-001, 6.8598803E-006
 2.6500068E+001, 4.3744563E-001, 6.8011971E-006
 2.6600071E+001, 4.3770357E-001, 6.5174635E-006
 2.6700133E+001, 4.3796156E-001, 6.7731675E-006
 2.6800170E+001, 4.3821970E-001, 6.7251688E-006
 2.6900198E+001, 4.3847789E-001, 6.5927619E-006
 2.7000074E+001, 4.3873589E-001, 6.5142363E-006
 2.7100136E+001, 4.3899392E-001, 6.6594250E-006
 2.7200033E+001, 4.3925205E-001, 6.6053347E-006
 2.7300183E+001, 4.3951037E-001, 6.4400512E-006
 2.7400064E+001, 4.3976872E-001, 6.5927595E-006
 2.7500057E+001, 4.4002685E-001, 6.6067302E-006
 2.7600079E+001, 4.4028534E-001, 6.5935868E-006
 2.7700069E+001, 4.4054382E-001, 6.6689465E-006
 2.7800104E+001, 4.4080240E-001, 6.5944917E-006
 2.7900141E+001, 4.4106108E-001, 6.5726000E-006
 2.8000052E+001, 4.4131967E-001, 6.4891405E-006
 2.8100194E+001, 4.4157843E-001, 6.4139628E-006
 2.8200023E+001, 4.4183713E-001, 6.3752779E-006
 2.8300175E+001, 4.4209593E-001, 6.4253596E-006
 2.8400162E+001, 4.4235502E-001, 6.3661446E-006
 2.8500062E+001, 4.4261377E-001, 6.4093844E-006
 2.8600142E+001, 4.4287274E-001, 6.3790385E-006
 2.8700015E+001, 4.4313173E-001, 6.3475490E-006
 2.8800023E+001, 4.4339066E-001, 6.3735566E-006
 2.8900043E+001, 4.4364988E-001, 6.3601750E-006
 2.9000096E+001, 4.4390924E-001, 6.3776588E-006
 2.9100180E+001, 4.4416869E-001, 6.3395576E-006
 2.9200049E+001, 4.4442798E-001, 6.3385077E-006
 2.9300185E+001, 4.4468743E-001, 6.3124834E-006
 2.9400097E+001, 4.4494697E-001, 6.2537093E-006
 2.9500023E+001, 4.4520629E-001, 6.2366631E-006
 2.9600136E+001, 4.4546594E-001, 6.2292295E-006
 2.9700209E+001, 4.4572579E-001, 6.1754311E-006
 2.9800049E+001, 4.4598538E-001, 6.1477175E-006
 2.9900154E+001, 4.4624507E-001, 6.1579874E-006
 3.0000106E+001, 4.4650493E-001, 6.1383857E-006
 3.0100028E+001, 4.4676465E-001, 6.1198897E-006
 3.0200117E+001, 4.4702458E-001, 6.1439883E-006
 3.0300097E+001, 4.4728463E-001, 6.1779213E-006
 3.0400132E+001, 4.4754467E-001, 6.1659107E-006
 3.0500182E+001, 4.4780482E-001, 6.1321110E-006
 3.0600169E+001, 4.4806501E-001, 6.1379109E-006
 3.0700024E+001, 4.4832500E-001, 6.1393901E-006
 3.0800032E+001, 4.4858511E-001, 6.1194050E-006
 3.0900036E+001, 4.4884543E-001, 6.1516177E-006
 3.1000006E+001, 4.4910577E-001, 6.1471621E-006
 3.1100122E+001, 4.4936631E-001, 6.0717002E-006
 3.1200005E+001, 4.4962679E-001, 6.1208195E-006
 3.1300106E+001, 4.4988738E-001, 6.0955281E-006
 3.1400094E+001, 4.5014811E-001, 6.0650239E-006
 3.1500025E+001, 4.5040870E-001, 6.0064351E-006
 3.1600135E+001, 4.5066951E-001, 6.0324734E-006
 3.1700037E+001, 4.5093033E-001, 6.0228326E-006
 3.1800110E+001, 4.5119117E-001, 5.9612871E-006
 3.1900179E+001, 4.5145224E-001, 5.9614133E-006
 3.2000012E+001, 4.5171309E-001, 6.2393318E-006
 3.2100004E+001, 4.5197389E-001, 6.1898507E-006
 3.2200115E+001, 4.5223505E-001, 6.0237018E-006
 3.2300038E+001, 4.5249619E-001, 6.2665261E-006
 3.2400052E+001, 4.5275736E-001, 6.1456348E-006
 3.2500150E+001, 4.5301872E-001, 6.3292610E-006
 3.2600153E+001, 4.5327988E-001, 5.9919898E-006
 3.2700113E+001, 4.5354186E-001, 4.1988837E-006
 3.2800191E+001, 4.5380316E-001, 2.1131069E-006
 3.2900171E+001, 4.5406405E-001, 2.4444563E-006
 3.3000025E+001, 4.5432479E-001, 3.1405874E-006
 3.3100228E+001, 4.5458753E-001, 1.7412108E-006
 3.3200047E+001, 4.5484802E-001, 9.8969129E-007
 3.3300445E+001, 4.5511157E-001, 0.0000000E+000
 3.3400672E+001, 4.5537581E-001, 0.0000000E+000
 3.3500286E+001, 4.5563944E-001, 0.0000000E+000
 3.3600550E+001, 4.5590289E-001, 0.0000000E+000
 3.3700163E+001, 4.5616590E-001, 0.0000000E+000
 3.3800075E+001, 4.5642807E-001, 0.0000000E+000
 3.3900884E+001, 4.5673026E-001, 0.0000000E+000
 3.4000597E+001, 4.5673026E-001, 0.0000000E+000
 3.4100310E+001, 4.5673026E-001, 0.0000000E+000
 3.4200023E+001, 4.5673026E-001, 0.0000000E+000
 3.4300832E+001, 4.5673026E-001, 0.0000000E+000
 3.4400545E+001, 4.5673026E-001, 0.0000000E+000
 3.4500258E+001, 4.5673026E-001, 0.0000000E+000
 3.4601067E+001, 4.5673026E-001, 0.0000000E+000
 3.4700780E+001, 4.5673026E-001, 0.0000000E+000
 3.4800493E+001, 4.5673026E-001, 0.0000000E+000
 3.4900206E+001, 4.5673026E-001, 0.0000000E+000
 3.5001014E+001, 4.5673026E-001, 0.0000000E+000
 3.5100727E+001, 4.5673026E-001, 0.0000000E+000
 3.5200440E+001, 4.5673026E-001, 0.0000000E+000
 3.5300153E+001, 4.5673026E-001, 0.0000000E+000
 3.5400962E+001, 4.5673026E-001, 0.0000000E+000
 3.5500675E+001, 4.5673026E-001, 0.0000000E+000
 3.5600388E+001, 4.5673026E-001, 0.0000000E+000
 3.5700101E+001, 4.5673026E-001, 0.0000000E+000
 3.5800910E+001, 4.5673026E-001, 0.0000000E+000
 3.5900623E+001, 4.5673026E-001, 0.0000000E+000
 3.6000336E+001, 4.5673026E-001, 0.0000000E+000
 3.6100049E+001, 4.5673026E-001, 0.0000000E+000
 3.6200858E+001, 4.5673026E-001, 0.0000000E+000
 3.6300571E+001, 4.5673026E-001, 0.0000000E+000
 3.6400284E+001, 4.5673026E-001, 0.0000000E+000
 3.6501093E+001, 4.5673026E-001, 0.0000000E+000
 3.6600806E+001, 4.5673026E-001, 0.0000000E+000
 3.6700519E+001, 4.5673026E-001, 0.0000000E+000
 3.6800232E+001, 4.5673026E-001, 0.0000000E+000
 3.6901041E+001, 4.5673026E-001, 0.0000000E+000
 3.7000754E+001, 4.5673026E-001, 0.0000000E+000
 3.7100467E+001, 4.5673026E-001, 0.0000000E+000
 3.7200180E+001, 4.5673026E-001, 0.0000000E+000
 3.7300988E+001, 4.5673026E-001, 0.0000000E+000
 3.7400701E+001, 4.5673026E-001, 0.0000000E+000
 3.7500414E+001, 4.5673026E-001, 0.0000000E+000
 3.7600127E+001, 4.5673026E-001, 0.0000000E+000
 3.7700936E+001, 4.5673026E-001, 0.0000000E+000
 3.7800649E+001, 4.5673026E-001, 0.0000000E+000
 3.7900362E+001, 4.5673026E-001, 0.0000000E+000
 3.8000075E+001, 4.5673026E-001, 0.0000000E+000
 3.8100884E+001, 4.5673026E-001, 0.0000000E+000
 3.8200597E+001, 4.5673026E-001, 0.0000000E+000
 3.8300310E+001, 4.5673026E-001, 0.0000000E+000
 3.8400023E+001, 4.5673026E-001, 0.0000000E+000
 3.8500832E+001, 4.5673026E-001, 0.0000000E+000
 3.8600545E+001, 4.5673026E-001, 0.0000000E+000
 3.8700258E+001, 4.5673026E-001, 0.0000000E+000
 3.8801067E+001, 4.5673026E-001, 0.0000000E+000
 3.8900780E+001, 4.5673026E-001, 0.0000000E+000
 3.9000493E+001, 4.5673026E-001, 0.0000000E+000
 3.9100206E+001, 4.5673026E-001, 0.0000000E+000
 3.9201014E+001, 4.5673026E-001, 0.0000000E+000
 3.9300727E+001, 4.5673026E-001, 0.0000000E+000
 3.9400440E+001, 4.5673026E-001, 0.0000000E+000
 3.9500153E+001, 4.5673026E-001, 0.0000000E+000
 3.9600962E+001, 4.5673026E-001, 0.0000000E+000
 3.9700675E+001, 4.5673026E-001, 0.0000000E+000
 3.9800388E+001, 4.5673026E-001, 0.0000000E+000
 3.9900101E+001, 4.5673026E-001, 0.0000000E+000
 4.0000910E+001, 4.5673026E-001, 0.0000000E+000
 4.0100623E+001, 4.5673026E-001, 0.0000000E+000
 4.0200336E+001, 4.5673026E-001, 0.0000000E+000
 4.0300049E+001, 4.5673026E-001, 0.0000000E+000
 4.0400858E+001, 4.5673026E-001, 0.0000000E+000
 4.0500571E+001, 4.5673026E-001, 0.0000000E+000
 4.0600284E+001, 4.5673026E-001, 0.0000000E+000
 4.0701093E+001, 4.5673026E-001, 0.0000000E+000
 4.0800806E+001, 4.5673026E-001, 0.0000000E+000
 4.0900519E+001, 4.5673026E-001, 0.0000000E+000
 4.1000232E+001, 4.5673026E-001, 0.0000000E+000
 4.1101040E+001, 4.5673026E-001, 0.0000000E+000
 4.1200754E+001, 4.5673026E-001, 0.0000000E+000
 4.1300467E+001, 4.5673026E-001, 0.0000000E+000
 4.1400180E+001, 4.5673026E-001, 0.0000000E+000
 4.1500988E+001, 4.5673026E-001, 0.0000000E+000
 4.1600701E+001, 4.5673026E-001, 0.0000000E+000
 4.1700414E+001, 4.5673026E-001, 0.0000000E+000
 4.1800127E+001, 4.5673026E-001, 0.0000000E+000
 4.1900936E+001, 4.5673026E-001, 0.0000000E+000
 4.2000000E+001, 4.5673026E-001, 0.0000000E+000
