s,kg/kg,mol/mol,kW
Time,"Y_CO2","X_CO2","Flame detector"
 0.0000000E+000, 5.9193618E-004, 3.8690337E-004, 0.0000000E+000
 3.3888604E-002, 5.9193612E-004, 3.8690329E-004,-4.0554742E-023
 6.6163465E-002, 5.9193344E-004, 3.8690016E-004,-2.9130880E-023
 1.0005207E-001, 5.9192004E-004, 3.8688445E-004, 1.6934438E-023
 1.3232693E-001, 5.9189293E-004, 3.8685268E-004,-4.1637186E-023
 1.6621554E-001, 5.9186178E-004, 3.8681618E-004, 3.1720633E-024
 1.9849040E-001, 5.9184097E-004, 3.8679180E-004,-6.9770462E-023
 2.3237900E-001, 5.9183567E-004, 3.8678558E-004,-9.5223831E-023
 2.6465386E-001, 5.9183894E-004, 3.8678942E-004,-9.1485726E-023
 2.9854247E-001, 5.9184934E-004, 3.8680160E-004,-4.6684220E-023
 3.3081733E-001, 5.9186258E-004, 3.8681712E-004,-8.3745746E-023
 3.6309219E-001, 5.9187507E-004, 3.8683175E-004, 5.8550931E-023
 3.9616929E-001, 5.9188579E-004, 3.8684431E-004, 6.5810952E-023
 4.2936208E-001, 5.9189352E-004, 3.8685338E-004, 1.8989214E-023
 4.6230231E-001, 5.9190014E-004, 3.8686113E-004, 9.2455175E-023
 4.9560067E-001, 5.9190733E-004, 3.8686956E-004,-2.0242937E-022
 5.2827349E-001, 5.9191494E-004, 3.8687848E-004,-1.2142722E-022
 5.6143336E-001, 5.9192049E-004, 3.8688498E-004,-1.8045301E-022
 5.9447599E-001, 5.9192401E-004, 3.8688911E-004,-8.0145367E-023
 6.2707623E-001, 5.9192589E-004, 3.8689130E-004, 1.7757818E-023
 6.6021225E-001, 5.9192693E-004, 3.8689252E-004, 2.2658691E-022
 6.9314465E-001, 5.9190817E-004, 3.8687034E-004, 1.4253892E-005
 7.2606445E-001, 5.9190563E-004, 3.8685627E-004, 2.3120305E-005
 7.5913107E-001, 5.9193692E-004, 3.8690145E-004, 2.1764815E-005
 7.9205924E-001, 5.9193629E-004, 3.8689998E-004, 1.7447106E-005
 8.2505637E-001, 5.9194315E-004, 3.8690323E-004, 1.5575059E-005
 8.5801928E-001, 5.9194013E-004, 3.8690303E-004, 1.7357853E-005
 8.9111288E-001, 5.9510243E-004, 3.8896539E-004, 1.8500947E-005
 9.2401771E-001, 6.0535098E-004, 3.9566521E-004, 1.6291140E-005
 9.5708227E-001, 6.0637401E-004, 3.9633409E-004, 1.5886822E-005
 9.9014683E-001, 6.0927809E-004, 3.9823057E-004, 1.5882200E-005
 1.0230517E+000, 6.0481940E-004, 3.9531803E-004, 1.8625337E-005
 1.0560825E+000, 5.9856115E-004, 3.9122844E-004, 2.1795359E-005
 1.0891434E+000, 5.9264213E-004, 3.8736311E-004, 2.0036571E-005
 1.1220289E+000, 5.9487863E-004, 3.8880108E-004, 1.8627036E-005
 1.1551138E+000, 5.9684951E-004, 3.9007370E-004, 1.8607775E-005
 1.1880064E+000, 5.9352987E-004, 3.8793214E-004, 2.0193083E-005
 1.2210934E+000, 5.9334750E-004, 3.8781048E-004, 1.9127534E-005
 1.2540836E+000, 5.9352925E-004, 3.8792654E-004, 1.9388463E-005
 1.2870727E+000, 5.9295921E-004, 3.8756001E-004, 1.9799959E-005
 1.3200201E+000, 5.9321209E-004, 3.8772087E-004, 1.8961385E-005
 1.3530034E+000, 5.9320797E-004, 3.8771894E-004, 1.9657546E-005
 1.3860140E+000, 5.9302766E-004, 3.8760281E-004, 1.9437289E-005
 1.4190167E+000, 5.9322913E-004, 3.8773175E-004, 1.9385078E-005
 1.4520618E+000, 5.9309898E-004, 3.8764854E-004, 1.9697910E-005
 1.4851069E+000, 5.9310638E-004, 3.8765291E-004, 1.9557712E-005
 1.5180171E+000, 5.9321327E-004, 3.8772140E-004, 1.9640090E-005
 1.5510622E+000, 5.9308048E-004, 3.8763640E-004, 1.9882948E-005
 1.5841313E+000, 5.9318996E-004, 3.8770618E-004, 1.9668885E-005
 1.6170761E+000, 5.9313986E-004, 3.8767431E-004, 1.9971058E-005
 1.6500876E+000, 5.9316049E-004, 3.8768733E-004, 1.9865836E-005
 1.6830101E+000, 5.9315342E-004, 3.8768282E-004, 1.9985166E-005
 1.7160074E+000, 5.9316741E-004, 3.8769174E-004, 1.9925884E-005
 1.7491248E+000, 5.9316073E-004, 3.8768744E-004, 1.9998847E-005
 1.7820128E+000, 5.9322725E-004, 3.8773010E-004, 2.0119249E-005
 1.8151204E+000, 5.9317510E-004, 3.8769689E-004, 2.0222300E-005
 1.8481281E+000, 5.9320177E-004, 3.8771390E-004, 2.0245186E-005
 1.8811357E+000, 5.9320215E-004, 3.8771419E-004, 2.0209947E-005
 1.9140010E+000, 5.9322617E-004, 3.8772965E-004, 2.0271241E-005
 1.9470087E+000, 5.9321349E-004, 3.8772158E-004, 2.0296595E-005
 1.9800163E+000, 5.9324474E-004, 3.8774163E-004, 2.0299646E-005
 2.0130239E+000, 5.9322613E-004, 3.8772977E-004, 2.0323457E-005
 2.0460315E+000, 5.9325192E-004, 3.8774630E-004, 2.0324856E-005
 2.0790392E+000, 5.9324522E-004, 3.8774203E-004, 2.0349266E-005
 2.1120468E+000, 5.9327003E-004, 3.8775796E-004, 2.0368841E-005
 2.1450544E+000, 5.9324955E-004, 3.8774483E-004, 2.0391529E-005
 2.1780621E+000, 5.9325000E-004, 3.8774503E-004, 2.0424813E-005
 2.2110697E+000, 5.9325834E-004, 3.8775033E-004, 2.0381376E-005
 2.2440773E+000, 5.9326923E-004, 3.8775735E-004, 2.0420464E-005
 2.2770849E+000, 5.9326094E-004, 3.8775204E-004, 2.0416363E-005
 2.3100926E+000, 5.9327884E-004, 3.8776351E-004, 2.0417363E-005
 2.3431002E+000, 5.9326789E-004, 3.8775652E-004, 2.0446165E-005
 2.3761078E+000, 5.9328378E-004, 3.8776668E-004, 2.0412713E-005
 2.4091155E+000, 5.9327774E-004, 3.8776283E-004, 2.0444648E-005
 2.4421231E+000, 5.9328711E-004, 3.8776881E-004, 2.0427500E-005
 2.4751307E+000, 5.9328716E-004, 3.8776885E-004, 2.0437360E-005
 2.5081383E+000, 5.9328962E-004, 3.8777042E-004, 2.0441653E-005
 2.5410037E+000, 5.9329271E-004, 3.8777239E-004, 2.0438174E-005
 2.5740113E+000, 5.9329171E-004, 3.8777174E-004, 2.0453410E-005
 2.6070189E+000, 5.9329615E-004, 3.8777456E-004, 2.0449895E-005
 2.6400266E+000, 5.9329491E-004, 3.8777376E-004, 2.0467077E-005
 2.6730342E+000, 5.9330172E-004, 3.8777810E-004, 2.0495953E-005
 2.7060418E+000, 5.9329872E-004, 3.8777620E-004, 2.0524082E-005
 2.7390495E+000, 5.9329800E-004, 3.8777574E-004, 2.0542479E-005
 2.7720571E+000, 5.9329682E-004, 3.8777497E-004, 2.0551447E-005
